,Mama's Buoi
377,Hi we went for a lunch . We found very poor service. It took almost 45 mins since we ordered and we keep calling guys to please get our order . Otherwise the AMBIENCE and food was good ☺
378,Nice Ambience especially the roof top gives a nice space to spend time with friends and enjoy. Also they have some really good drink menu esp. The Sangria.
379,"Everything about this place is good. Great ambience, good food, fine lighting, perfect sheesha. This is probably the most hyped place in Hudson lane!I’ve been here a lot of times and my experience has always been amazing. It’s quite difficult to find space here as this place is usually crowded. Services are also fine.Also, there is always some sort of music being played or some celebration going around the place. Be it Sufi night, Dhol night, live singing or just plain loud music. My experience with food here has been great too. I’ve pretty much tried everything from their menu. A few of my favourite food here is Chicken crockets, murg malai tikka, Pizza-e-punjab, keema pao...read more"
380,"Yummy tummy, I must say vibe of this place is altogether different with everything on fleek and yummy tooo.Though Idk why this time the service was quite disappointing but never the less the taste of food was yum. Specially lasagne and formaggi pizza was really good."
381,The best thing about this place is its seating on terrace. The food tastes amazing and so do the beverages. The place is situated in Hudson Lane and very much near to the metro therefore it’s convenient to travel even from South Delhi.
382,"Cold food. Weird tasting food. Extremely untrained staff. They keep on passing on requests to each other. Good place for getting buzzed on alchocol, but for food, simply cannot beat ricos or Cafe and Co or spezia bistro. Do not recommend."
383,Perfect place to hangout with your friends.I went there for the Christmas and the rooftop had all the vibes to cheer up your holiday mood..
384,One of the best cafe in Gtb Nagar for partying or to hangout with friends. The ambiance is very beautiful and cheering they have rooftop also. Food was good but the drinks were disappointing. Staff was polite and professional. A little bit expensive cafe but worth the price.
385,"This place is just heaven in gtb Nagar, you can't miss the place if you are in north campus. The ambience is LIT and next talking about food and drinks so I liked everything I had here and the menu is vast so you can have several options to try and music in the background is also another thing that I liked here, totally an awesome place"
386,"Mama's Buoi in GTB Nagar is a beautiful place for you and bae to hang out in. Just the fact that it offers a beautiful ambiance in GTB is reason enough for me to take my friends here!The service is extremely quick and friendly. The crowd that comes to Mama's Buoi is zealous and vibrant, just like the place.We ordered the Sangria which was the perfect thirst quencher.But the highlight of the day would have to be thr Melting Moments fried Mozzarella Sticks. Those things of beauty were cheedy, salty and tasty! The perfect appetizer!In conclusion, Mama's Buoi is a nice place for ANY occasion. Try their appetizers for sure. You'll love it.5/5 "
387,"One of the best places to go out with your friends. Have had the best ever experiences of enjoying with friends here at Mamas Buoi. Their terrace is the best place to be this new year eve and ill surely be here. Great food, great staff, everything is just too good here."
388,"heya peeps , i went to this pretty cafe and enjoyed alot music was amazing i really loved my experience i tried some of their famous dishes1. chicken pizza2. tiranga soya chaap.3. chicken spring roll4. chocolate shake5. dessertall dishes were delicious.ambience - amazingpocket friendly"
389,The ambience is good especially the terrace view ... good food but its didn’t mark upto my expectations. The drinks were nice .. but the fruit punch is least preffered. Overall its a nice place to chill and hangout with friends. The service was good. 
390,"Good food and good ambience. Great place for holding small parties. They have Live music and the vocalists are good. For parking, they have valets,so no issues. Their terrace is a great option when the weather is good."
391,"It’s a place with slow music and where you can enjoy with your Friends.It is Located at Prime Location of Gtb Nagar.The ambience is so delightful with a soothing atmosphere.Staff was also helpful and quick. I liked their service.Now Coming to the food, You must try1. Murgh Malai Tikka2. Coffee and Toblerone3. Tandoori Chicken and Chicken Lolypop4. Veg Lasagna5. Big Buddy BurgerThe food was great and delicious of this place. Each item was perfectly garnished and I even liked the presentation of some of the Dishes.Now Coming to My Favourite ‘ Desserts’Their Dessert are quite unique and So Delicious. Chocolate Cigars and Walnut Sizzling Brownie are a must Try.Overall I...read more"
392,"It’s one of the best Cafe in Gtb Nagar.The ambience is so delightful and Cheering and you start loving the environment as soon as you enterStaff was also good and really helpful.Now Coming to the food, You must try1. Nachos2. Kit Kat Shake3. Tiranga Chaap4. Veg Lasagna5. Afghani Paneer TikkaThe food was great and delicious of this place. Each item was perfectly garnished and I even liked the presentation of some of the Dishes.Desserts are also just Yumm of this place. I loved Sizzling Walnut Brownie of this place.Overall I loved this place and will definitely recommend to my friends."
393,"Hudson lane feels like my second home. Whenever I want to eat something great at a good place, I visit Hudson lane.Mama's Buoi is one of such place which I frequently visit due to its ambience and feel along with the tasty food.I prefer to sit on the roof top where you can have a feel of the great weather listening to the music playing there.At an atmosphere like this, you are certainly going to enjoy with whomsoever you visit this place.This time I ordered👉 club sandwich👉 butter chicken balls👉 chilli pizza👉 chilly chicken👉 chicken coriander dimsums👉 seekh kabab chickenIn mocktails👉 Ozzie jumble👉 dirty double👉 mama's sangria👉 collage...read more"
394,"Day starts with sunrise and ends with sunset , mood build up by food and ruin by food ,we went and orderedclub sandwichchilli pizzamurg malai tikkachilly chickenchicken coriander dimsumsInnocent girl Club sandwich was intensly build with lot of cheese and mayonnaise , chicken peices were rightly placed ,sandwich was served with chips and sauces good to havemurg malai tikka was very smooth the peices were enough for two the pieces were melting as sugar in mouth ,cream was overwhelming coated full of tastechilly chicken was spicy and sweet the veggies served were fried and cooked with peices which gave the taste of complete chilli dishchicken coriander dimsums was simple the outer...read more"
395,"I celebrate one of my friend's birthday here. Since it is one of the fee restraunt that serves alcohal so we thought of giving it a try. We orders keema pao, chaap platter, chicken wings , pizza and chilly chicken. All the items were very tasty. Talking about ambience they have two floors one is closed and the other one is rooftop. We enjoyed the weather at rooftop. The only thing disappointing was their service which was pretty slow. Apart from service it was pleasant experience. "
396,"So, it was my first time at Mama's Buoi and the place is quite good. However, since it was 25th December, so it was jam-packed. It is clearly visible in the pictures too.Overall, Ambience is good(3/5)The food was good too (4/5)The staff is courteous & helpful (4/5)The dishes that we ordered included Fruit Punch(5/5), Chicken 65 (5/5), Peri Peri Chicken (5/5) and a Veg Pizza (4/5)Apart from this, we ordered Bira White and hookah (commissioner)The overall experience was good,just that it was really jam packed. They can work on the music. The music was really diappointing. People usually prefer Punjabi music as it sets up the party mood. Not even Punjabi, it can be any type of music...read more"
397,Mamas boi is a good placeIt is bit expensive but ambience is veryGood here and hookah is available herePasta specially white sauce isYummyy
398,"This place is like any other lounge in delhi, with a difference that the music was real good. They were playing all kinds of music and the ambience was nice.We ordered:Tiranga chaap- which was ok, masala could be more in thatNachos bhelpuri- good and healthyPan fried noodles - a simple chinese dish which tasted goodOverall, it was good but nothing exceptional."
399,"This road is full of options which would be a better choice than this. Not recommended if you are expecting original flavors of the ordered dishes. We ordered pasta, mocktails, nachos and few alcoholic drinks.Nothing was excellent.Ambience 3.5/5Food 3.5/5Drinks 2/5Music 3/5Average experience "
400,Today I visited the mamas boui cafe . It is one of the best cafe and Hudson lane . The ambience was so amazing and the service is quick . The view from roof top is good .I order the -:Dirty double shakeVirgin mojitoOreo shakeChilli pizzaAfghani panner TikkaDhai ke kababCheese sticksVeg spring rollsChilli potatoSpeghatiThe speghatoi was awesome and pizza is good and cripsy. I like the death by chocolate the most .At last I recommend this cafe to every one to try it's once .
401,"Here's the place in a nutshell. A nice place with terrace sitting and cordial ready to serve staff with Hookah available for hookah lovers at a cost of 800.The place offers veg and non veg food but we tried only veg .Here it all in brief. The dirty double shake was very smooth chocolaty and intense in taste .We also had virgin mojito.Afgani paneer tikka,Veg spring rolls and chilli potato are a must try.All very juicy and crispy.While pizza was so so awesome . We also tried dahi kebab . item was the cheese sticks which has solid cheese and not the melted one.The ambience is nice price,service,ambience was wonderful"
402,"The cafe was really good,service was a bit faster than others,nice ambience,i ordered these items :-Dirty double shakeVirgin mojitoOreo shakeChilli pizzaAfghani panner TikkaDhai ke kababCheese sticksVeg spring rollsChilli potatoAll the shakes and mojitos were fresh and sweet, Chinese cuisine was also good, but i like the pizza the most as it's base was a bit crispy and the toppins were well loaded, i will come there soon bcoz i like the place and food and recommend others to go there and enjoy there hospitality and awesome food."
403,"The snacks are amazing. There Paneer Tikka, thin crust pizzas and spring roles are great to hog on. I liked their style of serving the authentic makhni dal and rice in a Kulhad."
404,"Heard alot about this place, so we decided to have a nice dinner time over there. The place is just perfect for couples. The interior is nice, the staff is also quite nice and the food is simply amazing. Tried their Fried mushrooms, dahi ke kebab, signature pizza and strawberry sparkles shake. The mushroom were very nicely presented and the taste was awesome. It was something new for us and it turned out to be delicious. Dahi ke kebab were also super delicious. Coming to the pizza, it had all the veggies and was quite decent in taste. We will rate it as average but the shake was to another level. It was damn yummy and something you can't afford to miss. Overall it was a good experience....read more"
405,"Great ambience , good service, friendly staff, wide variety in menu to choose from, food quality is just average and also the food items are a bit overpriced considerig the quality and quantity offered. Sangria was a bit too sweet."
406,"Today's visit was at Mama’s Buoi in GTB. The ambience was very peaceful and calm. The service was also very good.We ordered -1. Satey Chicken - It was served with peanut sauce which was delicious and the chicken was spicy and lipsmacking.2. Four cheese pizza - Overloaded with cheese with thin crust base, it was so heavenly.3. Masala Fries- It was crispy and the amount was perfect for 2 people.4. Chicken Lasagna- It was fine in taste but it wasn’t that cheesy, it just had cheese on top.In mocktails we had Pina Colada and Mama’s sangria both the drinks were refreshing and well blended.In desserts we had Death by Chocolate and Walnut Brownie.Both the desserts were so amazing...read more"
407,Mama's buoi is one of the coolest place in the town. Ambience is so soothing specially the roof top. They serve delicious food on a good price. Sevice is fast and staff is cooperative. 
408,"Hello Foodies!!This place is one of the best in Hudson!!This Place is spacious, with a delightful ambience and mind blowing food.Afghani Malai tikka and Chicken Tandori are Must try.Coffee And Toblerone Shake was so delicious.One must try this place if you are looking for a good place in Hudson.I enjoyed at this place!!❤"
409,"Hello Foodies!!I went to this place recently, they have really spacious sitting and an amazing Ambience.Lasagna and Cheese Pizza are really amazing here and Oreo Shake is a must try.One Must visit this this place if you are looking for a delightful and a happy place!!I enjoyed a lot at this place."
410,Mama’s Buoi is now my favourite restaurant in the town. It is new and is worth a try. Every dish of this place is served in a unique way which is very different from the normal way restaurants present it. My favourites among what i had were Big Buddy Burger and Chicken Spring Rolls. They were delicious and had a twist. Can’t praise the mocktails enough. Their ice tea is a must try! The place as a refreshing ambience with a beautiful terrace. Brownie Dessert is a must must try from the dessert department. I appreciate chef’s work as I haven’t seen such a unique way if cooking ever before. I was served by Arvind and his work is also worth appreciation. Look for him when you visit...read more
411,Good place plus good outdoor seating with nice cocktails and good food(portion size is great).Bar area is good both indoors and on the terrace.
412,"So today I visited this place with my frnds for celebrating birthday. Loved the vibes of the cafe. It also have the terrace setting to enjoy your evening. They also have sheeshas and bar. And the main thing is the food. They have such a like smacking food. From serving to taste, from quality to quantity, every thing is just amazing. If you want to spend a well day with your frnds, then this is your place in gtb guys. Highly recommended. They won't disappoint you "
413,"Mama’s Buoi was great. The food was tasty, the ambience was nice, a lot of choices in drinks. They could just play some nice music in the background as well."
414,"The best place in Delhi to have delicious food. The place was overcrowded. They have valet parking , which is a big plus point, in busy GTB Nagar area. I ordered :-Moti mushrooms tikka (Best mushrooms I’ve had in my life) ( must must must have)-Crispy mushrooms (tasty)- Pasta ( Yum)- Drinks : cosmo and dirty double (Average)Their food presentation is really nice. I’ll definitely go again to have good food."
415,One of the best cafe to party in GTB Nagar. Affordable as well as lit. Food quality is amazing. Staff is polite and friendly. Love the vibe 😍 they have roof top also.We ordered-1) Dirty double shake(highly recommended)2) melon laugh mocktail3) Melting moments- Great for cheese lovers!4) chicken 65- It was so delicious 😍All over a really good cafe to visit in Delhi 😍
416,"Hello Foodies!!Recently tried this place in Hudson lane. It’s located near to GTB metro station and experience was amazing. From staff, drinks to food... everything was up to the mark.Coming to the food, I tried below and totally recommend-Chilli chickenWhite sauce PastaIced tea ( different flavours available)Nachos Brownie with ice creme in desserts.Over worth visiting :)"
417,"I went to this place quite sometime back. I liked the ambience. Food was not the best I've tried till now, but it was not bad too. Drinks were tasty. You can go here to hangout with friends. They also have a terrace view now I suppose. Maybe it would a nice place for date too. 🍁"
418,"Mama’s buoi cafe is one of the best cafe in the GTB nagar area. From the ambience, food presentation, till their service, everything was awesome. I loved their taste of both veg and non-veg food. It was budget friendly also... 👍Some of the recommended items are :-Spring rolls(veg/non-veg)Chilly ChickenDrums of heavenPaneer tikkaWould like to give 5/5, as everything was perfect and upto the mark.Would definitely recommend this place to try for atleast once... 👍"
419,So it is supposed to be best in GTB nagar if we go by ratings.. but what i saw was a dark small place.. But we went to enjoy and we did that so that's worth it.. decor is not that good.. staff didn't know the prices of beer or the deals which were going on.. she went back n forth just to even ask if the price is taxable or not or the deal is on 5pints or 6.. but the food served was great.. Pizza ..friess.. 3 way chaap... Hookah.. Beer.. thumbs up ..Until next time... Tadaa..
420,"Excellent experience. It was my 1st visit in mama's buoi and the entire staff represent that they are best in the GTB Nagar.Quick service and having wide range of things at that time I'm little bit confused what can i order but still i have choose the:- Afghani chicken,garlic bread,penne Alfredo pasta, chicken dimsum , mama's sangria,etcBut end of day everything is good."
421,Amazing place. I loved the interior. The seating is great and the environment is super cozy. Their food is good and the drinks are wonderful. The staff is helpful just not very polite. A little on the expensive side. But everything else makes up for it. I totally recommend this place and would go here again.
422,What an place to hangout and party i must say campus is full of cafes and amazing junk places but this place have uniqueness this cafe is offering everything i can want and relate for my experience here was awsum and i am eager to go again.What to eat?????Chilly paneer Pesto penne pasta And chicken dimsums are my favorites also drinks and shakes are awsum you can try them too
423,"Nice place with great ambience and decorations .Lovely place for all age groups.Food served here is really good .Both vegetarian and non vegetarian food served here.This place is always filled with University students so they have a large menu for them.Qualityy and quantity both are good and rates are reasonable.This is nearby my place so I visit there occasionally.I tried starters ,main course and then deserts everything was perfect I like most was melting moments and chilli paneer pizza which were full of melting cheese.I tried honey chilli potatoes,chilli chicken, chocolate shake,sangria iced tea and in deserts brownie with ice cream.so perfect mixture of tasty and trendy meals."
424,A perfect rooftop cafe with good food in GTB Nagar.Everything was so delicious.Paneer tikka was somewhat hard . Dahi k kebeb and mozzarella sticks were so good. Even the shakes and mocktails.Loved the service.
425,I had ordered for Kung pao chicken and mojito.Kung pao chicken: it is a chinese starter dish. Won tossed chicken with Chinese sauces and well tossed cashews. The taste was on point. Really well cooked chicken and mild spicy chicken. Mojito was a perfect companion to thus dish. Something sweet to balance out the spicy flavour.
426,So today I went to mama's buoi in gtb nagar with my friends. Ambience of this place is awesome and staff is also very polite. They have valet parking too. This restaurant is one of the best restaurant in gtb nagar. Items which i tried.1. Mama's sundae 5/52. Virgin mojito 5/53. Spicy chicken dimsum 5/54. Chermoula chicken skewer 5/55. Lamb steak 5/56. Grilled fish 5/57. Death by chocolate 5/5Everything was delicious. From food to beverages each and every item deserve 5* . Suggest everyone to visit this restaurant once.
427,"One of the coolest places in Hudson lane , umm or probably the coolest place , especially when you want to rejuvenate your spirits with some live music & gorgeous, delectable food on your table.It's got such a great,chill vibe, no wonder it overflows with people. Hence , prior bookings are recommended.Their burgers are such giant , amazing beauties!Other things that I tried were also delicious.An apt place for refreshing, comfy winter evenings.😻"
428, North campus is one of the coolest place at delhi and here in the campus (hudsone lane) this cafe is situated. Mama’s buoi is one of the best cafe here . The buzz and booz of this place is my favorite even the food they serve is very tasty and relishing. They have both terrace and cafe area and what to have???All drinks was very good in taste and all snacks and main course are very well tasted😊
429,This is one of the best place to hangout with friends in hudson lane....Staff is co-operative and humbleFood and presentation is niceWonderful ambienceTaste-o-meterSpring rolls 4/5Honey chilli potato 4/5Paneer tikka 4.5/5
430,"The wings could have been better..it was way too sweet, quite disappointed with the wings in particular.But the butter chicken pizza and the fries were good enough."
431,The place is having both indoor and rooftop seating but the indoor one is much better but if you are a hookah lover then you would have to go for a rooftop.The place was cool and the crowd was awesome. The food was great but the service was very slow and not upto the mark
432,A must visit place.. In. North campus. And mouth watering fruit.We ordered signature pizza which is worth a tryPeri - Peri Chicken was ming blowingDahi kababs were also yumSheesha was okayishService 4.5/5Food 5/5Music 5/5
433,"Heyy guyzz ... 🥂 Visited this place with my friends this week. The place is quite good with a constant slow background music. It also had a rooftop at the 3rd level which is just awesome. The staff was warmly welcoming and friendly. The service was also very quick... 👍Coming onto the food part, it was even more tasty than my expectations .... ❤️I ordered :- -> In Snacks and drinks :- • Dirty double - 5/5  (Highly recommended)• Chilly potatoes - 4/5• Peri peri chicken - 5/5• Chilly chicken - 5/5• Drums of heaven - 5/5• Veg & chicken spring rolls - 5/5• Chicken dimsum - 4/5-> In main course :- • Dal makhani - 5/5• Paneer butter masala - 5/5•...read more"
434,"This is a very nice place.It’s been a long time I visited this place. I tried their pasta, chicken tikka, innocent girl mocktail and death by chocolate dessert. Food was delicious, great ambience, service was okay but all what matters is good food & a good company!!Friends do try this place out. Follow me on Instagram @chatpatifoodiesoul and on zomato for such honest reviews!!"
435,"Last week I visited Mama's buoi along with my friend, pretty cool place to hang out Music in the background will trap you. We tried Mama's signature pizza it was amazing thin base and crispy. Murg Malai Tikka it was so creamy and chicken was also so fresh. Tandoori Vegetable platter a must try thing at Mama's Buoi every thing was just ultimate it has three variety of Paneer, Mushrooms, kababs. Then we tried Cornitos (Nachos) it was fine. Collage Mojito was nice and refreshing. Ozzzy Jumble was the another drink which we ordered it was very sweet and at the end in dessert we ordered walnut sizzling brownie it was also good."
436,"Mama's buoi located in GTB nagar is a great place for indian food lovers they serve north indian food, continental food and somewhat chinese food also.The food served was amazing and tasted well service was a bit slow but the food was amzing, atmosphere here was good and the music played added to the taste of the food.Overall experience with this place was great love to visit here again."
437,Mama’s Buoi is a great place of having lunch or dinner located in GTB Nagar. The ambience was so good i liked it & the food was tasty & amazing in taste. The service management was good. Staff was friendly. A great place of dining with your family & friends. Must visit & have the amazing experience that i had!
438,"Mama's buoi is a nice cafe in GTB Nagar. Ambiance is also cool and positive you can sit at the roof top if you wish to sit an open space. I went their last week.Food is very good and reasonable and service is also nice staff is also very supportive. We ordered Nachos it was good, The best was Chicken Malai Tikka it was fresh and juicy and creamy, Ozzzy Jumble and Collage Mojito is good moctails to try. Veg Pizza is delicious crust was crispy and thin, vegetables were also fresh. Then we ordered Tandoori Veg Platter( Souted Mushroom, Creamy soft Paneer, Veg Kababs) and last we had Walnut Brownie Sizzler i first time tried sizzler it was pretty cool and tasty."
439,"Really liked this outlet from the service to food and to interior,Everything suits my taste.They have a roof top available which was really good for clicking pics,I really enjoyed their ambience and Food.What you can try out?•Chilly Chicken•Peri Peri chicken•Honey Chilly Potato•Butter Chicken•Daal Makhni•Oreo Shake"
440,"Visited Mama's last week with my colleagues . We were looking for a place to celebrate birtday party of my friend.i hear about Mama's buoi alot on Instagram .so i thought to gv it a try .Its on 2nd floor, in hudson lane , and easily visible from so far . As they have billboards on the roads as well.As we enter the place .manager came and greet us so well they offer us seat and they were so polite .staff member came to take out order and we orderedTiranga chaapPeri peri fish tikkaPizzaVirgin mojitoPain chicken wingsWalnut brownieFood was really so tasty no doubt , service was. Good we don't need to do much wait for our food .Over all nice experience .would like to visit it...read more"
441,"Recently I had a trip to Delhi and heard the name Hudson Lane. So I decided to check it out. I saw so many cafes there but this Mama's buoi caught my attention both by its name and a very lit sign board. Ambience- You enter through a big red door into this place with dim lights and awesome music. The bar section catches one's attention with the shining bottles and colorful drinks.Drinks- The dirty double shake is their signature monstrous shake that takes a load on your appetite. A jar drenched in liquid Chocolate, kept in a bowl of liquid Chocolate is filled with a thick shake topped with two scoops of ice cream and gems. I think it is enough to feel the magical flavor.Appetizers-...read more"
442,"I heard a lot about this place and yet it stand to it’s name. The terrace was crowded so opted for 3rd floor seating. The food was amazing and the music was great to listen. Thumbs to this place, do give a visit. "
443,"So as I visit Delhi, Hudson Lane , one of the most talked about for destinations....Hey people, mamaaa is here to give you some hand made, perfect on looks and madly yummy food. Situated right at an end of Hudson Lane, it is a top floor cafe with an interesting logo. The moment you walk in through that red door, you can feel the magical Ambience and the yummy flavor in the air. We started with tomato soup for my friend's soar throat and dirty double milkshake for me. The shake, as you can see, is a real dirty jar with chocolate syrup as the dirt. The jar is kept in a bowl of liquid Chocolate. Inside the jar is the thick chocolate shake topped with two scoops of ice cream. Then we had a...read more"
444,"The place looks extremely beautiful in pictures, and from outside as well.But the pictures might disappoint you as the place is way shady. You can even spot a couple having ""their"" time in the corners.But fortunately I chose the terrace to be at. And it was a bad decision all together.The staff is extremely good, no doubt.But it is a place good for booze and hookah and not favourable as casual place to dine and have brunches at.The uniqueness they tried to bring in flavours of food is well quite amazing.Well, if one wants to party and have amazing time, this place is a place you should head forward to, in GTB.(better than any other place for booze and everything)"
445,An amazing place to visit in GTB Nagar. Visited with some of my friends and had a great time. We chose to sit at the roof top. The ambience of the place was amazing!!We tried some of their amazing specials & they were absolutely delicious and yummy. Will visit the place again soon.
446,"If you're looking for the best food and one of the most beautiful ambience in GTB Nagar, Mama's Buoi is apt ...delicious food on a good price . I tried Afghani Paneer Tikka, Jalapeno Toast, Alfredo Penne Pasta, Mama's Buoi Special Pizza, Strawberry Shake, Double Blast Shake and they were outstanding. Coming to main course, Laccha Parantha, Missi Roti, Dal Makhni are a deadly combo I would highly reccomend. The drinks are quite good and refreshing. I liked the food much as compared to other outlets nearby. Also the dishes they prepare are authentic. The crowd was good and seating too was spacious. There are both the options, terrace or indoor where you can enjoy eating and gossipping. My...read more"
447,"I went with a friend and the service was really bad. They didnt even give us the menu, we had to get up and bring it. They didn’t pay attention to us, even though the place was empty. Food was average. "
448,"This is most amazing terrace cafe in GTB nagar. There is a seperate party place which is amazingly beautiful. The service is very good and the staff is very polite.Honey chilli potato is a delicious dish. Apart from the snacks, main course is more preferrable and mouth watering.Shakes are also very tempting.This is a must try cafe in North Campus."
449,"Went here on a Sunday. Ordered spring roll (₹209), mix sauce pasta(₹279) and peach ice tea (₹125).Ice tea was good except that the glass was so small and that too was filled with 2 huge ice cubes. It hardly had any ice tea in it (finished it in 2 mins still the glass was half full of ice) . This one was no value for money at all.Spring roll was okish for a starter, it came with sweet sour sauce. Asked the waiter 2 times to bring me spicy sauce but they didn't bring even then. Spring roll had very small 8 pieces.Pasta was a huge disappointment. Mix sauce pasta had avg taste, it was sweet in flavor, I had to add lots of oregano to make it little spicy to taste like a real pasta...read more"
450,I absolutely loved the ambience and crowd. Staff is very cooperative and gentle. This cafe really stands out in hudson lane. Must must visit this cafe.
451,It’s a nice place to hang out with friends. Dim lights and light music. I had pizza and pasta over there pizza was good but pasta is okaish . 
452,This place is the best as it has alot of stuff to eat. I personally like there vegetable spring rolls.2nd on my list of favourite restaurant. Good place to hang out with friends.
453,first of all its one of the best cafe in hudson lane..... awsm vicinity.... friendly management.... taste was also matching its standard..... enjoyed a lot being there..... looking forward for an another visit..... 
454,"This place is amazing.Everything is nice there 🙂 we ordered here masala fries, red sauce pasta and cold coffee 🙂Red pasta is not so good in taste but overall experience is good 🙂If you visit there in group then book ""Machaan"" ... Ahh mind blowing experience ❤️😍"
455,"I loved loved loved this place. It's so beautiful, especially the rooftop cafe was another level I must say... The cafe provides both indoor and outdoor seating that is too spacious and beautiful. You can come in a group of as many people as you want .. this cafe won't let you down in any of the aspects you look for in a cafe .. ambience 10/10; food 9/10; service 9/10. I tried Afghani Paneer Tikka, Jalapeno Toast, Alfredo Penne Pasta, Mama's Buoi Special Pizza, Strawberry Shake, Double Blast Shake and they were outstanding. Coming to main course, Laccha Parantha, Missi Roti, Dal Makhni are a deadly combo I would highly reccomend. The drinks are quite good and refreshing. I would overall...read more"
456,"Mama' buoy is one of my favourite restaurant.Perfect place for get together and parties.Food that I ordered-Chicken 65 and chicken lollipop were delicious, both with rating 5/5Spring roll were very crispy.Staff service was very goodGood place for perfect get together .Do pay a vist!"
457,Mama's Buoi is really the place to make memories with good food😁😁...Big buddy burger made a real long discussion between my friends which also include who gets more of it😂😂..Dahi k Kebab made it satisfying and forced us to stay more while and order more😁😁..Healthy sandwich was fine and Stick 'n' dips were absolutely the amount we were so no fight of more eating😂..yes we do that!Shakes were nice beside and soon gonna return back try more of stuff!..Allover 4.5/5 !! 
458,"With a beautiful rooftop seating, this place is great place for parties and get togethers.We tried their devil chicken and chilli hakka noodles. The combo had generous quantity and was nicely prepared.We tried their butter chicken balls with gravy . Amazing taste and nice presentation.We were well served by Rahul and Manager Harry and the service was awesome :)"
459,Okay.. Before you visit this place make sure you haven't eaten anything for past 4-5 hours. Why? Because the food is so f great here. Almost everything is so satisfying about this place that you would visit it again and again.  Food 10/10 Drinks 9.5/10 Ambience 9/10 Service 9.5/10Would surely recommend this if you are with your friends. 
460,"I am back with existing memories to share with you all that are from Mama's buoi.Food that I ordered this time was paneer tikka, mutton kebab, pizza, mushroom and drums of heavenHow was the ambiance-We chose terrace to sit. It was beautiful. There were both couches and normal wooden chairs. We chose comfortable couches.ServiceQuick enough. The staff was well aware about their huge menuIt was worth visiting here."
461,"Budget friendly cafe . The quantity, quality and presentation of the food is amazing .I had fish tikka , chicken tikka and chicken pizza which were just delicious.Pizza was thin crust and was loaded with lots of chicken chunks and cheese. DeliciousChicken and fish tikka well charred and tender . They served 8-9 peices of chicken and fish . It was alot to fill our bellies .In drinks we had virgin mojito ."
462,"College students need a place where food is good , ambience is great and is under budget , well this place is that!We were very well served by Manager Harry and server Rahul.We had keema pav , fried chicken basket and fish tikka .The food was delicious and the service the quick despite the rush.The rooftop seating is beautiful and great for pics .Food 5/5Ambience 5/5Service 5/5"
463,"The most amazing cafe in Hudson serving amazing dishes at a very reasonal price.We had their keema pav , chicken fried basket , chicken tikka , fish tikka , butter chicken balls and in drinks we had virgin mojito.The food was amazing, quantity and quality was top notch. The service was quick ."
464,"Mama's boi is one of the bet cafes in Hudson lane . The place has an awesome rooftop seating and is best for winters .We had fish fingers , keema pav and in drinks we had virgin mojito . The mojito was very freshing .Keema pav was delicious, a must try when you come here .The fish fingers were huge fried fish served with a delicious dip .The service is good . We were well served by Rahul and Managar Harry took well care of us .OverallFood 5/5Ambience 5/5Service 5/5"
465,"The most amazing place to be in GTB. The atmosphere is so good and the courteous staff and delectable, properly cooked stuff make the experience worthwhile.Though weren't much hungry, so we ordered:GREEN APPLE MOJITO (4/5)DIRTY DOUBLE (3/5)RUSTIC CHICKEN (5/5): though the quantity seem less but it will surely satisfy your belly. The taste is totally amazing and the potato mash really is the stroke without which the dish will not be complete.The cozy environment and in this amazing atmosphere sitting at terrace makes it more worthwhile. A must visit place."
466,This is a nice lounge with the best terrace and surroundings. The terrace is very pretty and there is live music on weekends which is very heartwarming.
467,"Went to this place today with my friends. First of all it is a long walk from metro station passing through all the other cafes thinking that something good is out there(thanx to the ratings and the awesome reviews people have given to this not so good cafe). Finally u reach the place where u see a whole lot building with mama's buoi written ...till now u will be damn excited about the place. U enter the cafe...it is very okish just like other cafes,nothing extraordinary ( echoes, spezia bistro, cafeteria and co are much better).After sitting the first question we were asked was guess what? Sir u guys will take hookah or not??😑Seriously dude,it was the very first question before even...read more"
468,If i have to suggest one of the most happening spot in gtb I’ll definitely say its Mama’s buoi. Everything is really amazing here. Ambiance is really awesome. Food is really amazing. Staff is very polite and courteous. From the drinks menu we had Mama’ sangria and laughing melon in mocktails both were so damn good🙌🏼 and for shakes we had strawberry sparkles and coffee n toblerone shake. Both were awesome.Talking about food we hadMalai chicken tikka 4.5/5Achari paneer tikka 4.5/5Mutton galawat 3/5Melting moments 3.5/5Penne Alfredo pasta 4/5Death by chocolate in dessert 4/5Also the food quantity and quality served is good. The service was really quick. Highly...read more
469,"Recently I visited Mama's Buoi Café, and I had a amazing experience there. It is located in GTB Nagar of New Delhi, With great ambiance and lip-smacking food. Staff here is very polite and friendly. We tried there: -• Achari Paneer Tikka• Melting Moments• Murg Malai Tikka• Mutton Galawat• Alfredo Penne PastaIn Mocktails we tried: -• Laughing Melon• Mama's SangriaIn Shakes we tried:-• Coffee And Toblerone• Strawberries SparklesIn desserts we tried: -• Death By ChocolateTrust me all the food was yummy and delicious ♥️Must try !Happy Munching !"
470,"Pasta Arrabiata for INR 269/- This was really really good in taste 😍  It was actually more than superb ♥️ Just amazing .. It won all of my heart. Also, the presentation was very tempting 🔥 Taste : Yummy Ambience : 90/100 Worth : 100/100 "
