,TEO - Lounge & Bar
123,"Visited this lounge today at Punjabi Bagh Club Road. The Ambience is good also with the service. Perfect place for party animals or who are planning to throw a birthday party, DJ played good songs. Interiors too are good with cool captions on wall. In snacks I had Cheese n corn roll, Chilli Paneer dry, Veg Pizza, Honey Chilli potato etc. In mojito I had their Italian Smooch"
124,Best place to visit there. It was great experience. Sound system was also good. I loved it. And I recommend to go there.
125,"Best place, best ambience, best food, service is little slow, awsome food, great taste. Love to enjoy again and again."
126,One of the best place to spend your weekends.They have some amazing food. We had their achari soya chaap and chilli paneer along with drinks. Chaap was very yummy and was fresh.#happycustomer
127,"TEO has everything what a lounge has to offer , good space , good music , good food and perfect hospitality . If you are a party animal then this place is definitely for you . It is such a happening place with perfect music and eyecatchy ambiance . Food is really amazing here . I ordered falafel with tahini sauce , veg salt and pepper and hakka noodles in starters , everything was equally scrumptious . Their drinks and mocktails are excellent . Overall I really had a great dining experience at this place . Highly recommended .🔥"
128,"Teo is best for hanging out in Punjabi Bagh.Its a go to place for me as food is good, good music and amazing vibes.5 stars to place"
129,"Went to Teo for dinner, good place to dine in.Good vibes and good music makes the place best in west."
130,"Teo is one best lounges in Punjabi Bagh, celebrated my birthday with them to hang around.Love the place and good hospitality."
131,Amazing place to hang around with my friends.Visited Teo recently can't wait to go again.Food is amazing there with good music
132,Teo is my regular hangout place in west.Because of the vibes place has to offer.The food is amazing best place to hangout.
133,"Had a great experience at their fine dinning area. The interior was so lavishing and their service was also very quick.Now on food,The food was absolutely delicious 😋 STUFFED MUSHROOM SCHEZWAN - A must try dish.😋It was so damm tasty..FARM FRESH PIZZA & BUTTER CHICKEN PIZZA- Thin,crispy crust pizzas with lots of cheese and toppings was also of good quality..PANEER KADHAI- It was full of flavours and all the spices was perfect.  one of the best kadhai paneer I had till now.😍😋.In desserts,Brownie with ice was quite delicious. Also do try their teo punch mocktail.👍🏻"
134,"Yesterday i went to an outlet named TEO - Lounge & Bar situated in Punjabi Bagh, New Delhi. Firstly talking about the ambience that was really pretty attractive & decent. The food was delicious & perfect in quantity as well as in quality too. The dishes & drinks that we ordered are mentioned below :1. Paneer tikka.2. Margarita pizza.3. Fried corn.4. Veg dimsums.5. Paneer butter masala.6. Garlic naan.7. Chocolate brownie.All were good in taste, we really enjoyed our meal. The staff was friendly & service management was good & cooperative. If you are looking for go for party, lunch or dinner then must visit this newly opened Lounge & Bar. Must recommend...read more"
135,"Tomorrow I went this place named as TEO - LOUNGE AND BAR with my friend for a small get together and having some food, The place has a lovely ambience and great music, with amazing lighting. The overall atmosphere was great and I loved it. Now speaking about the food. It tastes just amazing perfect blend of flavour and aroma. The staff here is also very nice and Courteous helped me out with my selection. Overall experience was amazing loved to visit here will visit again soon."
136,If you are more towards classic ambience and peaceful environment then this would be the most suitable place to enjoy the super delicious food with your friends or family. The most cherishing experience one can have with its fine dine quality and utter seriousness of the staff & services. Really appreciate the enigmatic interiors of the place and the coherent efforts of the chef who prepared stuffed mushrooms and Kadhai Paneer with sheer dedication. In Drinks I preferred Sangria- one must go for it.
137,"Teo is recently opened and one of the finest place.The restaurant is setup ,in two floors:The property gives you leisure where you can have both family as well as time with friends as it has dineroom as well as lounge and barThen, In Starters, We Had : Crispy Dahi Ke Kebab, Bhutte Ke Kebab, , Murg Ka Sula, Kandhari Murg Tikka, Then, In Main Course, We Had, , Dal Makhani, Mushroom Masala, Butter Chicken, Gosht Rogan JoshIn The Desserts, We Had :Ice Cream With Brownie"
138,Amazing experience. Really loved the quality of food. Best chilly chicken served hot and fresh. Would definitely recommend.
139,"Amazing food, amazing ambience. Best part was food served hot and fresh"
140,"Teo is recently opened and one of the finest place.The restaurant is setup ,in two floors:TEO is conceived for big celebrations & can sit up to 150 guests.Food is finger licking good and Drinks are genuinely priced.They best part is that they organise events on different occasions and also have great DJ to perform."
141,"TEO- the DineroomSeriously this place has some really nice and royal vibe which will make you feel really special. The food they serve you amazing food filled with flavours with the great presentation and nevertheless, service was also up to the mark! In short, its a must-go place around here with your family."
142,Try and order the chicken pad thai noodles😂😂 and you’ll be traumatised for life.
143,It's one of the Finest place I ever visited .My friend suggested the place so me and my beloved friends visited there to celebrate our friend's birthdayAnd it was so goodStaff was so attentiveAnd food was amazing
144,I have visited this place with my family and totally enjoyed their meal as well as ambiance.I trief their pineapple raita and it was totally yay!The property gives you leisure where you can have both family as well as time with friends as it has dineroom as well as lounge and bar. Dil khush Malai Kofta was also yum!Even hospitality was good.
145,"Recently visited this place with my family and totally love the experience. Mr Limbu took amazing care as the host. I tried their dal makhni, brownie sundae, dahi kebab, lotus stem kebab. The menu was amazing totally! Lotus stem kebab is a must try! Also, Shahi Tukda took my heart away! Look at the presentation and ambi of the place!"
146,"Beautiful place, fast service. Got disappointed by cocktails. They added way too much sugar syrup in it and it seemed too sweet to handle.Otherwise food is average, neither too good nor too bad.The white sauce was accumulating in clumps sticking to the pasta, wasn’t a uniform cheesy sauce.Paneer tikka was good, with oddly cut huge squares. Dahi ke kebab tasted good.Moong dal ka halva was genuinely good, I ordered it after reading so many of these reviews."
147,"I totally loved this place. The ambience, the staff and the food. Everything was perfect. It's good to hang out with your friends and family."
148,Yesterday went to teo lounge and bar it was such an amazing place you guys can go with  your friends and  family get to gether too you can enjoy they have a dine room also and lounge and bar also they have such an amIng prestnataion try bhutti ka murg
149,"Went Here On Last Sunday Evening With Family For Dinner.This Place Is On 2nd Floor & Very Beautifully Designed & Good Sitting Area Available.This Place Is In Main Club Road, Punjabi Bagh And Very Easy To Locate.We Started Our Food Journey Here With Pineapple Juice, Virgin Mojito, Mineral Water, Diet Coke. All Were Good In Taste, Served Chilled & Fresh. Must Try.Then, In Starters, We Had :Paneer Tikka Sunheri, Crispy Dahi Ke Kebab, Bhutte Ke Kebab, Olives Murg Tikka, Murg Ka Sula, Kandhari Murg Tikka, Tandoori Chicken Dim Sum & Crispy Vegetables In Nest. All Were Superb In Taste, Flavourful, Freshly Baked, Presented Very Well, Served Hot N Fresh. Recommended For All.Then, In Main...read more"
150,"Everything was so good about this place from ambience to food , the service everything I mean the hospitality, had an amazing time , the food and the drinks were too tasty can get over the food and definitely going to visit back with family"
151,Hey guys i found a really nice place in punjabi bagh to have some quality time which is TEO. This place is so amazing and this place is so fascinating . There food is so good and filled with flavors. I was able to feel the freshness of chicken. The chicken was so soft and flavored . They also has amazing cocktails and mocktails. The best one according to me was pineapple colada you should also try it once. I will definitely go this place again.
152,If you are searching some really good place to eat and enjoy your evening then you should definitely visit TEO dine room at punjabi bagh. Seriously this place has some really nice and royal vibe which will make you feel really special. There services are up to the mark and the food they serve is undoubtedly tasty and very delightly filled with so much of flavors. I will definitely go there again very soon.Thankyou!
153,Loved the botanic tint and elite vibes throughout the place with the ultra modern concoctions of this newly open place in Punjabi bagh. A must visit for friends and family.
154,A very nice outlet in Punjabi bagh Delhi..loved the service food and ambience of the outlet..moong daal Ka halwa was fabulous..and staff was quite courteous and polite..must give it a visit
155,"went to this place yesterday and they have such an amazing ambiance with the great food its the greatest combination plus they have fine dining room and lounge and bar if you want to sit in dining room you can personally I liked the lounge and bar they have a lit ambiance there and in food, they serve delicious  food with an amazing presentation you should try the shahi tukda and moong dal halwa recommended"
156,TEO serves the great dine in food.The murgh tikka and the chicken dim-sums were the best.Shahi tukda had a sweet rabri coating in it which added to the flavor.The ambience was amazing.Staff was polite and courteous.Indeed it was one the best experiences.The Butter chicken and dal makhni combo with Lacha parantha and butter naan was really good.A must visit place.
157,"If you are looking for Amazing ambiance, delicious food, best party hub then this is your best hangout spot.  Love the food and party vibes."
158,I had an awesome experience at Teo Punjabi Bagh with good quality food and service. The ambience was great in addition to the mesmerizing music and dance floor!
159,"The food was really delicious.Had A veg platter which had various food item like mushroom tikki, panner tikka, baby corn sticks and soya chaap. They were really tasty and the presentation was really pretty as well.Also Fried corn chaat is one of their best dishes and it was actually delicious.We had 2 mocktails green apple and berry.Again they were presented beautiful and tasted really amazing ❤"
160,I went to this place for my birthday and believe me they made it wonderful. I ordered dahi ke kebab and paneer tikka which were so delicious that I had to re-order. The music is so apt that it will make you get up from your seats and make you groove. Staff is really polite. Highly recommended place.
161,"I loved this newly opened outlet at Club Road, Punjabi Bagh. We have tried plenty of starters and mock-tails which were absolutely scrumptious 😋. All the starters were perfectly decorated and presentation was up to the mark. Mocktail were were also nicely made. Personally i loved mutton seekh and chicken tikka and dahi ke kebab in starters. Also the staff was very attentive and courteous. Thank you TEO 😘"
162,The ambience was amazing. It was lit on Saturday night. I loved the food there. Especially the mocktails were amazing. Tried 2 different mocktails. And veg starter were really very delecious. Must go there. You all will love it
163,It was such a great experience with TEO- The Dineroom.Really enjoyed the food and specially chocolate walnut brownie.
164,Experience was really good. Loved the music and vibe of the place. Food tasted well too.
165,Teo dine room is seriously very nice place at punjabi bagh. There ambience is so great. I loved there interior and i was able to feel the great vibe. There services are great and the people over there was so nice. And i would love to appreciate there fast services. There food is so good and filled with so nice flavors that i can't even explain. I had many things:Thandoori chicken dim sumDahi kebabOlive oil chicken tikkaPanner tikkaButter chickenMutton rogan joshButter naanBrownie with icecreamI would love visit here again.Thankyou
166,Teo is the best lounge and bar in punjabi bagh I have spent a really good day hereThe ambience was really goodI eat here •Afghani chicken •Chicken tikka• mutton Breads •naan • butter roti cocktail •lITMY FAVOURITE WAS: Afghani chicken  tried it with LIT JUst loved itI will love to be here againAlso it is a reasonable place Music was really cool 😎 My points 10/10
167,"Food- Had the beattt chicken tikka here. It was soft, well marinated and cheesyyyyy. Chilli chicken, dahi kebab, chilli garlic fish and paneer tikka were delicious. Plating was pretty as well.Ambience- The ambience is lit and huge with neon lights all around the place. The dj is AMAZINGGG!! Service- Our server was sweet and had knowledge about the things he was serving."
168,TEO is seriously very nice outlet at punjabi bag club road. There interior is so nice and well drummed. This place has so nice vibes that i can't even explain in words. I really enjoyed my evening there and if you also want to enjoy your weekend or any evening you should also visit there. There food is so nice and well cooked. There food is so nice coated with different flavors which i was able to feel them. I had many things:Olive chicken tikka Paneer tikkaKebab Dal Makhni Butter chicken Gravy mutton And brownie with ice cream I will definitely visit there again. Thankyou
169,Sunday has to be funday so today I visited this place with my friends. We had lunch here and j ordered pineapple mocktail that was amazing. We danced also. They have nice DJ
170,Highly recommended !!This place is really amazing situated on the club road. The place has got ample of seating with a beautiful ambience. They have got a dance floor a separate bar counter 2 DJ's. A totally party kind of a place.Yesterday i was here for a party and i really enjoyed it.Here we ordered :STARTERS -📍Paneer Tikka 📍Corn Kabab📍Chilly GobhiMAIN COURSE-📍Dal Makhani📍Shahi paneer📍Veg Biryani & BreadsDRINKS -•Virgin Mojito•Pineapple CobblerOverall I enjoyed my visit a lot and had a great fun.
171,"Teo :A perfect place for a get together. Situated in Punjabi Bagh club road. You can easily find this place. They have indoor sitting. The place us spacious. You won't struggle to get a table here. The DJ was amazing. Mocktails: Virgin Mojito , Pineapple Cobbler. Starters and Main Course: I ordrer Paneer tikka , Corn Kabab , Dal Makhni , Shahi Paneer, Butter Naan. Dessert: Brownie with Vanilla Icecream, Moong Dal Ka Halwa. Everything was Amazing. The service was on time, I didn't had to wait for my order. The staff was courteous. A must visit place"
172,"Today i went to teo , a newly opened restaurantWhich has a big areaAnd beautiful lightingsThe decor is amazingPlus the ambience was also greatI ordered lots of dishesAnd honestly i loved most of the dishesLiit is perfect over here and its a must try thingBeautiful place in a beautiful locationMade my dayHighly recommendedOverall a great experience5/5"
173,"Amazed with the way every food and mocktails are beautifully presented. It was as wonderful in taste also. Quantity wise it is enough. Ambience, lighting and music is perfect for parties. Staff is polite and quick im servicing"
174,"I like the TEO at Punjabi bagh . The place was very good , crowd was also good. I'm impressed by the staff because they are professionals and humble nature. I ordered chicken wings which was very tasty , wings are perfectly cooked and sauce with vegetables was nice. The mocktail was also good ."
175,"This place is perfect for there food , music , crowd, mangement . All things are just to good . Whenever I went there , my expectations are full filled . I ordered chicken tikka and dahi ke kabab with Oreo shake . The chicken tikka was amazing I really loved it and dahi ke kabab was litt , they are outstanding and the Oreo shake was also nice ."
176,"Where to start the place was amazing, the decoration was awesome nice table setting, Appetizers were good ordered Hand wrapped potato and chese stick with Thai chicken satay, chicken was warm and nicely baked and mojito was nicely made and refreshing."
177,"This place in punjabi bagh is really nice, ambiance was soothing, comfortable sitting and menu was full of varities. I went here with my friends, we had here chilli cheese toast, spicy corn chilli pepper and butter chicken pizza. Toast was soft yet lil crispy, full of cheese. Corn was spicy and crispy. Pizza was thin crust, toppings were accurate and fresh, cheese was fresh. Overall i loved the quality and quantity of food. Surely gonna try other items soon. Recommended."
178,TEO lounge and bar located in delhi. The ambiance is good and the places has good vibes. After long work we had great time.Strawberry margrethia was good and refreshing. The alfredo pasta was very good. The panner hydrebadi was best with kulchas. Desert had brownies and vanilla ice - creams.
179,"It is located at north west avenue , punjabi baugh new delhi.It is a good place to party with people there.As i was there after my work with my office people we had a dining as we were carving for food.The munchow soup was good and just loved it.Other we had chicken tikka and maincourse had butter chicken with rotis overall it was a great time."
180,"I was in punjabi bag for some work wity my friends and we were hungry, so we decided to go for lunch at TEO lounge. This restaurant is very clasy and beautiful. The menu has many items. From which we ordered paneer makhani, teo butter chicken, rogan rosh with some naan. Food is very delicious and cooked very well. Chicken and mutton quality was good.Great hospitality by staff. Gonna visit next time again."
181,"TEO is a good lounge to visit in punjabi bagh with decent ambience and elaborative menu to fill the bellies, its north indian cuisine is that i loved the most, we had daal makhani, shahi paneer, rice and a couple of bread namely butter roti and butter naan, i found naan soft and of good size, its prices are also fare keeping in view that it's a lounge and offers good service, i loved the helping nature of the staff here."
182,"There are many lounge in punjabi bagh but none of them are of like TEO. The Ambience is good, music is nice.Service on time by the staff. Presentation of food is also good. Pasta is a must try with shakes.Surely gonna come again here."
183,"If you are looking for a affordable lounge and bar in punjabi nagar then, TEO lounge and bar is a perfect place for. For students it's a perfect hangout place. I went there with my classmates and we had lunch. We ordered Paneer chillli dry, pasta, makhani paneer, Chicken malai, butter naan, garlic naan.Service is very fast.Taste is awesome.Go for it if are a group of 5-6 people."
184,"TEO lounge and bar is a all new place in Punjabi bagh. Recently got a chance to visit this lounge. It's a fine dine types of restaurant in punjabi bagh. I was there for dinner. We ordered laal mass, pasta, pizza annd vanilla and KitKat shake. Service is very fast. Staff is polite too. Presentation was good.Pasta was delicious.Pasta-5/5Shakes-5/5."
185,"We have done a successful deal with a big company so boss have given party in TEO - The Dineroom. When we have entered the interior was so pleasant and well maintened. Sitting arrangement was so good that everybody can share their words with each other. Finally we ordered Tandoori Kukkad, Chicken Tikka Kali Mirch, Tom Yum and Manchow Soup, Potato Mozzarella Fingers, Vegetable Dumpling in Manchurian Sauce, Pan Fried Noodles, Bhindi Do Pyaza, Subz Biryani , Chocolate Walnut Brownie and Shahi Tukda. All the items was so yummy and mood watering. Service was so quick. With waiters floor manager is also taking care of customers. Rate was not that expensive as food was. It was a good experience...read more"
186,"🍽 TEO - THE DINEROOM 🍽Located in Punjabi Bagh, New Delhi, The TEO dineroom is one of the most ideal places to visit have great fun along with your friends & family and loved ones. It is also a good for get-togethers and informal meetings. TEO has a beautiful ambience and pretty decor overall. The staff is courteous and the members were very polite and helpful to us. They gave us great Hospitality! This is well maintained place with clean & hygienic conditions in dining as well as kitchen area.We had :-▪️Bhutte ke kebab ▪️Murgh ka sula▪️Chicken DimsumAll the items we ordered were very tasty and well cooked. Loved the quality of the food and the way of garnishing....read more"
187,"This place has decent ambience you can visit this place with your friends and family. Here you will enjoy some mouthwatering food like cheese corn ball,farm fresh pizza and shahi tukda.They serve customised food according to request made by customers we requested them to make it little spicy and it worked perfectly for us. The staff over there was quite helpful and supportive."
188,One of most royal dining restaurant which is located in punjabi bugh. Ambience is good and staff are very supportive.I went to this place with my cousins and we had paneer tikka sunheri and Chinese which were mindblowing.Paneer tikka sunheri is highly recommended.
189,"TEO the dineroom is such a beautiful place to be at, Went there for Lunch, Serving lips smacking food and Variety of Beers. Totally a friend's and family place because staff there is super friendly and with no second of time come.at your table to help."
190,"The Dineroom located in Punjab Bagh, Delhi has become one of my favorite places when it comes to classic dinner. I had been for a vacation with my family where I was looking across a fine dine place for dinner. I am totally in love with the ambiance of this place. It's elegant and beautiful. The seating is comfy and cozy. Not just the ambience the food will definitely blow your heart to visit this place again. The service is good. The staff is cooperative. The management is excellent."
191,"I was on vacation and I went to this place to have some quick bites. The service is super quick and the service is prompt. Hygiene was well maintained.We orderedOlives murgh tikka : It a new take on the traditional Chicken tikka, marinated in South Indian sauces and topped with olives. It was very delicious and the quantity was good.It was an amazing experience for me."
192,"Wow! Such a perfect place to be at with your loved ones for special occasions. You get Chinese, Italian, Indian and Mughlai food here. My fav of all cuisines is Italian food here. I really love their pizzas with some good wine. Love how perfectly  made Italian dishes they have in their menu. Have lots of variety to choose from. You can be at this place when planning a get together in huge groups as ambience is really good."
193,TEO!!One of my my friends suggested me this place. I gotta say the food here is just fab.The service was very quick. The delivery too was good to avoid any leakings.Ordered paneer tikka sunheri. It was paneer marinated with yoghurt and some spices. Loved it. Highly recommended.Also ordered the classic hakka noodles. They were just perfectly made. Nicely cooked. Delivered to us hot and fresh. Liked the taste had veggies and nice spicy flavour to it.It was an amazing experience for me.RatingsFood 5/5Service 5/5
194,"What a royal dining restaurant it is. Just tried food here located in punjabi bagh. One of the beautiful interior I would say it has.I tried its chicken drum sticks, paneer tikka sunheri, hakka noodles and honey chilli potatoes. Chicken drum sticks were small chicken pieces tossed in spices and very crispy. Their paneer tikka sunheri were amazing with cottage cheese marinated in yogurt and spices. They were finely cooked. Hakka noodles were loaded with veggies and honey chilli potatoes were amazing mix of honey and chilly.Their food quality and services were commendable.Highly recommended"
195,"The food and ambience here is awesome, also the staff is very polite and humble."
