,The Chatter House
281,"Their staff is really friendly and helpful we asked them what we should order when we came here, they suggested butter chicken spring rolls and they surely didn't disappoint, they had really amazing flavor and went well the whiskey sour that we ordered which was also very good.It's a must visit place for sure."
282,"Went to this place with friends for a casual outing and find this place really amazing . We tried sago buckwheat sliders,pesto mushroom and cheese Toasties and avacado hummus tostadas along with coffee and mocktails.the best of all was pesto mushroom and one one of the best mocktail I had was Amrood Chaat Junior"
283,The dim lighting with the good music and lip smacking food will set your mood for the night for you and your buddies. Recommended drink: LIIT... Food: Pizza (any)
284,"Went to this place and had a booking done through dineout for 50% off on the way. The manager refused to give the discount quoting ""Baithe baithe 50% off thodi dr dunga"". I don't get why do they collaborate with Dineout then?Highly disappointed! The manager seemed to be so unprofessional while his interaction with us."
285,Food was so tasty and ambience is awesome.You can visit this place with your both friends and family.Staff was so polite and interior is so good.
286,This place is a great hangout place with friends. We had pasta and pizza here which were very delicious. The staff was very polite and friendly.
287,"This was my second visit to this restaurant and i liked the experience. I picked myself alfresco seating and really like the ambience, However the inside seating was really dark and music needs a change. I could smell the pest control sprayed in the restaurant during lunch hours that's why i picked the outside seating. Ordered for a pizza and Dahi kebab, Pizza was nice and juicy but Dahi kebab was as tiny as a kid hot wheels car :(After lunch and drinks, I felt like having affogato, which was not there on the menu, but thanks to the bartender who prepared it especially for me :)Thanks also to the lady at the front who help me with WiFi and took care of me and my friend :)"
288,"Epicuria, is one of many of my favorite places. Considering the variety of cuisines it caters. Chatter House is one of the amazing restaurants in this nook of town. Starting from good food to the European interiors and ambiance.. it also beguils the soul with any good selection of music."
289,"This haven located under the hustle bustle of Epicuria Mall, Nehru Place is something I was looking forward to visiting, and I wasn't disappointed.We took our seats in their outdoor seating area which was beautifully decorated giving you a perfect blend of openness, yet some privacy from the world outside.We ordered• Blue Cheese Naan Dal Makhani Shots - the pungent yet delicious flavor of blue cheese was oddly going perfectly well with the creamy texture of the dal makhani; and• Butter Chicken with Laccha Parantha - The quantity of butter chicken was sufficient for one. So that was a bit of a put off when going with a group. However, the taste wasn't disappointing, however, i...read more"
290,I visited Chatter House with bunch of friends for a casual lunch and I really loved the experienceWe had their appetizers along with some drinksMust try their Mushroom and lentil burger along with the Almond citrus salad which is a must must try.The service was really good and they have very supportive staff.
291,"I recently tried Chatter House Nehru Place and was absolutely amazed by the gorgeous interiors and the lively ambience and music. We had gone across of their winter specialities and loved them to bits. Following are some items not to miss at all! 1. Almond Citrus Salad 2. Blue cheese naan with dal makhani3. Wood fired rosemary garlic bread4. Bacon Wrapped mac n cheese bombsThe food here was absolutely splendid, and so were the drinks. I relished each food item and shall definitely come back here again !"
292,Fantastic decor and food! Loved the Chardonnay and Mushroom Fettuccine. The staff was extremely polite and helpful. Perfect for dates/group meets or just a quiet chilling with friends or family! 
293,"A nice place to relax and chill over a drink with your friends. Location, ambience are really good. They also have an option for outdoor sitting. Food quality and service are also good. The staff is polite and courteous. "
294,Recently visited this place for the first time. Enjoyed the ambience and the music that was being played there. The staff was also quite hospitable. We only ordered for drinks there wherein we tried their LIIT which was nice and along with their over the counter Gin and some nachos. Overall a nice experience with a view of pre boozing.
295,Nice ambiance......courteous staff.....ordered 2+2 beer using Zomato gold....a veg pizza....some fries.....a white sauce pasta....all was good....served on time....no issues with billing or food or service....surely worth visiting!!!
296,Brilliant place to to spread time with your chatter box amigos! Met a friend over drinks and snacks. Had an amazing time. The gentleman serving us was a little hard of hearing but the service was impeccable. Food was delicious and drinks were up to the mark. Great place to chill! 
297,Food was good but the service was a bit slow considering there was a very small crowd at the time we visited the place and they had ample number of people.
298,"Love this place for a number of reasons.Brilliant platters, with a really good and vast selection of itemsAmazing pizza (every slice has a big piece of cheese)Even better combos of dal makhani / paneer which come with onion and breadGreat ambienceDefinitely a must visit"
299,"If feta cheese, oyster and chicken are vegan, then yes, @thechatterhouse serves vegan food. Beware vegans of Delhi. @fiapoindia . #vegansofdelhi #delhiveganrestaurants #delhivegans #vegansofgurugram #gurugramvegans #delhincrvegans"
300,"I had sangria, which was so refreshing that I ordered one more.One margarita which was not quite likeable so asked them to change and they did. The other pizza which they suggested was one with toppings which tasted nice.Also last but not the least, Burger which was dayum! "
301,"Very polite, clam and humble staff.Harish way of taking things down for LIIT is perfect and outer area of a sitting is also very appealing."
302,"We have been to this place for quite some times now. The music makes up keep coming back there. The ambience is also cute and the food is nice. Overall, one of the few good places to hang out with good music. Last time we were served by Sandeep and he was very nice. I am sure I will keep going back there."
303,They serve good pizza and pasta. Nothing unique about the ambience. It is same as a lot of other cafes that have come up in town. One thing that disappointed me was mistake in taking the order and yet they were not apologetic about it. Maybe they should train their staff to be careful while taking orders and not mess up with it. 
304,Good place. Loved the ambiance and the food. Nice place to go with friends. The price is reasonable and the food is delicious. Love the theme of the place.
305,Great food and drinks on the menu. Staff is very much gentle and helping to choose a perfect meal for you. A pretty cool place to hangout with friends. Only downside is the overly expensive menu
306,"Fun & friendly atmosphere.. good selection of cocktails in their menu .. food variety can be updated , but nonetheless good food. Go visit for a fun outing with friends. "
307,Nice ambiance spl if you are looking to get away from the blaring music of adjoining outlets while still enjoying a drink or two with light background musicUse Zomato gold here for 2+2 on drinks.Must try the coffee liqueur ice tea 
308,"Amazing place with extremely amazing hospitality,Well groomed staff,lovely ambience, wide varieties of food with lovely touch of alcohol.I visit this place quite offended and consistently me n my friends getting best service n value for money food and beverages, this shows that this place is rocking n amazing.I recommend this place to all of friends n people who want to make their visit memorable.Cheerrsshh 🍻🍻"
309,"The Chatter House in Nehru Place has a cool British Pub Feel. Their lunch menu @499 is an absolute steal. Butter Chicken Spring Rolls - A great twist, brings the best of both the cuisines Peri Peri Chicken  - Your love for spices will be satiated with this dishFish Fingers - These were a little disappointing as the fish was quite smelly Chicken Chorizo Croquettes - Nice and crunchy Chicken Stroganoff with rice - It was okayArriabata Pasta - Nothing special Grilled Chicken Aglio Olio - YummmmyyyyyThe Chatter Butter Chicken - Delish!!! Gooey Chocolate Cake - Perfect choco lava cake Gulab Jamun Cheesecake - Fantastic, it had a lovely peach flavour with the gulab jamun...read more"
310,"Food - they don’t know how to cookService - a complete failAmbience - needs a revamp, it looks like a shady placeExperience - After experiencing Gurgaon this is probably the worst experience in terms of chic places in NCR"
311,Great Food. Polite staff. Sandeep was serving us and he went out of his way to give us a great experience. He should be rewarded for sure. Thanks Sandeep and The Chatter House.
312,The food is amazing and the ambience is goodThe pizza was exquisite but the main star for me was the sitting area which is just perfect for winter evening
313,"Good food, great ambience, amazing music, courteous staff. All in all a good experience. Must try their gooey chocolate cake and burnt garlic soup!"
314,"Its nice cosy place to hangout comfortable sitting. Food is delicious, I have ordered tandoori veg platter which was good. They have decent bar menu. Service is little slow. "
315,The overall experience was average. The place is quite expensive and the service was too slow. We ordered Crispy fried veg platter but yes i surely loved the dips.
316,I visited this place on last to last friday! It was a pre birthday bash and a huge celebration with friends!We had so much fun! This place has a really good vibe.. good music great food and lovely lively ambience! We didnt order any hardrinks yet enjoyed the party to the fullest.I have tried so many things from the starters menu-1. Nachos- my all time favourite thing and i really love when it is served with spicy jalepenos onions baked cheese on the top along with salsa dip n seasonings! I realy love cheese and nachos and it was a great blend i realy enjoyed it! Its a must try.2. Bluecheesenaan- so this particular dish was a very classic combo of naan and black dal.. but i realy...read more
317,"The chatter house is really good in environment and service also have the tasteful food 🥘, drinks and very affordable and also have exciting games here. So this place is definitely a good choice for small groups get together "
318,A nice place to just hang out on a Wednesday evening. They have some pretty amazing ladies night offers that are not to be missed. Good music on most days. 
319,"The vibe and environment at Chatter house is amazing. The ambience a is well designed ,a perfect place for a meeting to a friends get together! "
320,"Old worlds charm!!!!!!The chatter house is located in Epicuria nehru place which is already one of the major hub for foodies, easily accessible by metro it is just below neh place metro station, Ambience of this place is so charismatic and attractive - comfortable solid wooden chairs and, upholstered with faux leather, semi finished brick walls, magical dim lights, bob marley music in the background, old school decor giving feel of a vintage era. The place is spacious with outdoor seating available which is again cherry on the top.Remarkable service person serving us was well versed with cocktails and even the food preparation and gave us some good recommendations.We ordered...read more"
321,"It’s actually a chatterhouse. Went there with a couple of colleagues to discuss work and enjoy the evening in parallel. But the ambiance was quite “Loud”. We ordered pepperoni pizza mixed with regular alfredo pasta.Our group of seven people ate and drank a lot, which costed us around 15k, looks decent according to Epicurean standards!Overall-it was fine!"
322,"The Chatter House, the most Breathtaking place u will ever visit in Nehru Place..The ambience so marvelous n classy, accompanied with great service n also the live music. The place is soothing, pool table is plus point of this place and the sitting area outside is also beautiful promising a wonderful experience.Talking about food we had Butter Chicken spring roll was amazing.Chicken Malai Tikka was mouth watering.Butter Chicken Pizza was the one i recommend if u visit here.From Tandoori Veg platter, the veg serkh kebabs was the best.overall this is perfect place to be with Friends."
323,"Lovely place.Specially on outside.Nice for winters.Food is amazing. Must try jacket potatoes.Served by : Mr Bijendra, really humble person."
324,"It's a nice place , but sadly had a bad experience of over smokey pastas , they had big explanation of itNeed to work not fooling customer .Galoti kabab ( veg was ok )Pasta was also fine siMust visit place with friends "
325,Off late epocuria has been the goto place for a Friday night. This place is generally less crowded and has mostly classy ambience. Fell in love with their started selection.Services 4/5Ambience 5/5Food 4/5Pocket friendly 4/5Over all 4/5
326,"Epicuria it is...Off lately, I have become a regular visitor to Epicuria Center located in Nehru Place because of its late night coffee shops mainly LaOpera and Starbucks.But couple of days back me and my friends wanted to have beer so I got an opportunity to drop in to TCH. Though I had been to their another property before but the Nehru Place one was my first time.Gad a gala time as we consumed more than 20 beers and tried couple of startersThe showstopper was butter chicken spring roll which on recommendation of the server we ordered and it really came out well.Also, we ordered few other items and everything was great in taste.Being listed on Zomato Gold, this place is a...read more"
327,Oh my god WOW! Beautiful and aesthetically pleasing place with amazing vibes both inside and outside. Pizzas😍Platters👌🏼Beers 🍻😏Loved it!
328,"As I shifted in Nehru place for workSo now we always have party on weekends.On Sat Lunch we went chatter houseWhich really impress us with the ambience and serviceWe ordered couple of beers and teachers with Happy Hour offerAnd for food we ordered Chicken Malai Tikka, Margareta pizza (suggested by server) and I must say both were amazingIn the end waiter asked for dessert but we don't want to have so surprisly we got 1 complimentary Gulabjamun cheesecake dessert which we really like itWhole point of my 5rating is the service and active staff.Will visit regularly "
329,"Good ambience in the outside seating area (went for lunch). Service okay. Food was decent but not great. Rajma Goulati is really bad. Dal Makhni was tasty and Tandoori Roti was soft and served hot. Hummus Falafel burger was too bland though. Had no additional mediterranean fillings, sauces or seasoning to make it good. Should probably try to replicate pita pocket fillings in the burger to make it a good dish."
330,"To start with, The Chatter House has the ambience of a pub, with both indoor as well as outdoor seating arrangement. The ambience overall is really good with the pictures on the wall and the slightly dim lighting. They have a Foosball table and a far board which are really nice we enjoyed the Foosball immensely.The drinks: They have a nice array of drinks and apart from the standard drinks such as beer (which is the same everywhere), the cocktails is what need to be mentioned. The one that really caught my.attention and stood out is the Mocha Martini. I have had Espresso Martini elsewhere and this was a good match and the Mocha made is nice and creamy and yet was not overpowering....read more"
331,One place wherein you can chill and have a great time. The music is never too loud so you can actually enjoy your drinks peacefully! Overall it is a go to place especially during the winters... sit outside and try there pizza it is actually very good!
332,"The new brunch menu at this venue is way more exciting then anything else.I mean with just 599+ taxes, the deal they are offering is insanely amazing.Who doesn't like a happening ambiance with such laudable offers, with just 600 bucks (give or take) 1 soup, 1 appetizer, 1 main course and breads and a dessert.Also a great choice of mocktails and beertails makes it a combo hit worthy.You guyz must visit the venue and relish the new menu.Loved it.The pics are clear evidence, go and enjoy."
333,"Decent place. Lot of variety in menu. Liked the fusion too in their eating options. Very good music, to my taste. The butter 🐔 spring rolls were a revelation."
334,"Very nice place, nice food, nice ambience. Good service. Outdoor area is always preferred. I ordered veg pulao and it was very tasty. Worth visiting the place again."
335,The place is great with amazing services.Bijender Pandey served us with fervour and calmness.A highly recommend placeMust go for people and have food
336,"The Chatter House is located in Epicuria Food Mall, Nehru Place.Staff is friendly and service is fast.Garden in a bowl - This was an amazing salad bowl. The portion might look a bit less but it's quite heavy on the tummy. A combination of various veggies like carrot, french beans, broccoli, asparagus, olives, roasted almonds on a bed of smoked yogurt and egg plant puree.Tostadas - Crunchy tortilla topped with kidney beans, salsa, peppers and sour cream.Butter Chicken Spring Rolls - I'm not a fan of butter chicken as mostly it served on a sweeter side but this one wasn't like that. Butter Chicken was thick and creamy and not sweet! Such an exotic style of having butter chicken in a...read more"
337,"I visited there with my friends. We ordered some food like Piri Piri chicken, Margarita Pizza & some drinks. The food was suggested by chef. Really it was awesome food & grt service. We got the grt experience. Looking forward to visit again."
338,The chatter house is a causal dining restaurant located in Nehru place it is a place where you can cherish every bite of North Indian and Italian cuisine. A rustic cozy ambiance indoors and a beautiful ful green lush setting outdoors. The warm and friendly staff made sure that everything was topnotch and fell in place and about food I ordered 499meal which was perfect for one person . I ordered peri peri chicken tomato soup and kadai veg with gulab jamun cheese cake. All the food was delicious and perfect to serve.
339,"It is my first visit to chatter house. Interior was very niceAnd cosy. Let's talk about food I ordered lamb burger, charred chicken and veg pizza al the food was very tasty and mouthwaterning. I also tried peri peri chicken and butter chicken spring roll both are well plating and tasty.Staff was also well trained and experienced about food and drinks.definatly me and my friends come again.Food.....5/5Service....5/5🤔🤔😥"
340,It is a lovely place situated in Epicurus mall and has lovely food. Ranging from starters to the main course and then the dessert. It was just amazing we had fish n chips and the pasta was also good. I do remember their tastes we also tried the rajma galouti which was very good. The presentation of all the dishes were done marvellously and the service staff were very cordial and warm especiallyRajiv and Sandeep. The ambiance was also cosy and I liked the place a lot.
341,"The worst burger, Horrendous fish and chips and preposterous chicken summarizes my experience at the place . I ordered a cold coffee with Oreo cookies but to my surprise they gave me a plain cold coffee. On complaining abt the same they, the restaurant, added some Oreo cookies not as chunks but minced to an extend that it was powder which by the end was just a paste. Apart part from leaving a huge hole in my pocket the portion of the food delivered was depressing. The only thing good was the attitude of the waiters. "
342,Horrible! Pathetic! Fake reviews. Do not go to this place. Overpriced place with horrendous food. Specifically asked if the fish used is frozen and the server said ‘no’ yet it was frozen. Just overall bad bad food
343,It’s a nice place to hang out with friends . The place has got music plus good ambience. They close the tandoor at around 5 pm. Visited the place at that time. Food was okayish. Service was good.
344,"Recently heard about Chatter House launching their Halloween Menu, so I decided to be there with my friends. Firstly these guys really worked on the décor part keeping in mind the Halloween theme. They had these fabricated spider webs all over the place, lil pumpkin monsters pumpkin and low dim lights completely went well with the theme.They had a separate Halloween menu which had some options for Veg and Non Veg Starters, with 2 dessert options and some Halloween cocktail drink options. From their Halloween menu we tried Mutant chicken fingers which were basically chicken kebabs served as chopped human fingers which looked spooky.Apart from that we had Rajma Galouti Kebab which were...read more"
345,"Being a foodie and my second visit to chatter house Nehru place this time I tried keema Pao. Portion was just right, taste was amazing, service on top. Thanks once again. "
346,I have been to The Chatter House today. Had a great day. Great ambience. Music was louder. Pizza was delicious. Nachos were also good. Most of the beers were not available though. They didn’t have a strong beer. 
347,One of finest and aesthetic restaurants in Delhi.Classy Ambience and soft lightings are beautiful.Friendly staff.Cocktails are highlight and Butter chicken spring rolls are the best. Must Try. ♥️
348,"I like the attention the restaurant gives you, and trust me the food is pretty good! Alcohol is bit expensive though. But the food is value for money. "
349,"The most breathtaking place i had visit in nehru place, the chatter house the ambiance soo marvlous and fascinating loved the food also the cocktails were totally mind blowing they had such a standard type of place where they serve the best abd hygenic food the variants in chicken or fish, was really ultimate and amazing. Would love to visit here again super soon!"
350,"A perfect spot to be at with a group of old friends to relive the past. It has a good ambience with live music, pool table and not to forget the amazing.You will find a touch of continental and mughlai. There are some amazing dishes availabe, dont forget to top it with some booz"
351,"When I entered this place, I found it very dark but then the outdoor area was really nice and I sat there with friends and couldn't realise the time as the weather was pleasant. Staff is very friendly.I ordered for a non-veg platter and fries which were really tasty. I was really happy to see that when I visited they had happy hours and we got 1+1 on drinks. I would like to visit again."
352,The Chatter House is a casual-dining restaurant located in Nehru Place. It is a place where you can cherish every bite of North Indian and Italian cuisine that you had and it doesn’t even burn a hole in your pocket. A rustic cozy ambiance indoors and a beautiful green lush setting outdoors promises a wonderful experience. The warm and friendly staff made sure that everything was top-notch and fell in place. It is a perfect place for people who want to go for a fulsome meal that goes well with the signature drinks.
353,I went to chatter house last week and I had their beer fest menu in which I had pretzels along with that I had their daal making shots with blue cheese naan then I had their pav bhaji focaccia followed by chilly cheese toastads and falafel with hummus totally loved the food here and will be coming soon again
354,The ambience was extremely chill. The staff were really friendly. Had the peri peri chicken which was realllll good. But the pizza was a little bland. The vodka pasta was well done but it tasted like any other pasta and the fries were pretty good too.
355,"Loved this place! We had 2 portions of their lunch special. Its easy on the pocket and the options are quite good too. Loved the tomato and basil soup, it was so warming. Had fish fingers and cheese tostadas for entree and I felt like the tostadas could be way better. For main, we had grilled chicken with aglio olio and that was heavenly, along with butter chicken and Indian breads which was great too. For desert, we had the gulab jamun cheesecake and gooey chocolate cake. All in all, a great experience! "
356,The location is quite good and it offers super foodie times while out here with your foodie squad. I recently got a sudden meet planned here and enjoyed such amazing food items crafted by the talented F&B team of Chatter House. They have recently revamped their menu and currently the outlet is offering Exclusive Lunch 4 Course Meal at a surprising amount of INR 499/- which I found quite reasonable as the quality of food items served here was so good and I loved it to the core.
357,"Loved the rustic ambience, was pretty dead on a Sunday night. Well they were playing decent rock music which was a relief ! They had a Oktoberfest menu. Bonus points for that"
358,"The Chatter House is located in Epicuria, just below Nehru Place Metro Station. As you enter Epicuria, you take a left and you can see 'The Chatter House'. I sat in the outdoor seating that they have, and that is one hell of a seating. Just Wow.The lighting, the plants, the brick work and the chairs— everything goes so well together. In a good weather, I would always recommend people to sit outside. It is not truly outdoor or truly indoor, it is somewhere in between — but it great. I just had a platter with drinks. The platter was pretty awesome, so no complaints. Great job:). "
359,"This place has some beautiful interiors done with great staff. the servers were much more cooperating and were all there ready to serve their customers. The service was at first not delayed even for a second, but as we reached towards the desserts, the service got poorly delayed maybe because by then, they got packed.For the drinks, I would suggest their strawberry cheese cake shake and indie cola - both were worth ordering specially the shake was hell amazing.For the food, you must order their cheese toastadas which was a mini version of a pizza difference being the base used.Also, you should not miss out on their alfredo penne pasta which was sufficiently creamy.For the main...read more"
360,"Chatter House in the Epicuria Mall, Nehru Place is one brilliant place to spend some good time with chit chatting with your people.The ambiance is nice, and they have an outdoor sitting cum smoking area as well. We opted for the outdoor sitting only. Coming to the service, the staff was excellent in terms of hospitality.The service was good, but there were delays at times.Now lets talk about the food, we had Cheese Toastadas, Rajma Galauti, Penne Alfredo Pasta, and Pao Bhaji. The food was very nice, and we loved the pasta and the pao bhaji, and would recomment these to all of you reading this.Overall, it was a nice experience and this place deserves a 4.5+/5."
361,"This place is situated near by my home so I usually visit here to get some quick snacks and main course today I went here for the same. This place is really beautifulThey have some amazing wall decorationsThey have well trained staff. Staff was very well inform about the offers and menu.I tried the peri peri chicken, butter chicken spring roll, which were amazing. And I tried juicy Lucy burger and meat ball also which were usual great. Server and chef both r very polite and suggested me yummy food.Chatter house thanks for make a good eve for me and my friends. "
362,Amazing experience at the restaurant. Very good service by Bijendra. Thank you for making our visit memorable. We will keep coming back to Chatter House. 
363,"I used to visit this restaurant regularly when they had begun their operations in Nehru Place. It is a good place to be trying to live up to the charm of English pubs. The food quality has however dwindled and so have the portions. We had ordered onion rings, nachos, hot meatballs, and melting cheese burger there. Excessively overpriced compared to quantity and quality was compromised. To be honest I have had better food for this price (not naming the restaurant) and don't think this place is worth my dime anymore."
364,"Very average food and overpriced as per it's quality.We went out for drinks & food last night and left out after starters.Food ordered - Greek salad & Tandoori veg platter.Greek salad - I don't know if chef has any idea how this salad is made.The salad bowl had a bare minimum feta, just one slice each of onion, cucumber,all three color capsicum nd 2 pcs of olive rest was lettuce leave with dressing.Tandoori veg platter - deep fried corn Tikka full of oil ,dahi kebab of soured curd ,veg kebab with loads of spices & reasonable paneer Tikka.Not only food was average,when our server asked how did we find food & we mentioned not so good - he just went back as his job was only abt...read more"
365,"Delightful ambiance and great food!Went there with a group of friends for drinks. The place has a very upbeat atmosphere, chilled out music and polite staff.We ordered the veg and non veg platters, a pasta, onion rings, burgers and grilled chicken. No complaints at all about the food at all, simply outstanding.I have small complain though, on receiving the bill we discovered we were charged for a few items which we never ordered, amounting to Rs. 1700appox, honestly I'm a little disappointed that the management would make such a maistake. Not sure it was a miatake or intentional?Anyways apart from the billing disaster, we had a great time."
366,Been here twice.  The food is quite average and the music isn’t very good either.  The food however is priced well and is easy on the pocket.  
367,"Picture this - Autumn vibes, good friends and “navratri menu” !! All right, the navratri menu might not  be a 100% fit in the overall scheme of things so in addition to tasting the navratri menu, the carnivorous me, dug into some meat as well for lunch a couple of days ago.Chatter House is a cozy and woody little place at the lower basement level of Epicurea in Nehru place. It can very easily pass of as a Londonish pub if you look at the interiors and decor. We chose to sit outside in the open as the weather was fab. Between the 3 of us, we requested a Navratri thali, some buckwheat sliders, peri peri chicken and some moroccan spiced chicken with hummum and pita. I also requested...read more"
368,"Went there a couple of times with friends,nice place to hang,specially on a chill winter night outside by the lion headed fountain and the pizza oven.. plus it’s nearby for a quick drink or an impromptu night out"
369,"The place has great interiors and lively atmosphere. We ordered butter chicken pizza, cottage cheese main course and chicken tikka.The service was slow maybe cause of weekends.Next time in Epicurua got better places in my wish list to try out. We were with kids so it was kind of management to offer us a better table. Would recommend reservations for weekends."
370,Average food and average cocktails. The decor seems okay but has a pungent smell. Needs a lot of work and the crowd that you find at this place is going to be quiet depressing. 
371,Ambience is nice.. the staff is politeFood is like okayish.. the drinks and cocktails are good ..Good for a casual evening visit with friends
372,"The Chatter house is located at the Epicuria Food Mall at Nehru place. The Nehru place metro station is right next to the food mall making it super easily accessible to visit.Actually a pub, better known for it's live sport screenings and bar , I visited it for Navratra food after seeing their Buckwheat sliders on social media .THE BUCKWHEAT SLIDERS are mini burgers with three different kind of patties. The Paneer Patty, the sweet potato Patty and the Sago or sabudana Patty stuffed inside buckwheat buns with sweet potato fries and salad on the side . Innovative and making sure that your Navratra food is not boring anymore.Also tried the NAVRATRA THAALI which was served in a platter...read more"
373,The pao baji was typical Mumbai style. I liked even the bun. The green chutney is too hot. The portion size was good enough. The delivery was on time. 
374,"Didn’t have it as the delivery was an hour late and the food had become cold and hard. Food was dispatched at the time it was meant to arrive, had an alternative dinner/"
375,"Great place. Comfortable seating. Well stocked up bar. The chicken tikka pizza is a must have.Narendra, looking forward to the hand tossed pizza range. Loved it. Thank you for the gesture. "
376,"Went in just to have some cocktails. Ordered a mango margarita, a strawberry margarita and a pana cota.The mango essence felt way overpowered and overshadowed the whole drink. Strawberry was average, nothing special and forgettable.Pana cota was the only saving grace."
377,The place is nice but just found it to be too loud. But I guess that has to do with the fact that it's meant to be this way. The food too is okayish. Not the best but couldn't expect more from a bar cafe. Overall just an average place to be .
378,"This place is amongst the many other in epicuria mall. But it has taste . Will look the same from ambience. But food was tasty. We ordered fish fingers , paneer steak , veg galauti kabab , Alfredo pasta . Everything was good in taste and even there mocktails were amazing. "
379,Had gone to chatter house on Saturday for lunch with a huge group. Ended up ordering quite a few things- most of the dishes were either quite spicy or oily that we had to go back and point out to them. 
380,the outlet is good .it has a great ambience and a cool environment. i liked the place .they serve a four meal for one in 499.a very happening place to go out with friends and family.
381,"It Can Be Easliy Located In Busy South Delhi Nehru Place Under Metro Station Epicura Food Arena . The Chatter House Is The Name Of A True Foodie Saga Which Accomplishes One’s True Foodie Goals.It was India Vs Pakistan Cricket Match Sunday Enjoyed It On Big Screen With Drinks Cocktails N Mocktails, Appetizers, Main Course N Desserts .Drinks :- Botanical Bourbon Was The Best Cocktail I Have Till Yet Followed By Mocha Art Was So Refreshing .Started With Appetizers :-1.Burnt Garlic Soup As I Am Not Found Of Soips But After Having This One I Was Simply Ammused By The Taste Its Highly Recommended.2.Butter Chicken Spring Roll Served With Butter Chicken Gravy N Mint Dip Was Simply Lip...read more"
382,"A nice trendy, hip place with dark interiors and a continental cuisine, this place offers good service and pretty good food too.For drinks, we got virgin mojito, potato wedges for snacks and a vegetable penne pasta for the main course. The wedges were excellent and the pasta was pretty good. The prices weren't too bad either."
383,"Located in Epicuria Nehru Place , This is a gastro pub with Irish Style decor...They have spevial lunch menu so i have tried that only...The poweful lunch was value for money.What i loved is the butter chicken spring roll and the soup.....😄"
384,"To begin with, the hospitality is extremely warm.The staff is courteous and the service is decent.The taste of the food is very nice according to the standard of the place and the value for money.Fish Fingers with Tartare Sauce 9/10Butter Chicken Spring rolls 10/10Jacket Potato (Mushroom with Feta) 9/10Grilled chicken Aglio Olio 8/10Chicken Stroganoff with Rice 10/10Gooey Chocolate Cake 10/10In the cocktailsSparkling Daisy 10/10Cajun Spiced Margarita 10/10"
385,Tried this place and knew that it couldn't disappoint me. I had previously tried the Khan Market outlet as well and this one was a similar experience.The must try dishes from the appetizers that I tried shall be:Butter Chicken Spring rollsPeri Peri Chicken with House SaladThe must try dishes from the main course shall be:Chicken Stroganoff with RiceKeema PaoI think the dishes that I mentioned are beautifully presented and the nearest to perfection in taste. I loved all of these.One must also try their House special signature cocktails. 
386,"I have been to Chatter house for the very first time with my foodie people and its been a very good time with them all....We been here around 7 , all around dim lights and screening of matches all over.....We ordered :-1) garden in a bowl2) rajma ki galouti3) penne pasta4) butter chicken spring rolls5) Peri Peri chicken with salad6) amritsari Machi7) chicken strogan off with rice8) caramelised banana ocars9)moctails n cocktailsThese all the things which we ordered were amazingly good and satisfying .....The main thing is that they are currently offering 4 course meals @499 which is quite economical ......Overall experience went very nice ...Staff is v nice and good at...read more"
387,"Immense love for this place, the quality of the food, drinks and desserts are excellent. Ambience is one of the strong points that gives them one extra star!🌟"
388,"I went to Chatter House, Epicuria with my group of friends. It's such a lush place with fancy lightings and decor. They have outside seatings as well which are perfect of breezy dinner time or warm winter afternoon. I really loved the ambiance. Not to forget the welcoming staff who provided us the perfect seats. The service was commendable and we got served with super yummy food within no time.I tried the following items:Burnt Galric soup - I am usually not a soup person if I go to restaurants. But this was recommended by the staff only. And I'm glad I stood by the recommendation for it was creamy and delicious both.Butter chicken spring rolls - This was another unique dish that they...read more"
389,"Chatter House is the name of a true foodie saga which accomplishes one’s true foodie goals. I was recently here at this outlet situated in foodie arena of Epicuria, Nehru Place which is very close to Nehru Place metro station.The location is quite good and it offers super foodie times while out here with your foodie squad. I recently got a sudden meet planned here and enjoyed such amazing food items crafted by the talented F&B team of Chatter House. They have recently revamped their menu and currently the outlet is offering Exclusive Lunch 4 Course Meal at a surprising amount of INR 499/- which I found quite reasonable as the quality of food items served here was so good and I loved...read more"
390,"Great experience! Really enjoyed the ambience and food at this place. Was glad that I went on a day when they had the India Pakistan match playing. Thoroughly enjoyed the drinks, appetizers, main course and desserts as I watched the match on their big screens at the restaurant.Started my meal with thier lovely burnt garlic soup. Was certainly delicious and a very pleasant surprise indeed. Among the drinks, the spicy margarita and delhi mule were ordered. Especially enjoyed the presentation and taste of Delhi mule. The mixologist had done a great job with watermelon and beer in the drink along with other ingredients. The upturned beer bottle that came within the glass added a lot of...read more"
391,"had a Spinach Ricotta canneloni here, with green apple and rosemary Iced Tea! Cannelonni tasted great! Served fresh and lots of cheese sauce. and it was quick service as well.Was a little off by the iced tea, which firstly took quite long, and the Serving glass was loaded with big ice cubes rendering quite less of the drink! Nice ambience otherwise. Great food. Great experience."
392,"One of the best places (pubs) in Nehru Place to enjoy your evening. Highly recommended for couples and group of friends. Welcoming staff, and the cuisine is superb, both for vegetarians and non-vegetarians. Both indoor and outdoor seating available. Table reservation recommended for weekends. Butter chicken pizza, croquettes, chocolate cake was nice, has a wide variety of alcohol and non-alcohol drinks. Cost for two: 2000-2500 with alcohol."
393,"Beautiful cafe, good vibes and good drinks. Would recommend. Went there on a Saturday night and the service was decent; we chose to relax outdoors with some smokes and the rain. "
