,Antidot Waterbar Cafe
263,A wonderful place. Live music by Dave and Ashish Or Saturday really makes the evening wonderful. Great ambience and wonderful staff
264,"Wonderful service, the staff is very attentive and good to everybody around. Good service by Vinay!"
265,"Very good place to Hangout with Friends but little prices are high , rooftop amazing ambience , overall 9/10"
266,Antidot is a good place to hangout with friends. The ambience is very good and the seating arrangement is very well planned too. The food and drinks are great and the staffs are friendly as well.
267,Had a really great time. Great ambience. Thanks to Mr. Vinay for our experience.
268,Had an amazing experience here! Came to celebrate a friend's birthday. Alcohol was amazing. Food was brilliant. We were served very warmly by Mr. Vinay who catered to our needs very nicely. Will surely come back again :)
269,"Great service, loved Mr. Suresh. Amazing ambiance, incredible food. Must visit."
270,It is a very nice place but apart from that nothing is. Neither the service nor the food. They served the worst pizza I’ve ever eaten!! I would ask you to give it a miss if food is on your mind!
271,Amazing place. Must visit. Best food and ambience ever ❤️ Great service by Vinay.
272,"Antidot can be the perfect place for your dates as well as for a lovely time with your friends😀Spead across 2 floors and terrace. The terrace is the most sought after during winters and evenings, of course for obvious reasons😁The terrace is beautiful and generally serves as a photo booth for people😉Hookah on the terrace, along with drinks and lovely food is all you need to make your visit amazing☺I tried the Brain Freezer sheesha and Chicken Tikka pizza, both were great👍You can also enjoy 2+2 on drinks here if you are a Zomato Gold member!I will be visiting Antidot soon again to try more stuff this time😁"
273,Nice ambience......awesome place to party with friends..food and drinks are good .. great service by Mr. Vinay.
274,The ambience of this place is amazing and topped with the excellent service added to the best evening.
275,Mr. Vinay was very courteous while serving the food & drinks. The service given by him was impeccable.
276,awesome food and great service of Ankit Chauhan
277,Ankit served us at the restaurant and took care of all our demands. We were happy with his service. Keep up the good work!!
278,Great ambience and great service by Mr Ankit. Must visit place.
279,"They had a lovely ambiance with vibrant music playing around. All the food we ordered was just perfect. Kebab, soya keema french fries( a must try), a fruit mocktail with red bull, 3 type paneer tikka and last but not the least their wonderful dessert snickers with brownie,caramel, icecream with chocolate flakes and sauce! The only thing which was not good was their Garlic bread. Instead of cheese they served paneer which did not taste so good and was spicy as well. But rest everything apart from this was perfect! The dishes I mentioned are a must try! And Thanks to Ankit for his hospitality🙂"
280,Amazing time spent. Antidot and Vinay rocks......................................... will come back for sure
281,Fantastic care taken by Mr Vinay. Food and messemerizing live music by Kabir made our evening awesome. Will come back for sure
282,"The server assigned to me ( narender rana ) was on point with the dishes recommended and the drinks too , very couterous and overalll an amazing experience, definaya place to hang out at"
283,"The service was good.The crowd was also good.Perfect place to date.Hookah/sheesha was expensive,and definitely not worth it.It has 3 floors(including the terrace)I liked the rooftop to be the best one,be it interms of lighting,flooring,and the environment.One must go and have a good dayyy.Also,it can be easily found,so there is no fuss about how to get to this location.Go guys and spend a great time with antidote!"
284,"Had a great time, Thanks vinay for suggestions and service"
285,"everything was perfect...live music,food,but draught beer was not available..otherwise everything was just perfect...."
286,Customer service by Vinay was excellent and cheese lollipops by chef Mahadev was the best. The drinks were over the top The place and bravo Thank you for hosting
287,This place is one of the best in the area. The live songs are just amazing.Ambience - 5/5Food - 4/5Drinks - 5/5Old fashioned and classic liit are must try cocktails. The staff is too amazing and suresh bhaiya is one of the best staff member here.
288,Perfect ambience with rooftop feel and beer !!!Vinay is the guy who will help you out to choose menu too....👍🏻👍🏻
289,"Rooftop ambience ✔️Good Music ✔️Early winter breeze ✔️Good food✔️Great Drinks ✔️Everything that could turn a dull day to an amazing evening.. I'd like to specially mention the boy who was serving us.. Vinay.He knew exactly what was the best on their menu, really took good care of us and an absolute sweetheart to have quick conversation with! Vinay has a great smile all the time and made sure we had a good time. Thank you so much for the fancy drinks and good food you kept getting us. Cheers! See you soon ☺️☺️"
290,Vibhu was an amazing server. He was supremely warm and very helpful throughout. Took great care of us.
291,Food was delicious . Service was also very good.
292,"So I came here thinking wow nice deal on dine out and zomato. I read reviews and was confused. Glad I came here. Beautiful ambience. Nice variety in menu. Nice location.Food: I ordered chicken kothey. It turned out to be bad. I suddenly felt that I should have believed the reviews. But then the chef came and understood the problem. Unlike other places where they get defensive, he was more acceptable and understood the problem. He gave a chef special dish. And it was amazing!! Must try there fish in lemon butter sauce. Was amazing.Service: special mention to vinay. He was prompt and really took care of small little things. As soon as we finished our one round of starters he cleared the...read more"
293,"Went for my birthday and the staff was pathetic..We ordered pizza, macaroni and mocktails..Pizza was quite normal and everything was overpriced..Also, when we were clicking our pictures their staff got nothing to do except making us uncomfortable..I went to this place because of its ambience but after the rude behaviour of staff would never recommend this place to anyone..I have been to many cafes and restraunts but this was the worst one because of their staff..Ruined my birthday."
294,"The place is located in safdarjung... A little off the main area... we went there with our cousins for our anniversary Celebrations and enjoyed. The music and atmosphere was enjoyable and the ambience was really nice. Seating arrangements for a big group should be improved a little the benches are high the back support is uncomfertable.The food tasted amazing and was presented beautifully.. we had farm fresh pizza, beer battered chicken, tandoori prawns, quesadilla, mushroom pasta and dimsums, we also had a few cocktails. Portion serving for chicken wings and quesadilla can be improved. Mezze platter was disappointing. The staff was very helpful and agreed quickly to our request for a...read more"
295,"Antidot is located in safdarjung, New Delhi.Their ambience was just amazing as the name sayswaterbar it's exactly the same. A worth it place with such a great and rooftop ambience. Staff service was very nice, quick and responsive. The food was really great in taste and the drinks were also very refreshing and soothing. I must say being a waterbar except of that the desert was also amazing.👌"
296,"Decent food, prompt service and a good locality. The ambience was fun, especially the terrace area. Definitely a sundowner place with the right kind of drink in your hand. "
297,Interesting place with a gr8 rooftop. Sundowners can be a good idea here once the weather becomes better. Was really impressed with our server who recognised us from the last visit and even remembered what order we had placed.
298,"I had been to this place , i like the decor and interior. The staff is courteous and professional. Talking about food it was moderate some dishes are delicious but on some they need to work on . Overall nice place to visit. Pay your visit there"
299,"An interesting restaurant for foodies, one you must visit and a best place to celebratesome special day too the services are also good.I ordered,1️⃣ Passion fruit laced tea and fruit punch mocktail.2️⃣Spaghetti mixed sauce and tex max classic nachos.3️⃣ Taiwanese spicy mushroom quesadilla."
300,"This place is amazing ❤️. Loved the ambience , you can chill with your friends here . Food was good too , the only thing that I didn't like was pizza. Other than that everything was amazing. My favourite was antidot spicy drink ❤️"
301,The service was quiet slow and the staff could be a little active and happy . But the ambiance is really nice specially the rooftop. Its worth visiting and enjoying a evening dinner date over there with your loved ones 
302,Hiya foodie♥️Oh my god! What an awesome place is this. It was my friends birthday a day before and went to this place and the ambiance and the vibe was just terrific ☺️Really loved it.I ordered ||•Passion Fruit laced tea - It was nice but could have been a little better•Fruit punch mocktail - Deliciousss it was♥️•Spaghetti Mixed sauce pasta - It was really yummy. Really delicious. I have no more words to describe it. Just go and and taste it:☺️•Brownie Mille Feuille - it was layered brownie with fruit murrabba ♥️•Tex Max Classic Nachos - Well these are a forever type of order🙈 nachos are a must for every party. And for this place...read more
303,"Been here for two times and I totally recommend this place because of it’s delicious food,ambience and amazing cocktails. They have great variety with a coordial staff. Sufi nights are best to attend at their rooftop."
304,I would love to visit this place again. 
305,"Recently I visited this amazing cafe with a couple of friends. I must say that this place has a really refreshing and cool ambience. The staff was really helpful and friendly. I ordered a Paneer Chettinad, alfredo fusili pasta, cheese croquettes and southern fried chicken along with fruit bull and fruit punch and brownie with Ice cream. The food was presented beautifully and tasted amazing. The croquettes were filled with cheese and the pasta was really tasty. The fried chicken was crispy and yummy in taste. The paneer Chettinad was my favourite of all. I loved it. The drinks were very refreshing and tasty. The dessert was freshly prepared and tasted heaven. I woul love to visit again and...read more"
306,Amazing food & ambienceThe staff is amazing 
307,"Yum fooood must try,, this place has great Ambience good hospitality loved the drinks had great presentation the food tasted juSt so lavishing still miSs it"
308,"Gave us wrong drinks (run based) and insisted that it was gin based, told them I can taste it and it's rum why don't they have a sip if they don't believe me but they still kept on insisting and I gave up cause I didn't want to waste my time on them. Even took time getting our food. When the time came for the payment, they took the card and came back 15 mins later saying the card machine isn't working. "
309,"It was a bright Sunday, so we couldn't sit outside for our evening get together. Quick service, decent food. Drinks were very well made.Tasted honey chilli potatoes, nachos, pizza and pasta. Nachos were made nicely topped with veggies, beans and cheese (loaded Nacho's)The top view Ambience was also nice, moved there for an hour but couldn't enjoy as the weather was little humid. Overall a nice place to visit.. 👍"
310,Nice beautiful place in Safdarjung ... rooftop arrangement is good ... food is also delicious ... courteous staff ... went there on Wednesday night... a live performance was there ! Overall a good experience. Would recommend this place for a date night ;)
311,"For the first time I tried this restaurant and it was awesome. First of all, the service, the staff was really good. Secondly, the food was really awesome. I really like their interior also. They have two floors to themselves which is pretty cool. The cocktails served was Antidote Colada and Breaking the flow ( mixer of wine and whiskey ) which was way too good for me. The taste, the flavour was awesome. It was crafted by them with love. In food I had Nasi Goreng ( Indonesia dish), mini burgers, non veg and veg kebabs and Chicken Nachos. Everything was so fulfilled with flavours and it was damn tasty. Highly recommended and try anything, you will love it. Hope to visit again....read more"
312,"Visited this place and the best thing i love about this place is they have an water bar which i love the most and now comes to ambiance was super amazing.So comes to food i ordered chicken malai tikka , fried chicken , vegetable bao with some mouth watering cocktails.Although had an amazing experience !"
313,"Bad staff. Rude behaviour. Service charge as per the law is discretionary. We were forced to pay. Was there to scout location for my office party. Will not recommend this place to anyone. Insofar as the food goes, we called for peri peri chicken supreme and the portion was really for the price they charged. "
314,Visited this place antidot and the best part about this place i love is their bar is super amazing basically they have an water bar which i love the most .Now comes to ambaince is super amazingAnd food was to good Now i have ordered Fried chicken roll which i loved it.Vegetable bao was also yumm well first time i have tried this .And chicken malai tikka which i loved it well this is my favourite.With mouth watering cocktails.I had liit well liit is the strong cocktail and its my favourite.Although had an amazing time.Staff was also friendly and helpful.
315,I loved the roof top settingThe menu is extensive with Indian oriental and ontinentalI enjoyed my salad wedges and dimsums and of course the dessert the baileys cheese cake was outstandingThe chicken lithe and the ceaser salad were best picks of the evening 
316,Amazing cocktails! And very humble staff! Special thanks to Rana for looking after us !!! 
317,The food was good!!! Ambience is super with a live music!! The singer played song as per request and was melodious!! Amritsari kulche and malabar paratha was tasty..
318,Best place to visitMayankvohra96 was very friendly and served us great food. Thank you:) 
319,"My friends and I went to this cafe for my birthday celebrations. The ambience and the interiors are really good. We sat on the rooftop. Even after making a booking we were asked to change the table three times. Well, that is that. We even tried using zomato gold and it didn't work. They completely refused to use it which is quite sad. Apart from that, the sprinklers were way too many. We were all sweating profusely because of the humidity there. We ordered white sauce pasta, Peri Peri pizza, LIIT strawberry, LIIT apple, pan mocktail, tandoori platter, Hummus platter. The food was good. The pasta had barely any vegetables even though we'd asked them specifically to add veggies. They had...read more"
320,Superb rooftop.The menu seems to have good price but the quantity is also like half a portion. :( We ended up ordering like 5 dishes between 3 persons. 
321,"The place was amazing and the location was quite decadent. Apart from that the interiors were quite unique when they are set to their full capacity. The name water bar holds some merit as they had a water theme tables with water connected with the side railing g also filled with water & sprinklers. If you’re going for the interiors you wouldn’t be as surprised as you think. Apart from that their cocktails are really amazing and if you visit the place, they are a must. Try their old fashioned cocktail and let the clouds flow by as it is one their signature cocktails. Apart from that the food is also decent and you can have a chill night with the live music over there....read more"
322,"Nice place, very nice food and drinks. Sarfraz and Roshan served us, they were very polite and humble. Very good service and location. Enjoyed a lot."
323,"This place is amazing, food is really good and staff is very humble, sarfaraz and Roshan both are cooperative. It is a safe place for female. Worth to visit"
324,Sarfaraz is the guy who served us. He was good. 
325,"I have to start by saying that the experience at Antidot was surprisingly unexpected. I was surprised that such a hangout exists in Delhi. The service was fabulous and the vibe of this establishment was unreal. There was live music, which surprised me, not only because it was there, but also because the sound and vibe of Antidot really complemened the talent of the performers. Ordering was easy and the service was as quick as a jiffy. The food we were served was quite appetising and had amazing flavours. I was even more pleasantly surprised when the bar manager served a special drink off the menu for me. All in all, it was really a wonderful and pleasantly surprising treat. Antido, in my...read more"
326,"A nice place to vist with friends and family ,service provider was good to intract and possesing a good behaviour ..my favroute was rana who served so well...Will definitely visit the place soon"
327,Best place ever in south delhi ❤️ rooftop is amazing 😉 most ravishing cocktail 🍸 staff service is most polite 😊 safe after lockdown 👍
328,BYOAC- bring your own ACThe place is not even .1% how it looks like in the photos. The staff is rude.The place is really small. The terrace is still fine but if you are sitting indoors you will have to get you own AC with you Once u are inside u’ll keep complaining about the Ac. DJ is a big time fail on a Sunday. I wouldn’t recommend anyone to got to this place. It’s all photoshopped 
329,"It was my brother's bday and we were searching for a new place to try...Seeing this place instantly made us finalise it.The decor is great with cool graffiti....the bar is great too....Dim lighting and various seating options including terrace area.The music was great, and we loved the vibe and ambiance of the place.The menu looked quite enticing but lil did we know we will end up a lil disappointed.In deinks we had whiskey along with antidot spicy mary...loved it...spicy guava mocktail for those who like their drinls with a kick.....For food we started off with -1. FAT indian Plate- comprising paneer tikka, malai fondue and kadak naan...I acrually expected a lil cheese fondue...read more"
330,Very bad food .....
331,"If you wanna have a great evening with your friends, this place is absolutely right for you! Amazing food and drinks with the most hospitable staff! 😍"
332,Good place with helping staff and delicious food 
333,"The place was small and conjusted , not like it seems in the pictures and food was very average , we ordered a garden fresh pizza, paneer tikka and amritsari kulcha, only paneer tikka was fine rest was tasteless and specially service was very slow and staff was taking no interest in attending the customers, only one thing we liked was the watermelon cooler"
334,"I'm quite surprised the place has such good reviews. Went there to catch up with some friends on a Saturday evening. We reached at around 7-7:15PM and decided to take indoor seating because of the humid weather outside. That didn't work out too well because their AC wasn't turned on/or working properly. One of the waiters used a knife from the cutlery to turn the AC on and kept it back as it is into the cutlery stand again which is an absolute blunder in terms of health standards.The service was really slow and staff seemed totally lost. We ordered two of their signature cocktails, a margherita and a cosmopolitan. It took them around 15 - 20 minutes to get our drinks( the place was...read more"
335,My first visit and probably my last. Average food and the cocktails aren’t prepared well. 
336,Worst staff service ever..making 6 people sit on a table for 2..when asked to join 2 tables they said it is against their restaurant policy..what kind of a place is this with such unprofessional behavior
337,Terrible staff. Had a reservation and was denied entry due to 'technical reasons'. They didn't even phone to let us know. Definitely will not be going back.
338,This stunning housetop bar with inconceivable horizon and porch perspectives had been in my bookmarks for at some point now! Cherished their mixed drinks! We had bourbon sharp and exemplary LIIT. For nourishment we had Mexican chicken slider and chicken Chettinad. 10/10 for nourishment. Bestest spot to have nourishment from feel to support. My experience was incredible.
339,"I went here on a Sunday evening for my birthday. The ambience gets a 5/5. You need to come a little early by 8/8:30 to get a good sitting coz it gets full fast. The service is a bit slow and they didn't have all the beers which was disappointing. And the ones they had were also limited. Food is decent. The naan and paneer combo was nice. Pizza was great. The starters were average. All in all it was a good experience if you're fond of rooftops, good sky views, a decent live music experience. "
340,"Everything tried here is just really good from their bow, to chicken Parantha, kebabs platter, French fries. Even their drinks are heavenly. Services is really good. This is a must try place for sure"
341,Amazing place to chill with friends or loved ones ❤️Hukka service bhaiya was soo amazing and polite (forgot his name unfortunately) but amazing food and ambience and drinks 
342,"Went to this place for drinks and it was a fairly good experience. Tried Baileys and Jagerbomb, which were usual. I was recommended by a friend to try their cocktails, so I tried the whisky sour and some white wine sangria. Both of these were good.Tried some veg kebabs, nachos, and a chicken starter, all of which was the usual. Wasn't impressed, but wasn't disappointed either.The ambience is good. Loved their rooftop seating. The staff is friendly and cooperative.I would probably revisit this place sometime soon."
343,"The service and presentation is great. The indian dishes i tried were so good, ended up ordering 3 of the same amritsari kulcha combo! The pizza was decent, could have been better. I sat in the indoor seating, this could have been made more comfortable, the low tables werent the best. The music was too loud, and crowd even louder. The rooftop seating on the other hand seemed much much better. "
344,Saturday Night. You can enjoy party mode. We managed to find a quieter place in topmost floor. Staff is helpful too. Follow FoodstepsOfficial on instagram.#foodstepsofficialhttps://www.instagram.com/foodstepsofficial
345,"We were asked to change tables thrice, and then wait staff and repairmen kept asking us to step out. Repairs and upkeep should be done before opening the restaurant in the evening. Its all very nice and pretty on the outside but the staff cannot make a single recommendation of food or drinks, they have to be told 5 times for every thing and in general its all very below average"
346,Super place to hangout...drinks and food at its best.Ambience is also good though they have to change few things as every client loves changes.Staff is well trained & very friendly.Keep up the good work.
347,Great ambiance!! The service was excellent .. The MFB salad.. Is a must to try!! And dont forget to try the nachos👅!!!also the red thai curry makes it worth visiting it!!
348,"Another gem in the streets of safdarjung! Antidot's terrace is an amazing place to be on a windy, cool day. The view, the water encatchment round the terrace is just phenomenal. The seating is statistically placed so to give all the tables some privacy and space. The staff is courteous, the food is amazing, especially their pizzas. They don't have a dedicated hukkah menu, however their staff can verbally recite it to you.Overall a good evening date place!"
349,"Let me start from the moment we entered in restaurant. it was too small to occupy group of people. Thank fully we got one seat because of few wonderful people seating over there.. From there my worst experience started. we waited for 5-10 mins that somebody will offer menu or a glass of water which generally happens in no. Of restaurants I went... But unfortunately I was wrong in judging this restaurant... We had to beg for glass of water and requested them thrice.. and then somehow we received water.. then we ordered something to eat and some hard drinks as well... To my surprise, On a crowd of 10 people(exact ) on 2nd floor, they were not competent enough to serve properly on one...read more"
350,This is a decent place to enjoy food and drinks on terrace with a view of aircraft take-offs every minute. They have indoor seating as well but we were lucky enough to get such a view.Wines were unnecessarily expensive as compared to other outlets.We were super hungry & thought of trying 'Nasi Goreng'. As the Nasi Goreng doesn't disappoint nor did this one. A perfect chicken satay preparation topped with half fried egg tasted scrumptious. 
351,Miscalculation.... Calculated extra drinks... Lack of basic service.... Waiters were arrogant.... Even water were served after multiple reminders
352,Very very pathetic management on Saturday night..... There was chaos all over. They didn't let in even those who had appointments...........
353,Service is horrible. Staff is rude and incompetent. Management could not account for the reservations that they received from applications and made people wait and were not even apologetic about it. 
354,"@AntiDot name itself say they are Anti of Any Dot. Such a lovely place to hang out with family and friends. If you like trying fusion or experiment with your alcohol then this place is surely for you. They have different types of beer like - Apple, Watermelon, blueberry, draught beer and many more.Went there for lunch today and really liked the way it was set-up, They have three floors and an open terrace.I was so confused what to order because the menu was so vast, but the Manager did helped and recommended.So I ordered -Chilli Fritto Misto kebabs - These are the mini kebabs stuffed with Cheese, Corns and Chilli bhajisBeer Braised Chicken - It was slow Braised Chicken morsels...read more"
355,Its a beautiful cafe with aesthetics walls. Starting from the food to the vibe to the cafe staff everything is just amazing. Especially the terrace of the cafe is beautiful and also for some reason very refreshing. They are serve flavoured beers and I must say that blueberry and strawberry ones are my favorite. I love the good and dont even get me started with the cheesecake and dimsums. The dimsums were so moist and the cheesecake was so well balanced. 
356,"Just perfect! The Food, service & ambience are amazing. Try crafted coctails, ask for watermelon mocktail (not on menu), & berry cheesecake. Too good. Sit on the rooftop if you want that perfect. "
357,"Its a one-of-a-kind eatery that's impressed the crowds with its beautiful decor and relaxing ambience. This cafe has a botanical theme and a dreamy terrace seating that gives you a spectacular view of the Capital city. Get this -  there is actually water flowing around and through all the tables!one of the most important is reason to be here is the food. The menu covers a range of different cuisines, including Continental, North Indian and Chinese.Also i was so eager to ger some “instaworthy cocktails” but the one which was ordered was not up to the mark! Its called “spring fling” its was vodka n tequila with lots of guava strawberries rosemarry etc but only thing i felt lyk was...read more"
358,"Lovely place to visit for a quiet Saturday evening. We took the rooftop on level 3.Drinks-The scotch was standard. For LIITs, we called for the recommended Kala Khatta as well the Classic LIIT. The preparation was not upto to the mark and felt too sweet. (3/5)Food- For apps, we called for Paneer Tikka and Chilli Chicken Dry as well as Corn Kebabs. Food was on neutral side and nothing to excite. (3/5)Service- The service was on slower side. (2/5)Overall- 2.5/5.The place is nicely done and has good potential. Nevertheless, they are not upto the mark."
359,"This amazing rooftop bar with incredible skyline and terrace views had been in my bookmarks for sometime now! So happy to have explored this wonder place. Soulful music, food so good and great customer service experience. When in Delhi, do try this place! It’s a must! "
360,Service is not at all good...overrated ..ambience is not the same as what is being sold online.food is okay...rooftop seating is not given to couples...
361,Antidot is nice reatro bar that has indoor as well as outdoor seating.Serves variety to cuisines along with amazing drinks.Its you love to have a nice view of city while having your meal this is a place for you.Recommened for parties and dates
362,"I love this place. A lovely bar/cafe with beautiful interiors. The food is delicious 🌻 and the cocktails, oh my! The presentation & service bowled me over. Love it, will visit again. 🥀"
363,"Great ambience on the terrace. Service was courteous but pretty slow. Food tasted really good, especially the Bao ! There were some dishes that we wanted to order that were not available though. Still Recommended for the Baos !"
364,A small amazing place to be at. We chose to sit indoors because of the rains. Loved their cocktails! We had whiskey sour and classic LIIT. For food we had Mexican chicken slider and chicken Chettinad. 10/10 for food.  But the service was extremely slow and a bit neglected too. Good that comes together soon. Would love to visit again soon. 
365,"Unprofessional staff, bad foodDon't visit.We ordered some chicken and all I could taste was some old burnt oil. Totally unprofessional waiters to add to the woes. "
366,"Woah! What a fantastic please to have food. If you still thinking, than stop thinking and visit. Bestest place to have food from ambience to service. My experience was fantastic. This restaurant is on 2ns floor and even have open terrace. But as its hot so we prefer to sit inside. We went there for lunch. They have vast menu. We were quite confused so the manager helped us and recommended us for Chicken chettinad and paneer chettinad. The flavour of chettinad was too Yumm. They serve 2 Malabar paranthas along with that, Which was too crispy. We were full after having these. But my friend want to try their grilled chicken breast. Well! That was too delicious. And they serve veggies along...read more"
367,"Pretty cool place to have a meetup with friends. They are spread over 3 floors, but area on each floor is small. Definitely opt for the rooftop! We had a live music evening, and it was pretty fun.Their cocktails are pretty good, with some really cool stuff. For food they mostly have finger-food options, and the menu is not very expansive. But for what it's worth, the food is good.Overall a nice place to have a good time, without spending a fortune.PS: DO NOT order their ""fire tower"" cocktail. It's just a tower of ""glasses"", with a paltry 100ml cocktail drink. Costs 2000 bucks, and is not worth it at all. If you wanna do it, do it just for the theatrics of the fire."
368,"The ambience ,the staff, the food everything is quite good. Staff is very humble and kind enough. We ordered a pasta,pizza and a beer. All these 3 things tasted good. The first visit at this place was worthy. "
369,"Before I put a review, jus a mention - tat one star is less for the very low lights arnd our table..that's it!! They have an awesome bar tender, none of his cocktails r overpowering, jus the right mix n balance..09/10..do try out his signature cocktails..food here is flavourful n portions r gud for two..staff is courteous..parking available behind the building..but the X factor is their rooftop!! Don't miss it on a monsoon evening..its heavenly!!😘"
370,"So I visited this place a week ago. Let me tell you in detail how disappointed I was. Service guys are just lost in their dreams. You will literally have to wait half an hour for your drinks to get opened. Highly unprofessional, casual attitude of the staff. Dispenser in washrooms are just for showcase. Take your handwash from home with you, else you might have to eat with those hands. Food is just bland in taste. Prices are so high but when you taste the food you will regret ordering. When I complained their manager about my experience, he told me to wait for 5 minutes, after that he disappeared. So guys make a smart choice and save your hard earned money. I learnt my lesson after...read more"
371,"Antidot was a cafe which was all over on social media because it being a water bar, however when we went there was no water in the channels. It looked like just another cafe. The food was very okay. The staff was very good and polite though. "
372,"The food wasn't impressive at all, not to mention highly overpriced. The drinks were okay, but the variety was far less than the menu and they include VAT + Service charge which frankly is a little unfair. "
373,"My friend and I visited today and we had a horrendous time at this restaurant. We ordered the wontons and the potato wedges and I got sick after eating it. I threw up thrice and it made me so dizzy. I hope you guys check on the freshness of the condiments and the ingredients. And they denied Gold privileges on the signature cocktails, which is unheard of. I have been a patron of the Gold membership and I have never been denied drinks off of the menu. I hope you guys take in this feedback constructively and improve your services. "
374,"Antidot - All About The Terrace....Antidot in Safdurjung Enclave is known primarily for its terrace seating that opens door by sunset. Until then, the two floored restaurant stays dark and with minimal lighting, it could take a while before your eyes are accustomed to the ambience.Once your eyes get used to the ambience you can immerse yourself in the restaurant's music accompanied by its magical cocktails and delicious food. However to make most of the dining experience you have to visit the terrace which has a stunning setup themed around water.Coming to the food, we focused on vegetarian and sea food and were impressed by majority of the dishes served to us.The 'spicy fish bao'...read more"
375,"The ambience was comforting. A good place to hang out with friends. The food was also good. The baked nachos were not upto the mark and not at all worth the money. Other dishes - Chilli paneer and Margherita pizza were good. The drinks that we ordered included Chocolate oreo shake, Virgin Mohito and Orange punch. Okayish drinks with no value for money. "
376,"Amazing experience. Everything was great.. the ambience.. the food.. the drinks.. the hospitality..Vibhu, one of the servers was very polite and helpful in helping us place our order, finding the correct dish which we required, suggesting us good options from the menu and he was very prompt at his service.Overall a very nice night spent at Antidot. Would definitely come there again."
377,Have been to this place twice. Roof top is quiet good but only if the mists are working and the wind is in your favour during summers. The live music is good. Couldn’t opt for the indoor option as the Ac was barely working in comparison to the heat. Food quality is satisfying and good. 
378,"Location - Opposite Deer Park, Safdarjung market 2nf floor and rooftop.Parking- Paid Parking AvailableReservation - Required on WeekendsEntrance - Secluded- DecentAmbience - 5/5 - RooftopFood service - 5/5Food Quality -5/5Food Quantity -5/5Presentation - 5/5Host- 5/5Ideal For - EveryoneApparently this place was referred to me by one of my school friend. A new place in Safdarjung market and I really liked the new concept in that market.The live singing along with world cup match was great evening/weekend spent.Highly recommended place to be and chill."
379,"It's a multi-floor cafe having terrace as an option too. They have screening option too. The ambiance and service it upto the mark. The food is quite good and it won't disappoint. The bar is good having all types of cocktails.Must try- Fried Fish, W/s Pasta"
380,This is a lovely place in safdarjung with a nice ambience and even a terrace bar .They also have fruit flavoured beers for people Who like to drink beer.Now onto the food i tried-1. mini bruschettas -They were small and crispy with yummy tomato filling.Recommend theseRating- 4/52. Cigar rolls-These were nice but the cheese in it was mozzarella so it tasted ok..Rating- 3/52. Mojito- Their mojitos were really nice 😀👍🏻Rating- 4/54. Veg Pizza-This was nice and tasty.Rating 4/5Overall I recommend this place for a fun evening with family/friends.For more reviews follow me on Zomato - @Lifestylewithpriya #delhifoodie #safdarjung #terracecafe #delhilounge 
381,Nice place ..Nice ambience..Average food ..Service slow ..Staff untrained.Sheesha/ hooka was niceNice roof top open air ...Wanna smoke enjoy chill can try the place ...
382,Amazing food and amazing fancy cocktails and mocktails. Such a relaxing place and great ambience. The servers and the staff was so humble. Great experience for the cocktails lovers.
383,"The food was very good,tasted really well and the ambience was also chilled out but i was really disappointed with the quantity. The quantity do not match the prices at all. Therefore I wasn't satisfied. "
384,I loved the food here .Amazing ambience.Great place to have a date night😍.service is great too.i loved the place in short.its a must visit👍
385,"Went to this lovely place on a Wednesday to meet a friend, wasnt expecting it to turn into such a good experience... Though the pictures appear way more fancy than the place actually is but overall its a good vibe place with the staff courteous and much friendly! They talk well and suggest good things from the menu to try!We ordered Martinis and Sangrias, Sheesha and a creamy mushroom pasta and everything was on point!SDA has totally become a hub for such cafes and this one is totally up on my list!Special Thanks to Puneet, for buzzing around and a great service!"
386,"Well, usually I don't write reviews but I have to for this place.If you are tired of usual crowd of HKV ..head to this place.It won't disappoint you.Peaceful environment, good staff,food and drinks!!!🥰"
387,Nice place but music is too loud starting very early. That too bad because it’s ruining the peace and chill feeling of the place. When they will change that it will be perfect
388,"Found this place on Zomato & Went with friends for luncheon. Though it’s far from our place but totally worth going. Not very spacious place but has three floors with comfortable seating. Staff is courteous & excellent chef who curates delicious food. We ordered:-# crispy Thai chilli lotus stems# broccoli & mushroom satay wontons - well seasoned stuffing, crispy but the bean sauce was little on salty side.# truffled spanakopita pockets - very flavourful. # fat Indian plate- paneer was soft & well marinated# broccoli olives& baby corn risotto- perfectly cooked & creamy# veg Thai green curry- it was packed with flavours & one of the best I have had.# mini cheese stuffed kebabs-...read more"
389,"This place is such a great find! Just happened to be there in the neighbourhood when I stumbled upon this gem of a cafe and bar. The decor is amazing, and the place itself is huge. Couldn’t resist taking a million pictures. The menu is limited but everything tastes good. I loved almost all the staters we had but the highlight of the evening were their beer cocktails and coolers. They are truly out of this world! Especially the watermelon one. Go here for a fun twist on some great food. And to chill in a great ambience. "
390,"Happened to stumble upon this place on a Saturday night, not an ounce of regret. Had a great time. If you love cocktails then this place is a must try. They have some really nice crafted cocktails & the presentation of the cocktails gets a special point. The snacks portions were considerably small specially the Peri Peri Chicken. Pizza was great. All in all I am defi going back for the cocktails. "
