,TOS - Take Off Scarlet
816,This is the perfect place to chill out! The cafe provides both the options of sitting inside and on roof top! It has a great ambience and a friendly staff. I love the music here and the food here is really good and worth.
817,I visited the restaurant and this was my experience-1. The ambience was cozy and simple and not too fancy2. Food - We ordered chilli potatoes and the presentation was great and also we ordered a caramel shake and it was served very well.3.Staff - The staff was really patient even though we made them wait for quite long to take the order.My experience at this place - 10/10!
818,Take off scarlet is one of the best places I’ve visited recently! The menu has a wide variety of dishes and the staff is quite friendly and nice.
819,This place has amazing authentic food. They serve delicious food with excellent quality at reasonable prices. Perfect place to hangout with your friends and family. Highly recommend!
820,"THE HOOKAH WAS PERFECT AND THE GUYS WERE REALLY HELPFUL. REALLY ENJOYED MY TIME THERE. ESPECIALLY THE HOOKAH SERVICE, THE PUNEET AND OTHER GUY WERE REALLY HELPING."
821,This is an unbeatable place in the city! The ambience is great and supreme quality of food is served here. Staff is very polite and decent. Music is very nice.Great place to hangout
822,I went to this place two days ago and it’s the perfect place to hangout on a weekend. The Ambience is amazing with a chill vibe. The food was delicious and the service was really good with courteous staff. Overall it was a nice experience. 
823,Take off scarlet is the best place where you can spend time with your pals! The drinks served here are amazing. Also I’m impressed by the hospitality here .
824,No person are coprative with us even their vallet person is soo idiot he was sitting in car with ignition on becauze os AC and none of person is coprative they and we have cancal our coupns when they themself redeem it !!!! Never to recomend to go over their like thiefs and bouncers was standing on us to make us quite 😡😡
825,I am in love with their chilly chicken and chicken lollipop. The moment i tasted these to heavenly dishes i couldn't wait to come back and dive in their dishes. Also they have one of the best virgin mojito.
826,This place gives you an amazing view from roof top where you can chill out with your friends. The food is delicious and the staff is very helpful
827,Yesterday night I had a party at this place and I was stunned by its ambience and vivacious music . The food served is flavoursome. Location of this place is very good and it is near to my house.
828,This place is not less than a treasure in West Delhi. It serves premier quality of food and drinks. The ambience is stunning! The roof top provides an astounding view of the city! It’s the foremost place to chillout!
829,TOS is an amazing place to relax with your gang on weekends. The atmosphere here is stunning! I love the food served here and especially the drinks !
830,Take off scarlet is the foremost place to have party! The music system is very good and lively! Everything here is well managed.Highly recommended 👍
831,This is an astounding place to chill out! The cafe provides both the options of sitting inside and on roof top! It has a great ambience and a polite staff.
832,"This is a very happening place ! It is the best one in the city to chill out ! The lights and music are very lively. I visited this place few days back and absolutely loved everything about it , whether it be food, ambience or hospitality!"
833,This is a bewildering place to hangout with your squad! The food served is hot an delicious. It has a stunning ambience and the staff is very polite towards the customers!
834,"Take off scarlet is a lounge cum rooftop club in club road , Punjabi bagh . This place gives you an ambience and environment of top notch & happening club , which is true on Fridays and Saturday’s ! They have events all round the week & they have one of the biggest rooftops in Delhi ! Their Italian & continental dishes are a must try , while they have a lot of great combinations of mocktails and cocktails. I have become a frequent visitor of this place . "
835,"This is a stunning place ! It is the best one to relax on weekends. The music , lights and the comfortable seating arrangement makes its ambience an amazing one! I love to spend time here on weekends."
836,Few days back I went to this cafe and believe me it’s the best one in west Delhi. I ordered chicken lollipop and virgin mojito. The food was fresh and delightful.
837,Last weekend I went to TOS with my friends and my experience was amazing! The ambience is astounding. The staff is very polite and helpful. Also the food is delicious.
838,TOS is one of the best places to chill out in the town. The roof top cafe provides you a stunning view especially at night. It’s a must visit one!
839,TOS is an amazing place to chill out with your gang on weekends . It provides you a relaxing atmosphere and delicious food!Highly recommended 🤗
840,"The food is amazing. The music is absolutely outstanding. You can groove to every beat. We only tried the snacks though, but they were so good! "
841,The service & food was ok but when it comes to billing the restaurant refused to deduct the “service charges” which is at the sole option of the customer.This kind of attitude has to be changed.
842,"Bad services food is tasty but service was very poor class and shesha not good flavour complete in only 20 min bad behavior by bar counter at rooftop I will never come to tos ,👹. BAD PLACE DONT GO"
843,"TOS - Take off scarlet is the most lit place in Punjabi Bagh ! They have lovely events all around the week . Friday’s & Saturday’s are the most happening days at this place ! Though services becomes slow on weekends but this place is a must go with your friends and family , food is fine , while they have a variety of drinks , Bloody Mary & Sex on the beach is a must try ! When you are planning to visit on the weekday do visit their rooftop , they have a huge rooftop , which has an excellent ambience . "
844,"Its a nice place to visit,the ambience was very niceIt has a vast liquor menu,the food ordered was very delicious ,i highly recommend this restaurant to everyone"
845,"A Completely Different Place To Vibe And Enjoy,Nice Ambience And An Extremely Friendly Service, Looking Forward To Suggest This Place To Everyone."
846,"We ordered mix veg and paneer butter masala both the dishes we're delicious, the staff was very good. It's the best restaurant in the punjabi bagh area. "
847,"It is a nice place to visit, the restaurant has nice ambience, the staff behavior was goodThe food was also very delicious, i recommend this restaurant to everyone. "
848,This place is awsome for party loVersAnd the sitting is so wonderful and also you can't control yourself when you listen the djThe right place and the food is too good
849,"Place of love and food.Purely satisfied with the quality of food and their behaviour with the customer,fastest delivery and less delivery charges "
850,Deepak in tos caffe is really serving us well . Thank you for such amazing service and food is nice .  Everything is just perfect . Music food we enjoyed alot 
851,Been to TOS last night to celebrate my best friends birthday and I must say there open area is one of the most happening terrace in Punjabi Bagh. Food was perfect and delicious. Sheesha is just perfect. But when I asked for the beer options they don’t have the beers mentioned in the menu. Expecting the management to work on this. Food: 4/5Ambiance: 4/5VFM: 3.5/5
852,Take of scarlet a well reputed place i like its terace and food to but is little expensive its a good place for a party it has dj not congusted and i like this place 
853,"You don’t want to miss this out!This bar comes to life at midnight. A perfect place to hangout with friends on a weekend. The music, ambience, food and liquor makes this place a very happening. A descent 50% of the drinks where available which were mentioned in the bar menu. The food stands out when comes to their presentation specially. We tried their Dahi Kebabs, Chilli Chicken and Veg Seekh Kebabs. All were equally good. The Dahi Kebabs were crispy and salty from outside and tender and little sweet from inside. It doesn’t fall apart after a bite and thats how well the curd was from inside. I being a fan on Indo-Chinese food fell in love with the chilli chicken. Everything was so...read more"
854,"So...Nothing as the fancy name suggests... Went there on Sunday n the place was almost empty. We chose the rooftop but immediately moved from there, as there was no feeling like you are on terrace🤦🏻‍♂️When the waiter handed me the menu, it was all torn up book with a surprise jump from a Lil Cockroach (i thought Stag entry was not allowed). We ordered food, it was okay (3.5/5), Ambience (3/5), Service (2/5) as we waited almost 15-20mins just for water, even when the place was empty. Cost of the food was not too high (5/5). "
855,"One of the worst managed lounge - TOS. Management tries their best to first reserve you if for Stag entry, and then denies once you reach there if the lounge is crowded as per their expectation. Gaurav - The manager confirmed our stag booking for 5 ppl when called on Saturday afternoon with clear statement about Stag. We all travelled for long to the lounge and they straight away denied about any such interaction happened. It’s not the first time that it happened but, second straight time in last 2 months that they denied entry post confirming the booking. Management is worst of all the lounges ever visited. Also, the food and the services are just below average. I would not...read more"
856,"One of the best places to visit in punjabi bagh,rooftop seating with numerous events to attract the uber cool crowd!! This place has always been my favourite, from the food menu chilli chicken is a must try and being a punjabi bar menu also rocks. "
857,"A very good lounge in Punjabi Bagh with super cool ambience. TOS- TAKE OFF SCARLET, is a lounge that you should definately visit! It has good food and the bar menu is quite vast with prices being quite reasonable! It has rooftop seating as well! So, if you're in Punjabi Bagh, you should try this place out!"
858,"TOS is situated in Punjabi Bagh. With crunch of Parking area. It's a open as well as roof sitting area.Quality of food is good but with less of quantity. Price is reasonable compare to others lounge and cafe.Nonveg specifically Tandoori Chicken , Chilli Chicken and Mutton seekh kabab are rich in taste.In veg , fully loaded nachos is not worth while. Plain salted french fries is superb to have.Superb service 4 on 5Best place to visit for bollywood as well as punjabi songs lover.Good for dance lovers too.Awesome and reasonable place to visit on weekends."
859,The ambience of this place is not so goodFood quality is not goodAnd service is very slowStaff is rude Sheesha 10/5I ordered veg platter the taste is not good
860,It is by far my favorite place to dine out. It has various delicious cuisines to choose from. Highly recommend it to everyone out there. You will surely like it. Cherry on the cake is that the staff are really cordial.
861,Got to know about this place through a friend. It is an amazing place with great quality food and delicious cuisines. Highly recommend it to everyone. 
862,"#SENSATIONAL TOS- Take off Scarlet is one the best Bar cum rooftop in Punjabi Bagh . I have been here multiple times & it never fails to deliver on my expectations . This place is lit on all days of the week , they have different performance & nights almost everyday & the ambience is quite appreciable . I normally order pizza , pasta & burgers at this place . I’m a vegan and always prefer their Gourmet veggie burger & paneer tikka pizza , its one of the best dishes they have in their menu . Prior reservation on weekends is suggested while you can easily get a table on weekdays . Friday & Saturday’s are the best here . Their staff is polite & helpful among orders. The best part...read more"
863,Very lovely place. I’ve been here three times and i enjoy alot everytime i visit this place . Very nice place to party with friends. TOS has the best vibes and delicious food.
864,It was a great experience.Enriching experience and affordable rates. And delicious food.I would definitely recommend it in the future.Customer friendly services as well.
865,"The place also has rooftop and offers a very tasty and mouth watering food. Great service, organized staff and a professional behavior. Will surely recommend this place to all. "
866,"Wow! Amazing and tasty food! The service is fast and the ambience is perfect for outings with family or friends both! Also, the staff is super friendly. Definitely worth it!"
867,"Beautiful ambience ,amazing food and good vibes! I really liked their services ,definitely gonna visit again.Loved this place. Highly recommended !!"
868,A lovely place indeed. Great food and drinks available. The staff is also very helpful. It has a great ambience and a huge variety to choose from.
869,Amazing ambience and music. A really nice place to party with your friends. This place has various cuisines to choose from and a great staff.
870,The ambiance and the music played is really good. The food served is delicious and the staff is also good. If you want to party or hang out with your friends must visit this place. 😋😋
871,This place has a wonderful ambience and if you are planning a party with your friends then this is a must try restaurant. The food is delicious and the service is also great. 
872,It is by far my favorite place to dine out. It has various cuisines to choose from. Highly recommend it to everyone out there. You will love it for sure. 
873,"It's a great place, a must visit if you're in Delhi. A place to relax for the customers, best thing is that you can visit it with your family too. Courteous staff members, orders delivered on time,reasonable prices, all these qualities make it must visit without a doubt"
874,The place is quite amazing.....Excellent ambience and good hygiene..... A Must visit!!!!!! Very reasonable and pocket friendly.....Crowd is also very decent....
875,Great ambience for party people.Had a great time with friends. It's a good place to dance.Good facility and nice location. Will surely recommend this place. 
876,"This is known as the best bar and rooftop seating restaurant in Punjabi Bagh. Well, must be good for bar(I didn’t try that) but not for rooftop seating. For me, this resto is good for food, not for service. The ambiance is though good but they lack in providing service at their terrace section. Service is slow, unprofessional and not at all courteous. Talking about food, it’s surprisingly good. We had chilly paneer, chilly garlic noodles and in drinks we had my sweet bae and strawberry-kiwi slush. Everything was extremely delightful. Also, I have seen this restaurant in “pocket friendly” section. Though the same is not true."
877,If we talk about ambiance and music this place is awesome.Important part which is missing service is slow and food is not that much good.overpriced food if we talk about quality and quantity not upto the mark.According to the supreme court guidelines its not compulsary to pay service charge but they charged even if you don't like the service still you have to pay which wrong.
878,Food is good and roof top sitting is fun but the staff is not that good and good service is a challenge. You have to provide zomato gold before order else they will refuse to take it amd this is what happend with me.I have order pita bread which is super awesome.Have ordered chicken pizza which was okaish.Ordered lemon fish which is nicely cooked and taste is also fine.Chicken roll is also good.
879,"This place is over rated, ambiance is good but senior staff is not well behaved, they treat Avery one like a bewda.Or bahut hi batamiji pe a jate hai or apne ko Malik batate hai they says they are owner (Gaurave and surjeet) behaved with us very cheap, to just aapni beijati karani ho wo Jaye tos Baki apne rajouri or Punjabi bagh me bahut clubs and restobars hai.Or ase staff ke sath koe bhi firm bahut dino tak nahi chalti me bhi 100 cr ki co. Ka manager Hun par mere co. Me koe RS. 100 ki item ke liye bhi mujse baat karta hai to him use ase baat nahi karte jaise ye log karte hai..So I suggest to the owners of this place, ki apne sceiner staff ko pahle baat Karne ki tamij sikhao, aap...read more"
880,"We really liked the ambiance of TOS. The service was nice and the food was great. We had veg biryani and paneer lababdar, Botha the dishes were delicious and the quantity was nice as well."
881,"Loved the place completely. Their rooftop is my preference and is very nicely done. Ordered Fratelli and it was amazing. Pizza, tandoori cheesy mushrooms and fries were also good.I strongly recommend this place."
882,Amazing place. Loved the food to the core. Truly a good pocket friendly bar. A great place to party your heart out with friends! Complete value for money. Highly recommended!
883,"It was an awsome experience at TOS. Superb ambience, perfect presentation, staff was excellent and the delivery was so quick. I have travelled across the globe however the time i had spent at TOS was the most memorable. Big thanks to the manager Sujeet ...he is an asset to the cafe. I request the higher authorites to recognize his work. With TOS i felt like having love at first sight. "
884,"We visited this place on Saturday night.First thing which I noticed was -- over crowded.Staff was not able to serve customers on time.We used zomato gold privilege here, ordered fish n chips and peri peri chicken and few other things.Fish was good, though peri peri needs some more expertiseOverall 1 time visit is good"
885,"This place is hyped in punjabi bagh.but it really puts a great effort to match the standards of the name it has created. Its a nice place to chill out with friends. Open terrace bar and dj gives u a great view and ambience it has some aura that u want to stay and enjoy. Great hookas, amazing food. Must visit with your friends to chill and party on amazing dj vibes."
886,Really bad service! The staff not cooperative at all. They didn't even serve us water even after having asked for it like 4 times. I don't feel like coming back to this place again. It was undoubtedly a gross experience.
887,If You are in a party mood with your Friends or GF so you should go to TOS. I would say it’s fabulous open bar cafe and a very beautiful looking ambience though. My first visit in TOS for my friend birthday party and I totally shocked when i saw the environment of all the ambience was awesome as well as staff also very polite and helpful in nature. Now come to the food department as we all loved food so food is also good. I ordered many drinks and they are fabulous in taste. I like every single food items. I personally request to all if you want to rock then go to TOS and just flow your mood in TOS atmosphere. 
888,"Recommended: Go to other cafes around instead of this place.This place used to be a hyped one in PUNJABI BAGH because of it's delicacies, service and reasonable pricing. Though no doubt the standards have been dropped.Starting from ambience, it is cheerful with DJ alongside but sometimes the pathetic crowd spoils the enjoyment and the kind managers and waiters pay no heed to it even after being requested. The staff is not welcoming (used to be) as one will have to call them again and again even for placing order.The food has turned just average, cocktails being flavour water and shakes even are below average.On my recent visit, orderedCHICKEN GALAFI SEEKH (3/5), MURGH MALAI TIKKA...read more"
889,I came here for my college society freshers party . The food is good but the service is slow. Ambiance is pretty good and loved the live music. P.S : The terrace is a bonus for your instagram !
890,"The service is awful. They don't serve you water until you order. Other being, the place known for good music and DJ, on our visit last friday, they didn't provide us with the promised environment telling the DJ is not here yet and excuses like he is on his way and eventually they played a music so irritating for the whole one an a half hour. "
891,First of all ambience is really great. secondly Dj there is really great. terrace is well developed. staff is friendly and good is also nice.
892,"The food here in Take Off Scarlet is really good and worth a try. The Ambience as we all know is lit with proper Dj lights and A well known DJ. But, the service here is not too responsive and the staff is quiet rude. We almost got into a fight with one of the bouncers there as he was talking to our friend with no respect...."
893,Its a good restraunt to spend time with you friends the DJ is also very good if you r looking to dance it off with your friends . The prices are expensive but the food is good .  Altogether you can gove it a try with your gang. 
894,Had a very bad experience at Take off Scarlett. The management needs to make sure that the staff treats their customers well.Never going back to this place. 
895,Never going back to this place again!Had a pathetic experience at Take off Scarlet and the staff doesn't know how to treat customers. Wouldn't recommend it at all.
896,Person name Gaurav didn’t allowed me to use gold service as per him he can deny if he want however before reaching I called him and asked specifically that can I use Zomato gold he said YES. I reached at 9:55 pm and called him around 9:30pm. We were sitting like stupid calling waiter he at 10:16 he came for order I told him that I am gold member he said wait I’ll go and check then he said ok I am sending to my senior then he again came and ask for the order I showed the code again he was about to click code picture in his phone then again he said I will be back in 2 minutes we Waited for his never ending 2 minutes he came after 10 min and said you have to sit in open area if you want...read more
897,I just love this place. Very nice and decent ambience. Food is also very good and affordable as compared to other cafes in punjabi bagh. We have ordered pizza fries and drinks were also good. I had a great experience. Must visit place with friends and family for enjoyment.
898,"Horrible food. No value of money. Music was good. Staff was not very helpful.Would not prefer visting again. The worst of all was food ..beyond horrible, pathetic. Don't waste your money here"
899,"Great Ambience, really good interior. Food was also good. Must try White sauce pasta. The Best DJ in Punjabi Bagh. Service was also good. Very supportive staff."
900,It was a lovely experience.. the food was really amazing.. had a fantastic time.. the staff was really humble and kind.. the service was really quick
901,"Had the worst experience at Take Off Scarlet, the service was quite pathetic. They are not at all courteous. Would never want to try this place again."
902,cool roof-top plus awesome dj make your meal amazing. this place will give you some of the best vibes.food is pretty good.service is good but speed is to be improved.staff is cooperative.
903,Food is pretty good as well as the ambience!Drinks were also lovely. Absolutely worth the price. It is by far the best club in punjabi bagh.
904,Loved the ambience!!!Great food 🥘Can be visited with family and friends. The interior and the music is not too loud. Enjoyed with my friends and been here a couple of times and it's also pocket friendly
905,Very nice ambience.. Specially drinks are cool nd mouthwatering one can visit as many as times.. Flavours majntained.. Roof top experience is unforgettable.. 
906,Great place. Love the food and the staff. The ambience is amazing. Would definitely recommend and visit again. Perfect place to host a party
907,"Awesome place, nice dj, nice ambience. Food is kind of expensive but other things would compensate that. Perfect place for throwing a party to friends."
908,I have visited this place many times.I love the Ambience and food.Super amazing place for couples.Polite staff and quick serviceWill surely visit again very soon.
909,"Visited this place multiple times and yes, it's one of the best lounge i ever visited. From ambience to food , staff everything is way perfect❤️ "
910,TOS is really good and the crowd was also happening. Also the food was great and the drinks were also amazing. Would like to go there again!
911,Wow..amazing experience.. fantastic food👌👍 had a lovely time.. would be coming again and again.. amazing service by the staff.. so humble and kind.. 👌👌
912,One of the best places to visit in Punjabi bagh. The food is amazing and the ambience is great. The crowd is good with a decent atmosphere. I had a great time here. Looking forward to visit it again.
913,"TOS has always been a brand in terms of lounge and cafe in punjabi baghThe drinks were lovely but when it comes to food the price offered is good(affordable) but the taste needs to be approved. I tasted dahi ke kabab in which I felt that it didn’t have salt in it..Hazelnut shake, kitkat shake and oreo shake was yum!Fries were crispy and good😍but if you are a pizza lover then dont step into this place, “worst pizza” I repeat worst pizza I ever had in my entire life...Overall I would give food- 1/3Ambience 2/2"
914,"It's a nice place for family get together and also you can hangout with your friends at this place. The ambience is quite pretty and the food is tasty. Overall, my experience was nice. But the thing that might get you a problem here can be the extravagant prices. As per me, I guess the food was expensive. That's all."
915,"TOS has always been a brand when it comes to lounge in punjabi bagh.From the cool rooftop seating to the loud and vibrant DJ, this place will give you some of the best vibes.The only downside of this place is the food.They really need to work upon it."
916,Absolutely loved the drnks at the good food in all is pretty good in terms of food and affordable and so good boy Vinod adhikari so cute boy so so lovely boyyyyyyy thqqqqqqqqqqq Vinod adhikari 
917,Absolutely pathetic service!The staff is not courteous at all. Took 30 minutes to give a glass of water.Would not recommend this place at all!
918,PATHETIC SERVICE AND RUDE STAFF.Had a really bad experience at Take off Scarlett.The waiter wasn't courteous and refused to serve even water till we placed an order. The manager didn't seem to care when we got this to his notice.Never visiting this place again. 
919,"I have visited this place twice😍 because i love the ambience and the food😍. Tos is super amazing place for couples friends and even for family. Talking about food.. The food they serve is quite good in taste.. I ordered pesto pepper pizza, Alfredo pasta, garlic noodles, oreo shake, brownie shake. I must say i can't decide my favorite among these.. All are amazing at their own way. Pasta was well cooked and veggies were tossed. Veggies in pizza were fresh. Shakes were thick and smooth. It has pure taste in it. Noodles were also well cooked. It has the perfect flavor of garlic in it.. Taking about the service. The service was a litlle slow because it is a crowed place. They can't...read more"
920,Very good ambience❤️❤️❤️❤️❤️❤️ went there with my girlsss truly an amazing placeeeeee❤️❤️❤️❤️❤️ will surely visit again really soon ❤️❤️❤️❤️❤️❤️
921,Amazing experience..!Ambience was way beautiful!Loved to be back here..!Polite staff!Quick service!I had been here with my friends and it was a truly memorable experience 😍
922,"Absolutely loved the drinks at this place! The food in all is pretty good in terms of food and affordability! 🥰We had ordered a pizza, three mock tails and fries!! Had gone with my friends so it was much more fun. Will definitely come back! Must visit place guysss "
923,Amazing ambience .It's quite a photogenic place plus it has a photographer .. I really like the place. We ordered 3Lits chilli potato and pasta .. the taste is really nice.. I love this place 
924,I like this place a lot . this restaurant gives a decent ambiance along with decent sitting for 100 people. the looks of this place is very nice. they also hav...
925,"I went there with my mom and dad who usually don’t enjoy these kind of places but to my surprise, the ambience got them hooked and they stayed. Later on they found food of their choice too which was a cherry on the cake"
926,Amazingggggg place. I will recommend it to everyone!!!😍😍😍😍😍 amazingggg foooooood. Love it. Recommend it everyone!!!!!!!!!❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
927,"Great place! Amazing food! The mock tails and burgers are out of this world 💯I came with my friends here the other day, and the service was so quick and the staff was soo patient, sweet and efficient! "
928,HeyyReally loved itHad a wonderful timeAmazing foodAmazing qualityAmazing quantity Amazing staffWould definitely recommend everyone !!!!!!
929,Amazingggggg placeeee!!!!!!!!!!!!Nice lounge to justt hangg outtt...........Serviceee is veryyyy gooooodThe music is alsoo greaattt Nice stafff serviceeee 
930,Amazing place. Loved the food. It was fun. Customer service is amazing. Will definitely go back there!!!!!!! I will recommend it surely to everyone!!!!!!!!Best food
931,"AMAZING FOOOD AND GREAT FOOOOD. WILL LOVE TO AGAIN WITH MY FRIENDS, AND FAMILY, VALUE FOR MONEY, AND AMAZING HELP. VALUE FIR MONEY AND WOULD LOVE TO CHILL AGAIN THERE. "
932,The food was really nice. Bhangra people made the DJ crazy.. it's a little dark and they won't switch on the lights. I ordered chicken nachos and it came to be good. Indian food was also tasty. Cozy and warm ambience will definitely make you feel good. Give a try with your gang!!!
933,"AMAZING PLACE, GREAT FOOD. WILL GO AGAIN WITH MY FRIENDS, AND FAMILY. GREAT PLACE. ♥️♥️♥️♥️ VALUE FOR MONEY, WILL LOVE TO HANG OUT THERE AGAIN SOMETIMES , GREAT PEOPLE TOOO "
934,Very nice place good ambiance...........good food ............Take off is the best place to party in Rajouri Garden. They have amazing music and liits. I went there with my friends and we had time of our life.
935,A really nice place to hangout. The staffs are good and the ambience is wonderful. Everyone will enjoy their time spent here. Enjoyed the food and service.
936,Had an amazing time with friends and family. Great place with lovely ambience.  Loved it. Thankyou so much for such a wonderful experience. Hoping to come back soon   
937,irst quality service and food. Comfortable environment even for business lunches or dinners. Excellent choice of menu with prices absolutely in line with the offer
938,Amazing place. Had a wonderful time. I went with my friendds and we wish to go there again and again. Super cooool. Ambience is wonderful. Definitely worth a visit. Food was amazing. Value for money. ❤️❤️❤️😘😘😘😘
939,"Amazing place with awesome food. The staff is polite . The service is quite good and the ambience is fantastic, great for taking pictures:). "
940,Went there for a friends birthday. It was a last minute plan and we were not sure where to go so we say the name and found it very interesting. To our surprise the ambience was very good and the foor was also very delicious and the service was very humbel and we found it convient also. Glad we choose this Restraunt. Would recommend it 100 percent. 
941,it had a good ambience the food was good and the staff was good and the food arrived very much on time. i would suggest everyone to to visit it with family and friends. it has a friendly environment.
942,Amazing food!Loved it!it had a good ambiance the food was good and the staff was good and the food arrived very much on time. i would suggest everyone to to visit it with family and friends. it has a friendly environment..❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
943,Bohot hard hai bhai . Service kati zeher . Bole toh public bawaal macha reli hai . Ek number khana aur staff toh bhaisaaaabbb kati lit . I really liked the atmosphere 
944,Bohot hard hai bhai . Service kati zeher . Bole toh public bawaal macha reli hai . Ek number khana aur staff toh bhaisaaaabbb kati lit . Zeheerrrrr kafee
945,"Amazingggggggggggggggg ambience. Loved this place. Amazingggggggggggg food , amazingggggggghgggg facilities. Will be recommending to manyy people."
946,Amazinggg experience. Loved this place. Food was great! Ambience was superb. Loved the atmosphere. Will be recommending to many people. I enjoyed a lotttttttt.
947,Great place to hangout with friends nd family . Lovely service with helpful staff members . The food here is exceptionally tasty and I recommend to everyone to try at least once. The ambience is great 
948,A great ambience and a place to enjoy with friends and family.Thourougly enjoyed the restaurant and had a great time.Would like to visit the place again.😃😃🌸
949,Awesome place will go again loved the ambience n great place to hangout would love to go again..would recommend to everyone good is great n so is the location...
950,i had a great time there....ambience was great as well as food...i would recommend everyone to go with friends and families....i look ahead to visiting the place again
951,A very good place to hang out with frnds. You will enjoy your time here and would love the place. Decent stafff and lovely ambience. Great and timely service.
952,Great ambience with a repecteful staff.Beautifull experience. Will surely go again.Food was amazing & the day was really well spent. Definetely revommended.
953,Had an amazing time with my friends here. Definitely recommend you all a visit! The food as well as the ambiance is amazing. The menu is great too.
954,"The highlight of this place is surely the ambience. It is just amazing. the place is amazing to hang out with friends, the happening dj, simply perfect for a party. Apart from that the service is also very good. The brownies are very yummy. Can't wait to visit again!"
955,Real good atmosphere and great menu with many options! Really great ambience and a good joint to hang out with friends. Slightly bit overpriced. 
956,Great venue great service well done once in a lifetime expedited the tandoori chicken was also amazing I’m so blessed to have. Found this resultant because it was my college sponsor and they asked me to write this here . And that’s why I’m writing this review for a free pass 
957,"I loved the place a lot... The food and drinks are very delicious, friendly staff and a beautiful ambience.. Waiting to come  back here soon! "
958,"TOS has a pleasant ambience & has a lot of potential to grow into an even better restaurant. The food tasted pretty decent, nothing extraordinary though. But the order was prepared in just the right span of time and we didn't have to wait for long. Overall good job, but there's scope for improvement too!"
959,Dj is really good if dj nd dhol are not there then i defiently don't want to stay there staff is busy to checkout girls rather than listen guest order nd complain we reserve the table from dine out and we prior inform the order taker but he is least intrested in that and for his mistake we have to pay full amount where we are eligible for 50 percent discount on food and beverage so pathetic service and staff is also worst and service is extreme delayed...food is good
960,Good place with Comfeteble seating and helpful staff. The menu is olso very well versed with very good food test. Almost all the thingsWe tried very testy. And was pocket friendly too. 
961,Amazing place to hang out with friends! Would definitely recommend it . Perfect for college going students as the prices are very affordable ❤️
962,"My experience was very bad. Food was okay but the quantity was very less according to price. Very bad service, every food was late we even forget sometime what we ordered. They also did some trouble in making the bill."
963,The food is really good . Amazing place to hangout with friends. The staff is very polite and the service is pretty good. The ambiance is very good. 
964,The food was yum! I really enjoyed my meal and even the service was amazing. There was Great management great food Hope to come back some time soon 
965,This is an amazing place to hang out with friends. It has a great ambience and delicious food. Everyone you visit this. The staff is also very friendly.
966,"The food is very delicious, especially the north Indian cuisine. Everybody should try it ones. The decor is very pretty. Place seems very high in price but is worth the price. "
967,Lovely place with good food..Great ambience!!The staff is very polite and providing amazing service...A must go place!!The decor is also really good..
968,Had an amazing experience here. The food was delicious and service was very quick. Loved the ambience of this place. Definitely good for getting your Instagram worthy pictures clicked.
969,The crowd present at the place was very nice. Complete hygiene was maintained. The location of the restaurant was also very appropriate. Loved the place.
970,This place just became the heart of delhi for me after i visited here once. Completely cool infrastructure amazing food and service. Loved being here...
971,Amazing place to spend tym wid your loved ones superb food....just perfect...roof top is amazing...staff is also helpful. One should visit this place...
972,Been there multiple times ♥️ its my go to club in punjabi bagh.. First i love the crowd... the Dj is amazing 🔥 the service is greaat !!! They are really helpful . And take care of their guests well 👍 
973,This place has amazing food and great ambience.The service is wonderful and the staff is also very friendly. The food has amazing taste. I the drinks are nice too.
974,Beautiful ambient and ginger licking food!The staff was very courteous Suggested the specialities Apart from that the location is great very easy to find 
975,"We went there to celebrate our friends' win at a college event. Chose this place bcoz of it's rooftop sitting arrangement.1. Ambience turned out to be only good for pictures, nothing such extra ordinary.2. Food: Everything about food here was substandard except the pricing. Ridiculously small portions, and taste less. Pizza was oily AF, what did they do to it? Deep fried it may be?3. Major blow came when we refused to pay for the service charges, for one food was ridiculous and two I can choose to not pay it if I don't want to, I am legally allowed to.Guess what happens, there ohh so rude manager shows up and says if you do not pay it, we will ensure you don't step out normal. So we...read more"
976,"""AMBIENCE WAS AMAZING”“LIGHTING AND MUSIC IS TERRIFIC”“BEST SHEESHA IN DELHI”Totally worth going to for a party or a casual hangout with friends."
977,Wonderful palce to visit..... Everything is very nice.....AMBIENCE WAS AMAZING....LIGHTING AND MUSIC IS TERRIFIC.... I just loved the place....... Can't wait to come back again....
978,Great food !!  Loved the ambiance :) The staff was very polite and sheesha was best . Service was quick and crowd was very happening . Cant wait to come back here !! 
979,Amazing food and ambience. Must visit this restaurant! The music is also good. The staff is polite and friendly! Have a good time with friends and family here!
980,"Visited as a guest for lunch just today. We enjoyed our table. We chose to stay indoors - to enjoy it's beautiful fixtures 😊. I just want to say that, in addition to a nice meal, we had a delightful staff. They had just the right balance of friendliness and efficiency. They recognized that we wanted time to visit and did not rush us. They made certain that we had everything we needed. Kudos!"
981,"This restaurant should be visited by all our delhites. A perfect combo of beautiful rooftop view, generous staff and the most important mouth watering delicious food. Loved the place. I personally recommend to all my friends and have been here for a no. of times. Really amazing experience..."
982,"The ambience is superb , it’s one of the best rooftop cafes I have been to , the terrace is decorated beautifully and is always glowing with lights ! The food is too good!!!!!!! "
