,Distillery - Craft Beer & Cocktails
100,In the middle of a busy hub lies this place distillery but very different from the others. In terms of their top notch welcome and hospitality to the way you are seated with warmth. Their ambience is no less than a palace interiors. We ordered a variety of dishes and each dish had its own USP. The first dish we ordered were crispy peppy paneer with mint ice cream. These chefs play a lot with food and have actually made this dish look like an ice cream cone but with a delicious paneer filling and tasty sauce as a garnish. Kohlapuri chicken tacos were the most delightful dish i have had with a thin hariyali roti as a base and soft juicy chicken cooked kohlapur style garnish with onions and...read more
101,"Distillery is one place which I could recommend to everyone blindly. I was totally awed by their molecular gastronomy.The Ambience is so beautiful. They have rooftop seating as well. Service was top-notch.We started with roasted cumin aampanna and sangria.Both were too good.In starters we tried crispy cheese corals, pakora Chaat,Murgi in trouble, dimsums and chicken schnitzel with BBQ sauce, tandoori Chaat.In Maincourse, we tried chicken lababdar and lacchha paratha, kheema kulcha, aloo pyaaz kulcha.In desserts we tried international halwai and mango cheesecake. Loved both.Overall had an amazing experience. Highly recommended."
102,"Distillery rocksI'm simply blown away with their hospitality approach in every possible aspect one can judge a FNB premises with.Be it the ambience and decor or the service or the food every thing is top notch, just spot on on what we needed on our anniversary.I'm really glad to see the standards of dining experience in Gurgaon being raised with Distillery's approach. They have set the bench at a much more higher position.Chef Santu made our evening memorable , each and every moment was cherished.. the idea of fusion gastronomy has been carefully kept in mind here and delivered with poise.Our mixologist made it a point to pair our dishes well with various cocktails through out...read more"
103,"Looking for place with a fabulous ambience and jaw dropping dishes, distillery is the place for you. I began the evening by ordering gangster chaat along with their virgin mojhito. The presentation of the chaat won my heart and it was soo yummy. Hats off to the chef for this one. The mojhito was what I needed after a tiring day. It was refreshing and well balanced. Moving on I tried their recommended dimsums and I was blown away quite literally, yes they were that good. Also, I tried their stuffed chicken kulcha served with butter chicken gravy and it was just sensational. All the dishes were spot on and I was over the moon. To bring an end to my fabulous evening I tried their gold bar...read more"
104,"Distillery is a newly opened popular hotspot which provides excellent ambience mixed with delicious food . The crowd here is also great. Interiors are very classic bar lounge kinda with dim lights and ample space ! We began the fun filled afternoon by ordering stuffed mushroom kulcha and pineapple beer. The stuffed kulcha were Served with dal makhni and presented beautifully. They were so soft and perfectly seasoned, definitely a crowd pleaser. Also their chicken dimsums are just bang on. I also tried their onion rings. How can one not like fried onion cripsy on the outside soft on the inside. The chef gave this dish a twist by coating the onion in vada batter and served it with coconut...read more"
105,"Went for a relaxed lunch over the weekend to this place. Amazing ambience inspired the American Bars post Prohibition complete with long chandeliers, and artifact's of the time. The double height ceilings and a vast roof deck gives you a sense of vastness and grandeur of the place.The food from Chef Santu's kitchen is amazing! Chef Anas and his team have built up a good detailed menu which sticks with the basics and entices you with the presentation. The Kohlapuri Chicken Tacos have that distinct Kohlapuri Masala taste and the Crispy Coral is abundant with cheese.In desserts they have gone beyond the usual and innovated really well. One of us tried the International Halwai, which is a...read more"
106,"I recently went to this newly opened bar and I can definitely say it's my favorite bar now. The ambience , the food is just lovely. It's a double story place so that's unique. Coming to what I had, I began by ordering their coco berry mocktail and chicken tacos. Boys and girls they serve the best chicken tacos, super delicious and melt in the mouth types. The mocktail was really impressive as well do give it a try. Crispy corns were also really amazing and seasoned to perfection. Another fantastic dish served by them was murgi in trouble. The chicken was soo juicy and I fell in love with it with each bite. So bring an end to this fantastic afternoon I ordered their gold bar and it was...read more"
107,"I tried this newly opened restaurant in sector 29, the restaurant surprised me well by the brilliant interiors and ambience. The decor gives it a rustic classic theme which gives it in turn a very lavish look. The food here was scrumptious and delicious, I loved their kohlapuri tacos, that’s my dog and the gangster pakoda chaat. The drinks pretty average and can be done better if they keep it simple instead of innovating it.The service is good but the servers have to keep a look at their tables. Kudos to the best interiors in the sector 29."
108,I organized a beer and paint party at distillery on the rooftop. We ordered some lipsmacking starters and chilled beer.Loved the chicken wings and spring rolls.Ambience is super cool a perfect view of the sky and highways from the rooftop makes it mesmerizing.Beer was chilled and fresh.Must try place.
109,"I absolutely love this place. It has great beers  and the cocktails are so good!you should try the butter chicken mac and cheese, its super tasty"
110,I have visited with one of my best friend for my #SundayFunday ......we have taken the unlimited Drink package with 4 of there Snacks😉FOOD-⭐️⭐️⭐️⭐️⭐️QUALITY-⭐️⭐️⭐️⭐️⭐️QUANTITY-⭐️⭐️⭐️⭐️⭐️AMBIENCE-⭐️⭐️⭐️⭐️⭐️SERVICE-⭐️⭐️⭐️⭐️⭐️STAFF-⭐️⭐️⭐️⭐️⭐️I really had to say that i am very impress with this Cafe😍Hardly Recommended for the outing👍🏻😎
111,"Wanted to try this recently opened huge restrobar pub in the hub of Gurgaon. This place impressed me by the moment I entered because of the valet parking and their lobby entrance as this place is located on the 4th floor. The moment I reached the floor, I was damned by the way they have done their interiors, kudos the designer and the rustic theme. The place literally can beat anyone in the terms of their ambience and the decor. I throughly explored the property, the chandeliers to the wall hanging photos, the rooftop deck to the bar everything was top notch. Coming to food, the chef personally came to know our preferences and everything else. We started off by,Gangster pakoda...read more"
112,"Super amazing place for party lovers,their food are exceptionally good,and talking more about their brewery is futile ,they have the Asia's biggest brewery plant ,and Nishant is giving his midas touch for giving aromatic flavour to all his mugs..lovely place,lovely ambition,will lobe to visit infinite times..It's a must visit place.."
113,"Visited to outstanding place in Sector 29 Gurgaon and loved the place to the core. Its honestly the best place to visit and enjoy the luxury at it's best. The music here is absolutely remarkable and food is absolutely divine. I love the presentation as well and their Mocktails and cocktails are so great.Best part their cuisines are so delicious and comes in great quantity. Service is excellent and staff is courteous too. Excellent place to chill, grab good food and no doubt super spacious too."
114,"Distillery recently opened a magnificent lounge in Sector 29,Gurgaon and it has amazing look and is definitely going to be one of the best lounge in the vicinity. Their ambience is mesmerizing, very spacious spread over three floors with a well stocked bar.Their terrace is also elegant and classy and they have valet parking also.I recently had a lunch at this beautiful place with my family . My taste buds were thoroughly tingled by their lip-smacking food. Everything we ordered was so unique, classy n upto the mark.We ordered many veg n non veg dishes but the things I liked the most were the Murgi in trouble, Peppy paneer cones, Kolahpuri chicken tacos,It's my dog, Chicken Schnitzel...read more"
115,"I had an amazing experience at Distillery recently and they deserve full marks for their fusion food and innovative presentations .The ambience was very attractive, well lit with classic n rustic theme.At entrance lobby and in the lounge, you can see many old pics of yesteryears.They also have a beautiful terrace for outdoor sitting and the inside decorations with spacious sitting spaces, beautiful chandeliers and a magnificent bar will surely catch your eyes.And now about food,we ordered murgi in trouble, peppy paneer cone with mint ice-cream,that's my dog, butter chicken tacos and crispy cheese coral. Everything we ordered was lip smacking and beautifully presented.In mocktails I...read more"
116,"I recently visited this alluring place and thoroughly enjoyed my scrumptious meal here. Marvellous ambience, innovative n lip-smacking food, top notch presentation and an overall lavish feel.. is what this place offers to you.The place is hugely spread over two floors with a mezzanine and a terrace. Their interior and exterior decor is mesmerizing and radiates a lavish feel with a well stocked huge bar.They have amazing variety of delicacies in their beautiful curated menu.The staff was polite and we were very overwhelmed with their courteous behaviour. Their Chef personally explained their Signature dishes to us. Our server especially Amit readily helped us in possible ways. They made...read more"
117,"I visited distillery bar with my family today. It is a beautiful place with an amazing ambience. It is huge and is articulated fabulously using items from the past like rusty books, umbrellas and coats. It has french windows that gives it a western look.I had a ravishing experience over there. We were catered by the chef himself. At first, I had gangster pakora chaat, it was a fusion version of dahi bhalla chaat. It was presented beautifully and was great in taste.Then I had chicken snitzel - thin layers of chicken slices served with a tangy dip. One of the finest dishes. Loved it inmensely.After that, I had butter chicken kulcha. It was an innovative way of presenting an all time...read more"
118,"One of my favourite places to go out whether be it with family or friends, really like the ambience here. If you guys are visiting this place do not miss out on their wines"
119,A Class of Wine n Dine has arrived in Gurugram. Feel the era of 1920’s in Gangsta style. Scrumptious food and Cocktails will make ur day more special.  The Baap of all Bars. #DistilleryRocks
120,"Rustic ambience, professional staff, great food and amazing cockatils. What's not to love?Distillery has some really innovative dishes and cocktails. We love murghi in trouble and chicken wings. The gold plated dessert was also something new and delicious. The menu is very elaborate and offers a great deal of choices. Had a lovely time!"
121,"A new micro brewery at this place offers 5 new flavors of beer which can be pared with some amazing food! The ambiance is awesome and so is the food, beer and cocktails!"
122,"Distillery, a superb cafe to visit. You will start getting good vibes the moment you take lift from ground floor to reach the cafe. The indoor ambiance is very classy and elite. It has huge indoor seating area with two floors. When it comes to outdoor seating they have huge area at rooftop also, which they call Distillery Deck.FOOD we ordered:>Butter Chicken Garlic Prawns>Lahori Chicken Tikka>Murgi in Trouble>Chicken Ghee Roast Gangster Kulcha(must have)DRINKS we ordered:>Apple Sin>Thunder Bolt LIIT>Old Glory (must try)>Lipstick MartiniDESSERTS we ordered:>999.9 Fine Gold Brick ( must must must try...Loved it)Service at this place is lighting fast.Staffs are very humble...read more"
123,"One of the finest place for the most perfect boose. The interior and decor are really amazing, rooftop facility available, good lights and quick service. Amazing cocktails and craft beers, the drinks were a really good start mentioning lipstick martini, thunder bolt LIIT, Gatsby, GOD classic LIIT.The food is also amazing whether it be veg or non veg.Special mentions: murghi in troubble, gangster kulcha, lahori chicken tikka❣❣"
124,"They are making fool of people. Keep cheap offers such as Rupee 1 beer, etc & when we showed up there on a weekday, they said they are not taking a la carte. Already taken corporate parties. Weren’t supposed to inform on your social media page. Happened twice. Now after this first experience I & my circle shall never visit the place. Place will loose the word of mouth also in this competitive market."
125,This place is very exotic with its new collection of food.Also the staff is polite and helpful.The ambience and the live music is also appealing.overall good to go and enjoy.
126,"Brilliantly done place. It's the service and their focus which really is on bigger groups and tables, so much so that they dont care about a 2 people table."
127,"The cafe has a great vibes with a very remarkable ambience. The staff behavior was good. Food tastes also good. In all of the items that I ordered , my favorite one was Butter chicken kulcha , gravy tastes so good.If you want to explore one of the great cafes then it's a must go."
128,"Definitely one of the best places. Everything from service to ambience to drinks were flawless, the Liit s were really nice, gives you a good taste as well. The crafted beer is also a great option to get a booze. Moreover food includes things as awesome as lahori chicken tikka, murgi in troubble, wings, cigar roles and many more items, all just spot on to the taste. It is a must visit place that i ll suggest."
129,"Visited this place along with my friend. Ambiance of this place is just WOW..! By any means a spec of imperfection could not be made out in the whole feasting experience.Now coming to the food, the was too delicious.We tried: Chicken Ghee Roast Gangster Kulcha (must have)Murgi in TroubleButter Chilli Garlic PrawnsLahori Chicken TikkaWhen it comes to dessert must try 999.9 Fine Gold Brick.Service was very quick and responsive"
130,"Distillery is one of the great places in sector 29.Newly opened brewery offers a lot of choices in beer.We started our day with some drinks;#God classic LIITThunder bolt LIITBeetle botanist LIITCumin AampannaAll of the drinks were really amazing. LIIT had proper alcohol content too.Moving on to the food, we had:Lahori chicken tikkaChicken ghee roastThecha Paneer tikka and a few other dishes.All of them were really tasty, specially chicken ghee roast. Loved it.They also had some really unique dessert. One of them was 999.9 fine good brick.Loved the visit. Would love to visit again. Highly recommend it"
131,"Distillery should definitely be on all your lists of must visit places. They have a nice ambience and also a rooftop area. The cocktails were absolutely amazing in taste. In food, we loved the chicken tikka, ghee roast chicken wings and much more. Their signature desserts are a must try. The staff was very polite and professional. Had a really great time here and would love to visit again!"
132,"Distillery is really an amazing cafe! Its a must visit cafe in Sector 29 , Gurgaon. Ambience is really appealing. Lighting is good. Rooftop is very pleasant. Drinks are very refreshing. Recommended : Thunder Bolt LIIT , Old Glory and Lipstick Martini.Food is also really nice. Taste and presentation both are awesome! Recommended : Chicken Ghee Roast Gangster Kulcha , Murgi in Trouble , Butter Chilli Garlic Prawns and Lahori Chicken Tikka.Coming to Desserts , just try 999.9 Fine Gold Brick.Staff seems to be very polite and service is fast."
133,"Distillery, the new addition to the Sector 29 hub surely deserves all the appreciation for delicious food they are serving, beautiful decor and a huge space for the party animal inside you waiting for you to party. The place has been setup over 3 floors including a stunning terrace.Coming to the food, kolhapuri chicken tacos is something i would want everyone to try. Juicy, flavourful chicken wrapped in soft shell tacos was too good. Thesu paneer tikka is a great starter for the vegetarians. Not to forget are the curry pakoda chaat which was so good and the chicken kulchas. Both these dishes made my meal absolute delicious.Coming to the mains, i loved the dal makhni and butter chicken....read more"
134,"Must go place for party lovers and who love beautifully done up night clubs. Awesome Roof top, great music and good food. It's has 3 stories, huge place, 2 indoor big lounges and 1 terrace."
135,"Distillery is totally a class place of it's segment, the designers have designed it pretty beautifully that it attracts a lot many eyes into it's beauty. The place do have a great looking bar with amazing bartenders and the drinks to compliment it all. The place have an amazing terrace area for smoothy evenings where you can just enjoy the wind and your drinks, place do have a lot of space and they have managed it all well. Food is of course amazing here and one won't go disappointing at all."
136,"Just leave everything , this guy is amazingNuttin I love your hospitalityCocktails and food were amazing"
137,"This is a new place we tried, one good thing is they have a slightly different variety of beers.The pineapple brew is a must try and combine it with mutton chap, that makes it irresistible. Ambience is good and definitely warrants another visit"
138,"Went to this restaurant few days back. Food was superb here. I just loved it. Presentation, Quality, Quantity everything was upto mark. Keep it team. Highly recommend place.."
139,"I went to this place as its name suggest.. DISTILLERY!!I went for crafted beer, and it was utter surprise for me. One of the best wheat beer I have ever had till date.Food was very very good which made my evening.I went for Cheese Nachos, One of the Best Crispiest corns and Smoked Tandoor Murga on Travel.Both food and Beer made my evening very beautiful.Staff and Waiter there were very courteous.Top of that, waiter's were able to give details of the food menu perfectly and properly, which is exceptional and fantastic to start your evening.Place is beautifully designed with nice and creative interiors.Must go to this place at least once, if in GuruGram.Lastly, price of the food is...read more"
140,"Been there twice now and that too on food events. I am amazed how bad can service be especially during an event when it should be at its best so that people go back with a good feel but no, both times the attitude of the staff is zilch. They take your order and vanish."
141,"Distillery, The New Party Terminal of Gurgaon is ready to take us on a flight that ""Says No to Prohibitions"". Gigantic and Magnificent, this place marked its presence with a Bang at the entrance of the biggest food hub of Sector 29 Gurgaon. A Cultural Reprisal of the prohibition Era - This place is a Party Hub for Roaring Twenties. Showcasing Plethora of Modernity, Sophistication and Class, Distillery has become Favorite amongst Party Lovers. With the biggest distillery and A fully stocked Huge bar, Distillery has finest selection of Drinks to serve their guest. The Interiors are done in Neo Noir style cladden in wooden and monochrome theme that carries sophistication and class, yet...read more"
142,"Dined at this beautiful newly opened up property in Sector 29, Gurgaon. Distillery is perfect place for everyone. They have a huge bar, chandelier hanging from the ceilings, good music, prompt and food do the talking. Outstanding food served by the Chef, amazing cocktails followed by excellent desserts. Butter Kulcha is must must try. Dimsums are to die for. Melt-in-mouth Chelo kebabs served with soft kuboos were nicely prepared. Pakoda Chaat with chutney foam will take you to the next level. Fried Chicken Schnitzel strips with bbq sauce is a perfect bar nibbles. The beauty of crispy cheese coral was so damn beautiful. Kolhapuri Chicken Tacos were equally yum. The quantity they serve is...read more"
143,"For some good foods you must try this place,The butter chicken kulcha was the best here( highly recommended)You can also try their pizzas also like farm pizza and tropical chicken pizza.You can also have some good music here.They also have outdoor seating which I found very beautiful. Coming to the drinks I prefer apple sin, raspberry slush and liits.Highly recommended 🔥DELHIICIOUSNESS-5/5"
144,Ashish the liquid chef presented a customized cocktail based on our mood and that was great in presentation as well as in taste...I would recommend this to a friend for sure
145,"Visited this restaurant today with my friends, we were served by Milan at our table, and before i talk more about the place, i wish to extend my appreciation to him for his amazing service and food suggestions.So distillery is in sector 29, Gurugram, they have their restaurant at 4th floor, 5th and terrace.We sat on 4th floor, with ample seating area and bar, this area is very attractive.What i liked here :-Kolhapuri chicken tacos: We liked the taste so much that we ordered it twice, it was filled with masala & tasted spicy.-Tropican Chicken pizza: Loaded with medium sized chunks of chicken over a thin crust base this tasted amazing👌.-Chicken Schnitzel Strips: A very tasty...read more"
146,"This restaurant is located in sector 29 gurgaonI visited this place with my friends We ordered lots of food itemsMedu Vada onion rings,kohlapuri chicken tacos,crispy spicy mushroom,farm to table veg/non veg pizza,cheese p,aneer lababdar comboDessert-white brownie with choclate ice creamMocktail-coco bango,apple dinI had a amazing experience over thereStaff was very cooperative & helpfulAmbiance was very beautiful This place is very good for parties Best place in sector 29I would recommend this place to everyone."
147,"I love love this place. It has been constructed over 3 floors. It starts on the 4th floor, with that vintage look of old books and coats and whatta decor. Then the next floor has the DJ and last floor is the terrace. They used such beautiful blue all around, love it. Their food is really good, really recommend the nachos. Such a well dressed and courteous staff. I also loved the DJ, had so much fun dancing. I would really recommend this place to everyone."
148,"Had high hopes from this place, but still won't say that I was disappointed. Summed up easy in short it would be - Great ambience and vibes, fairly average food and good drinks on the menu.As far as the food menu goes, it was quite simple and nothing different. Hoped for something unique in their menu.Taste wise, nothing much to write home about but for the pesto pasta. Mildly basil flavored and super creamy. Hit all the good spots on the buds.The staff is well trained and extremely friendly and even well dressed up. That's a rare sight at many a places these days so good job on that. They tend to you pretty quick even when it gets crowded. Great job team!Now, for the ambience....read more"
149,Wow....what an experience to share....am delighted & excited that finally we have an amazing & exotic ambiance in our very on G town sec 29 ..kudos to the team Distillery for puting their heart & soul to create such beauty..Had a great time trying some scrumptious dishes bok choy mushrooms dimshum is to die for ....Meduvada onion rings the best for all the folk who wana keep it lite along side beer...Salad is a treat for eyes ...oriental black mamba main course was as spicy as I expected .....must say Grand chef @Anas did a fantastic job in creating a wonderful menu.....@Sameer Mandal is always on top of hospitality & managing his team to deliver the best for the patrons...spcl...read more
150,"Food is good but dent on pocket , less quantity , expensive . Drinks - okayService poorStaff good Ambience is good Many options available nearby area .."
151,"Dined at distillery. Loved their kadhi pakora Chaat, California roll. The food was absolutely delicious and was loved by me and my friends..definitely going again soon"
152,Went to this newly opened cafe in Gurgaon with friends Try some drinks old fashioned and sangria With thele wali jhalmuri and medu vada onions rings are perfect to pair with drinks. Medu vada served with chutneys are yummy in itself and jhalmuri served to make with diced lemon which is excavated with drinks. 
153,Hopeless manager.hopeless servce. Sggest u to read all the terms n cnditins before being seated here. Bcoz the management wont guve u any service. Poor and rude servce. Would say they dont fitto be in servce industry. As clearly they understand nothing about services.
154,The oulet should not take the bookings if they can not serve them accordingly.The portion size was not even appropriate for 18 people and the service was way to abrupt and slow.
155,Distillery is very beautiful place in gurgoun29 secThis place to for party loverBhelputi is perfect for chakna loverPanner tikka is perfect cooked love it highly recommend for planner loverSigture cocktail is very classic and yumOverall my experience is very goofService 5/5Food 5/5
156,"Kudos to Ashish for creating spontaneously innovative cocktail menu. The spaghetti white sauce was a bit bland for my liking. The music takes you through several generations so if you're the uncomfortable nostalgic kind, stay. I mean to each his own, this place is alright."
157,"I had been eyeing this one for some time but yet again, the plethora of choices in Gurgaon, and the somewhat limited times I had been out in the recent past somehow meant that this visit took some time coming..The Chef (Anas) is someone I find to be quite talented in the craft, and even though the acquaintance is not really personal /one-to-one, my educated guess tells me whenever he's involved, taste buds would seldom face disappointment.Today's order Included Chelo Kebab (mutton mince) which are served over a base of Kuboos bread with an assortment of dips. This is a wholesome dish in itself for someone who might be dining alone.Also ordered their NV Gangsta Kulchas which had a...read more"
158,"Well you know there are a very few places that are one of their kind and distillery is just one of them, being so amazingly manages to take up a huge property nicely designed and beautifully managed as well. I loved the interior and the overall designing of the place whether it's their classic bar or the huge spacious seating areas with nice comfortable arrangements. Well I enjoyed their brew beers for sure, though only a single one of that was available at the moment but the cocktails was just too good. Their cocKtails are something you should be looking upto and the food is just too improvised and innovative. Possible they are having an amazing creative chef and team so good luck to the...read more"
159,"I believe that connecting with people over food is an extremely underrated ritual. It is very commoditised and run-of-the-mill and while several eateries are trying to experiment with the experiences they can offer to the patrons, not all are really able to maintain fun element intact while remaining classy as well. .Distillery is definitely is right up there. It is classy, vintage, transports to the setting of sensational 20s and still manages to preserve it’s flavors beautifully. Thanks to few reccos, we could all come together and spend an afternoon amidst this array of colorful (and delicious as heavens) food and drinks that tasted so surreal that I had to ask for their mix every...read more"
160,"So they have opened recently around 1 month ago and there are a lot of improvements needed, the staff needed to be trained more precisely although our experience was quite good and the rooftop ambience was best and full of energy. We ordered their wheat beer that tasted good but it didn’t have that kick we all expect from a good bear apart from that Jalandhari Paneer Tikka which was good in taste and Cheese Totellini was superb. Overall it was nice experience, would love to visit them again 👍🏼"
161,The food tasted really good and the ambience was pretty amazing. Cool place to hangout with friends.😍
162,"Recently I visited this newly opened brewery place in Gurgaon. This place is just amazing. The ambiance, staff and food served here is different, unique and tasted very delicious. Coming to the food and drinks I ordered here :-> Apple Sin> Cucumber Surprise*Both the drinks were refreshing and a must try 👍> Crispy cheese coral - Cheesy and delicious 😍😍> Chelo kebabs with Kuboos (Must Try)> Butter chilli garlic prawns> Shanghai chicken dimsums> Smoked chicken sushiWill definitely visit this place again for sure 👍 "
163,"Hey guys,I am back with a newly opened placed in our own lounge hub of ggn., This is the most decent place you can see in this market. Staff, ambience and menu everything was decently and adequately made. Cocktails could be better especially the ''popcorn caramel'' thing the popcorns were over baked and became smelly else the other drinks were good. And food was totally up to mark.Thank youStay connected ."
164,The whole vibe of the place is really amazing.The interiors and music everything is pretty impressive.Cocktails menu is really impressive and elaborated.Food menu is amazing too and to my surprise everything we ordered tasted pretty good and most importantly fresh .The flavors blended well.i had highly recommend this.
165,"Tried this new place in sector-29. The place is on 4th floor. No doubt the ambience is of to visit again. The food is great. The cocktails were of right blend. We order Kahlua colada which tasted just right. OLD GLORY hits well ;) and the fresh beer was great. The place offer only wheat fresh beer.In food we ordered ved pizza which was thin crust and tasted well. Pink sauce pasta was yum. And I personally lived crispy corns with roasted peanuts and spinach, best sides 🧡The staff is very courteous. 🌼"
166,"Visited this amazingly new place opened in Sector 29, Gurgaon.With a 2+2 on drinks offer from Zomato the place offers really great music, multiple storey sitting, roof top deck and some amazing lighting all over the place.Surely a perfect place for any office parties, date nights, friends outing, client meetings or any family get togethers. Despite a bit slow on service I would highly recommend this place.Do visit and try out their delectable food, really good mixologists, a great ambience and give your personal reviews in the comments section below.Cost: 1600 for two people (approximately) with alcoholPersonal Rating: 4.3/5.0"
167,New buzz of town Fresh brewery place which has its own charm n luxury to talk about.Amazing ambience and decorWe went together in group of friendsAnd tried their amazing and delicious food and delicaciesStarted with lfhalfhal chat which was delicious and crispy then we had our hands our chatpati bhelpuri and crispy balls I must say it was super fun with friends and all together great outing with foodies.Over all 5/5
168, Ambience was nice. Terrace is great food was okay in taste. Incomplete beer stock. Not all beers were available. Manager was rude in behaviour. 
169,"Here is the reality - The music here sucks! They did such a great job at the ambience and interiors, but I wish the owner could keep it classy. Like most other places in sector 29, it is loud with poor music choices. Go there only when there is soft live music. We went up to the terrace and even there the speakers were blasting the loud music. It killed the mood and excitement.Drinks - The brewery is yet not open. So no fresh beers. They have interesting menu of cocktails. They decided to remake all the classics with their own desi version, by adding mint and masala. I asked for a regular Moscow Mule, they refused to serve that. Do you not have skilled bartenders to pour a nice mule?Food...read more"
170,"They refused to give us a table even when they accepted the Zomato gold unlock...They were extremely Rude on our face..In my opinion , they should be off the Zomato Gold privilege"
171,"Lit was horrible, food's taste and quantity was pathetic. Bad experience .. Ambience was awesome. Music is good. "
172,Pls change the DJ
173,"Newest kid on the block, Distillery undoubtedly stands tall among the rest of it's counterparts, for it offers ambience, quality and service, all together. Versatile nibbles and heady cocktails combined with great music, all in all, a perfect party place or a great weekend venue be this"
174,"#FoodReviewByShradha#Distillery#GurgaonIn a place like sector 29 where we have multiple options to choose from , the very thought of opening a new place would definitely would not have been easy. It would have taken a lot of planning and homework to ensure that the concept is unique and it should attract the right set of people. While we have quite some established brands already in sector -29 , a new place like Distillery is definitely a class apart. With the kind of experience we had there , it is the best example one can set for Ambience, food , music, theme and hospitality.The food was free flowing and not even for a second gave this feeling that it is getting made in bulk....read more"
175,Prashant doing great job there he deal in very professional way and he is highly appreciated for his tremendous work. People like him who treats their customer in such a way force us to visit again
176,"Friday Night Had a great time at distillery ....Ambience was good , Food quality excellent Had murg makhani and dal makhani with naan and it was delicious and yummy 😋 Food 5/5Ambience 5/5Dj 5/5Great place with roof top bar to enjoy with your friends"
177,"Vegetarians Beware!!!I'd recently visited this place along with a group of 15 people. Most of us were vegetarians, hence, we'd specifically told the waiter that we'd be ordering only veg dishes. Despite that, a non-veg dish was served to us, and upon seeking confirmation, the waiter said that the dish was veg. But it was non veg and after calling the chef, he didn't accept his mistake completely. This was unacceptable. Being a new restaurant, I had great expectations but now I am very sure that me and my friends would never be visiting this restaurant again."
178,When new York got burned it taste yum and when a leader like prashant is there u don't need to worry about anything.... He will bring wht u want and even get what u think of.... Well deserving. Mr. Prashant all the best for ur future
179,I sat on rooftop. The view is beautiful and well maintained infrastructure. The food(4/5) was good (because 1 of the item we ordered was (0/5)). Music was light at rooftop and good at 4th and 5th floor. Overall experience (4/5).
180,"It is true that good food can only be prepared when chef has put his heart and soul into it same goes for chef shantu who is great at his work super confident and will leave u surprised with his creation. Wonderful evening spent at distellery, amazing chef and his mouth watering food,highly recommended to go and try his specials."
181,brewer is still not operational 
182,Amazing place to be at ... The ambience of the place is lit ... An amazing and regular place for me at sector 29 .. the terrace is lovely with an amazing bar at terrace .. The food is amazing ... The drinks are also good ... My choice everytime i go to sec 29
183,"We have visited this place today and highly disappointed with the service . We have asked for pint beer and they served it the beer at room temperature. First turn off for the place , which recently opened and do not have chilled beer at all . After that we ordered food (chakhna platter ) in which they have served local namkeens with no preparation. Big no to this place . "
184,"Just launched happening joint ""Distillery"" at the #sector29gurgaon has come up with an interesting and unique concept of bygone era when there was total prohibition and people use to open secrect breweries where mostly gangsters used to be their clients and entry to the joint used be such that one could not make out easily, that's how they have kept the entrance. Interiors of the place is on this theme with the massive outlet on three floors with 300 plus covers n big terrace with nice view of the millennium city.Distillery has their own breweries and serve global cuisine with a lot of innovations and we were floored by the efforts of the team who served outstanding dishes...read more"
185,"Best place to party along with delectable food, best mixologists and a good ambience in Gurgaon. Totally love the DJ's playlist ! The interiors of this place is very beautiful and the place is huge with 3 floors among which one is a beautiful terrace with outdoor seating. Do try their Dimsums in Thai sauce."
186,"Awesome place with good food... Special thanks to Namit for all the attention n hospitality...Music was good.. We have crispy cheese coral , Paneer bhujji cigar roll, mafia mutton chap,and every things was fresh. A go place to enjoy with friend n family...."
187,"Exotic Distillery in town ! with Bygone Era look.....Will port you to the era of yesteryears with the theme of Gangsters looking for drinks..........Golden and wood decor, Golden Cutlery, from the start to the terrace, classy decor, different sections for the group of people to hangout, gangs in their terms to unwind and enjoy the exotic Global Cuisine with some twist,  mind-blowing cocktails, wonderful presentation of food and drinks.Newly launched Distillery at Sector 29, Gurugram, is visible from quite a distance, excellent location. In three floors with open terrace. Approx three fifty covers is a huge place with .. fifty feet tall and biggest Bar and approx same  length of...read more"
188,"Visited Place for Quick Bite today as I was in Sector 29 for quick meeting...Good location as you enter sector 29 so this place is on Entry of Sector 29 with Good Music can easily attract you to go n try the place. Person on Entry was welcomed us with Smile, Place has 2 Lifts with Good capacity. We checked in the place as they have 3 Floors where First Floor with Attractive Bar with Full Of International Brands n Brewery Tap was again attracting. Mezzanine sitting with comfortable lounge feel. Terrace was really Next Level as you are next to sky 🌌 with elevated sitting with great view of market as you feel top of the world 🌍. Estimated Capacity for 280 to 300 Covers.Imagine...read more"
189,"#FoodLover#SummerTherapy#DistilleryGurgaon#LunchExperienceByPriHad a wonderful time last night and that says to me to go again & enjoy the delightful Lunch at Distillery Gurgaon ❣I would say I had an amazing time starting from the Welcome drink to the starter then main course and end up with the Dessert without which my meal is incomplete actually..So what all we ordered:* Crispy Spicy Mushrooms, which I personally enjoyed and while eating I was not feeling like m eating mushrooms, flavor was awesome..* Mango Rasberry Slush, gotta beautiful picture of it and it tastes amazing, a must try drink ❣* Cheesy Paneer Lababdar combo in which we got the serving of Dal Makhni...read more"
