,The Hong Kong Club - Andaz Delhi
107,"I visited this over hyped restaurant/ club on Saturday.On making a reservation I spoke to Miss X (not naming her as i have nothing personal against her). The conversation was as follows:She: ma’am we have only one table available for the night which is at ground floor.Me: This is my first visit so I wouldn’t know the best area/ table so please guide wellShe: yes ma’am ground floor is the most happening.On reaching the place, she, with a poker face  says “ma’am your table is reserved on first floor”I reminded her the conversation over the phone and she said “no ma’am we don’t have any table on the ground floor as I told you on the phone”. Of course her sheer lie...read more"
108,Ashish is a great bartender!!!..great food and cocktails.. had a great timeLoved the dim sums. Music was awesomeLoved the place and the crowd  
109,"I went to this place recently and i must say that it was amazing. I fell in love with the ambience. How can we not talk about the food. I loved their range of dimsum and desserts. The staff is also very courteous and helpful. I remember one of them his name was Sahil, he suggested us some drink and food according to our preferences. He will definately make sure that you get something which is absolutely according to your preference."
110,"Excellent food!! Very good staff especially Kanchan and Mohit. Thoroughly enjoyed our Friday night with some great music, cocktails and food!!! Highly recommend this place!!!"
111,Kanchan is excellent. The Hong Kong Club is the best. Lovely vibe and a great time.Hong Kong club is a nice destination for those looking for a night out in Delhi. Lot of great drinks and company.
112,"BUZZING !! BRILLIANT !!! BOOMBASTIK .... What a Place ... Totally Reminds me of Hakkasan Bar Nights. Cocktails are little expensive but worth the efforts and the ingredients. MMMM Music yes.... they can work a bit but after 2 Cocktails you guys will love the Music too , BTW They just play EDM. Food is Supergood but the quantity is way to less. Overall it was a memorable experience for us... Go Guys Go.... Go Gang Go ... You will love the experience."
113,"amazing ambience.. lovely peeps.. courteous staff..Kanchan you are pretty good at your work👍😀A must visit place in Delhi..the food, the music, dj all makes the night memorable."
114,"Did you know, entry for couples not allowed after 1 am?Dont waste your time with the managers at the gate Pisyush something and Mohit another thing.Shady as always Delhi scene can be."
115,Amazing place enjoyed a lot Ashish shah was serving he was so good best place to chill must visit to hongkong club love it best place in delhi to enjoy seriously hotel andaz Crazy fun 
116,Am at Hongkong club . Great and rocking place .. needless to mention nice ambience and always smiling staff .. and yes the girl at bar counter KANCHAN is just great at nice cocktails.. and service too ... enjoying with friends. ..cheers Hongkong club 
117,"I have been planning for sometime to go here and finally was able to visit here last weekend. I would suggest it should be a goto weekend place. Brilliant ambience,courteous staff and nice music. Incase I have to think and take out a flaw,the only one I can think is the menu,it’s little less but I guess it’s apt for the place. I along with my wife had a great time here "
118,"It has to do with me and the group I went with, I'm guessing that we didn't enjoy The Hong Kong Club.We all felt that while it is expensive, it's not necessarily worth the price paid. There were those odd dishes that we liked, but overall, especially for us vegetarian folk there wasn't anything other than beans and spinach."
119,This place by far has been the most spectacular experience..!! Courteous staff.. breathtaking ambience.. mouth watering food...what else could you demand for? Worth every peny... planning to go there again soon..!! I think Delhi 5 stars should bring up more places like these... absolute touch of royalty..!!
120,"Four star for the decore and ambience. very welcoming place. Entrance fire lamps and the grand entrance creat a environment of Old Hong kong village. staff is very efficient. service is real fast. food is above average.we had ordered lotus root which i did not like. cauliflower, red Chinese cabbage Dimdum was awsome. crispy noodle were decent but not my favorite.The most amazing part of the restaurant is their grand restrooms. love this place. will visit again. "
121,"Nice and clean place(Aerocity), lively atmosphere, best staff, good interiors of club and nice exteriors of hotel it is situated inFood nicely presented , acrobat performance , good music, live bar counter at the centre,entrance the fire cylinders surrounded by water everything made the club to be of international level.."
122,"I went there food is not for Indian taste I was looking Chinese or something, I don’t like these type of food but it was tasty and delicious but food verity is too less, they should increase food verity and ambience was very good in Aerocity area."
123,The food and ambience was very luxurious. The best part about the food was it was with the right mix of spices and i love food when the spices are right.
124,So we visited the restaurant for out Anniversary dinner.The ambience was perfect and classy.The food though was average. There were not many options for vegans. Though the place seemed perfect for some late evening drinks. We left around 10 pm when the crowd seemed to be building up.
125,"Visited the Hong Kong club on Saturday after hearing a lot about this place from friends.Grand is the word apt for this place great interior very nicely done up.the drinks menu is quite interesting serving all sorts of cocktails,A very classy place, not to forget the very friendly staff specially the bartender Kanchan who served us she was spot on and quick in serving us and had good knowledge about cocktails and drinks.surely an amazing place to visit on weekends .!keep up the great work Hong Kong club."
126,"It was my birthday... took my parents to this place... let’s say it was a perfect evening for me... let’s start from the temperature which was so perfect that we felt that the weather was such!! The Ambience and interiors and the vibe is really top notch, international club feel where you feel you are transported to a club on miami!! The music was to die for.. my parents were itching to dance .. my mom’s fractured ankle kept them. Service: A class.. right from the entrance.. everyone made sure my mom was comfortable, the chef “ANAN” curated a special meal for us to cater to my parents taste buds... to top it all up... the Ariel acrobat dance... splendid.. start to end perfect.....read more"
127,The hong kong club has a classy ambience with a courteous staff well versed in english. The food is delicious. A perfect restaurant to visit for an amazing evening. Highly recommended.Ty Ms. Kanchan fr d mocktail as well as mouth watering dessert☺️☺️
128,"We went there on a busy evening and I must say that the staff was just amazing, in terms of food and cocktails I am sure it is the best so far what I have tasted. The best thing was that the cocktails were as per our Chinese zodiacs the eclipse and monkey cocktail was simply outrageous. Coming on the food we tried three of the dim sums and they were exceptional. The roast duck was so far the best I ever had.  On the price point it is a bit expensive but I guess that’s justified by the amazing experience we had"
129,Visited this pace last night and had a fantastic time. Cantonese chicken was out of the world. we also tried the mixed mushroom which was excellent but the star dish was Roast duck!! 😍 Peeyush was amazing and got us some fabulous cocktails which were very different.
130,This restaurant is the epitome of culinary  excellence and has definitely set a benchmark for crafted cocktails. Their speciality is that they make cocktails based on a person’s Chinese Zodiac and their attention to detail is mind blowing! I had the best time dining here and can’t wait to experience more of it soon!
131,it is very delicious. we like it.balbir kaur is very nice and beautiful. and service is also good. The environment is vey nice.from chinese friend review.
132,"My third time in the hotel , it always amazes me with new and better things to look forward to. My experience at HKC was simply amazing as I couldn’t have asked for better service/ food . The hospitality shown by the staff was truly superb and shows the training and importance given in the hotel.. We were 3 couples and went for dinner and drinks on a Friday night. The music playing was perfect as we love EDM and house music.. The manager( Piyush)  made sure we got the best of everything .. the place was pretty full and the crowd was good as well. So we felt in the right place. 9 out of 10 on the food , 10/10 on the drinks , must try the different cocktails.."
133,"Went with great expectations, however came back disappointed. The food was nothing greater than ordinary and the restaurant was not at all value for money. Portions were small. Only good thing we’re the deserts - creme brulee and tipsy chocolate brownie. Not recommended."
134,Ashish Shah provide excellent service thank your And the food was excellent.  Perfect stay very nice place Hospitality is outstanding. Will come back next time 
135,"This place has a nice ambience and good vibe and music. The service was excellent and special mention to Karan Sharma for the excellent care taken by him. The food was good but not great, but it may be because we were seeking only the vegetarian fare."
136,"Friendly and polite staff, loved the interior’s and the ambience.  The food was delightful Ashish was outstanding with his work. Definitely a visit "
137,"Great place,very different and Delhi badly needs such places,only good vibes,killer house music,fabulous service.Specially Kanchan,outstanding bartender!! A must visit."
138,"Wonderful experience it was. Sahil was very kind and welcoming, he suggested really very delicious items. I would definetely come back again for sure 😊"
139,"Classy 'modern' Cantonese is the name of the game at this 3 months new joint at Andaz Aerocity. The place launched with a reasonable level of pomp and show over Dec-Jan months and thereafter I haven't seen too much more being spoken about them. The place is spread over different levels, with a planned disco in the basement (that's not yet open) and seated fine dine on ground and first floors. The menu predominantly is modern cantonese, so limited comparison benchmarks around in the NCR region .On weekend Nights, the ground floor here is converted into a dance floor AFTER 11pm, with a drinks and a limited-food-menu.The food:Dishes we liked: Hongkong Duck and Crispy Pork Belly.Dishes...read more"
140,Now where is the after party .... it is here at the Hong Kong Club. Massive & Granduer for a club / pub .. sone amazing cocktails equally complementing music ! You cant go wrong here as long as it is an after  party ! The food still needs to make it up to match the expectations of the taste buds as expected from such a high end place ! Beware this place is heavy on the wallet... don’t tell me If i did not warn you!Food aside the place is top notch with amazing drinks to complement !
141,"A Great place to hang out with friends to chill, chit chat  ... its got lovely ambience,  good music  and some good food too... definitely a place to check out !! "
142,"Went for dinner. It is a restaurant which turns into a club and by 11ish it is more of loud sound and then fine dining place to catch up with friends. Food wise everything is okay. All the starters and main course we ordered were above average or good but nothing outstanding. Peking duck had a nice twist - instead of a roll the option was eat it in a Bao. But then unlike China Kitchen at Hyatt Regency, here we had to prepare the duck in the bao. Dimsums - prawn, chicken pork - were above average but again nothing outstanding. Decor and service is good. Entry is something they need to work on - your best bet is to enter opposite Pullman hotel rather than the main entry. If you enter...read more"
143,Best place in the city to hangout...The Dj lady plays very good music 🎧....Table needs to to be booked on the weekends...They serve the drink 🍷 🍸 based on the zodiac sign or birth year...just tell the waiter about about the birth year he will let you know the best drink for you...The Chinese menu syncs one to the streets of China     🇨🇳.....The low light ambience is very attractive..The bar tender “Tin tin” is very cool guy...Many celebrities are spotted on the weekends.
144,Excellent service and authentic Cantonese food !!! A great experience overall !!! Kudos to Ashish for the great service!! They even got me a special dessert for my bday...
145,"This restaurant is possibly one of the best I've been to. After a long day of travelling we were so hungry and since we were staying in the hotel it was convenient for us to come here. We were shown to a table immediately but also had the option of a drink at the bar first which I thought was nice. The table was small and cosy, quite romantic. The setting was just right. The service was absolutely fantastic! The food was exactly what we needed and was perfect. I have nothing negative to say about this restaurant."
146,Kanchan Fartiyal “bartender”..she was the best serving you the great drinks with different flavours. The best bartender in town with a pretty smile & a great gesture. Must visit this place! Hongkong Club is best at it on saturday’s !! Make sure u have Sun Wukong!!
147,This is definitely a super place for Cantonese food!! The servers would understand your pallet and would then suggest u the dishes-they have thorough knowledge about all the dishes and that’s what I liked the most about this place. I went her with my husband for our Anniversary evening and enjoyed the food to the core... 5 stars for the ambience! From their dimsums to fried noodles to wok to their dessert everything was just a masterpiece of culinary art! 
148,I have been too many Restaurant but my favourite is the hongkong club.my love for this place eternal.Amazing food makes me happy and so does this food 😊 
149,One of the best Bars in Delhi. Amazing place to visit on weekends. Must try are flamed cocktails and their inhouse drinks with japanese Spices. 
150,"Extremely poor service for average food. So we came here for dinner and they sat us down at the table. Then they completely forgot about us. No menu, no water, nothing. I had to get up and go to the waiter in their area to get him. Then he handed us one menu for two people and forgot about us again. We then called the waiter and ordered our food. When he came with our food, he brought our main course and no starters. We reminded him about our starters and he said it’s on the way. 45 mins later, our main course was finished and no starters. We constantly reminded the waiter about the starters, to which the reply was “sorry sir, the kitchen is very busy”. I finally told him to either...read more"
151,"Amazing place, great ambience,great food, great service and cocktails here are a must tryIts a fine dine restaurant till 10 pm and then turns into a club, very good hospitality aswellAshish 👍🏻👍🏻"
152,"Loved every bit of the time spent.... It's was a Monday evening but had enough people to make the place look good! Good staff and great food and beverage selection.... It might come across as a costly restaurant to dine, but then satisfaction is guaranteed!"
153,"Classy place to say the least! some drinks are based on your chinese zodiac and they were reallyyy unique and potent. Loved my drink which was gin based with lime milk washed lime cordial and had gold dust on the top. The private dining room was elite and and so was the bar. they have cantonese food and some of the things like the duck bao, dark mousse and the dimsums were really good. specially imported or specially grown veggies have been used for all the food and you could make out the freshness in the taste. check out this cool bar!"
154,The club is sprawling and grand to say the least. the main bar is so well designed. the service was super and each and every server had great knowledge of what they were serving. Cantonese food at its best and do try the dimsums. Dont miss the cocktails that are according to your chinese zodiac. A must try place for a good night!
155,"Everything we ordered was packed with flavour and accompanied with a great ambiance. The black bean chicken is a must order and the asparagus for veggie lovers. Our server, Ashish was very friendly and contributed to a wonderful experience. "
156,Food taste is just awesome..!!As far as Ambience and music is concerned that made me crazy All the best team Service staffs were very polite and courteousWould love to come back soon
157,"Okay. I have been to many places, but this place has the most AMAZING drinks, whether it be cocktails or mocktails.Loved the ambience, a truly enriching experience.Would recommend the Scorpion drink, an exquisite drink.Must visit place! Thumbs up!"
158,We were holding The Hong Kong Club review for the new year so that we could start with something nice. The Hong Kong Club is part of the luxury hotel Andaz in Aerocity New Delhi and is a venture by Hyatt hotels. It is a sought after venue for luxury events like celebrity parties and Page3 events. We were curious to know what made this place such an obvious choice for fine dining and indulgent evenings.
159,"Visited The Hong Kong club for dinner. The ambience was unlike most clubs/ bars in delhi and was designed very well. However, the food did not match up to the ambience. We ordered : 1. shanghai chicken dimsums: 4/5 The dimsums for flavourful and succulent. 2. Prawn crystal dumplings: 3.5/5 These dumplings could have been more flavourful and tender but were still enjoyable 3. Cantonese chicken: 3.5/5 The chicken was tender and flavourful but the skin was not consistent 4. Butterfly prawns: 2.5/5 These prawns were extremely average as they lacked flavour and were not crispy and very oily 5. Barbecue pork ribs: 3/5 The pork was not tender and the portion was very small 6. Corn and...read more"
160,The newest entrant  to the ever bustling and dynamic food and beverage options in the Aerocity .This place located in Hyatt Andaz has a separate entrance and a very holiday like feel with a party buzz !The ambience is very chic and eclectic The cocktails are based on the year of your birth and they have Chinese coasters to depict the same . The bartenders are well versed with recommendations and it's very interesting to sit at their island bar .I tried the Sleeping dragon cocktailA beautiful multilayered whisky cocktail which had been aged in barrels This is definitely the place to watch out for !Kudos to the team and management 
161,"A very classy place in Aerocity. The best thing about this place is the bar. The bar side seating is lively and the bartenders are amazingly spot on and quick. Their cocktails menu, crafted as per your Chinese zodiac signs, is a must try. I didn't get the chance to try the food that night but the drinks and music got me going. The ambience of the place makes it one of the best bar setting in Delhi for me. "
162,"They deserve every bit of praise they have been showered with after their recent opening – the food is distinct and it is good.  The atrium architecture gives you a feeling of space as you settle into your seat. You will of course start with their zodiac cocktails, never mind if you choose one that is not your sign – my Sleeping Dragon, scotch and martini, was smooth, yet potent, my wife’s Moon Rabbit, a jasmine gin and champagne number, lemony and sharp. We had ordered our dimsums and soup and were sipping our drinks. Our server comes over and says “in Cantonese food, we serve as soon as dish is prepared, so your soup come first or dimsum, we do not say which”. This line of...read more"
163,"Adorned beautifully in a piece of veil covering themselves from the manly world by hijab the muslim women conform to certain standard of modesty and privacy or  it may denote a metaphysical dimension, for example referring to ""the veil which separates man or the world from God"". But the literal meaning of a hijab is a curtain or partition that could cover anything which needs to be secluded for naked eyes and be raised in public at a certain point of time. On the 10th of December evening, the hijab of a multi-level space which offers a bar, club and lounge, featuring dramatic modern Chinese interiors that reflects deep chinoiserie was raised. HongKong Club, Delhi is Inspired by the...read more"
164,Superb food taste. Best hospitality with very interactive and heart warming welcoming by Jai and Felisha... Enjoyed introductory cocktail 🍸 offer. Fantabulous place to invite your business client for treat with discussion. Keep up the good work guys. 
165,"Dear Hongkong club can you please specify for stags entry policy on zomato so that those who drive far to visit the place are not disappointed when you turn them back ..Was told Saturday night after 10 stags not allowed not even for a dinner at table .. well this never happens in the “real” Hongkong Hyatt ,ritz Carlton or intercontinental be it dinner,lounge  or famous roof top bars all throughout night or early morning .. some images of “real” Hongkong for you to see and inspire .. "
166,"HongKong ClubRecently launched in the city, this place is a welcome change. We were welcomed into a spectacular oasis of water bodies, glass walls and well spread out modern Interiors. The enterance is grand though we felt there should be someone stationed to open the doors. It houses a private dining area  - with a private bar counter to boot!We started with drinks - interestingly they are Chinese zodiac sign inspired. Drinks were on the house. I settled for the one with black pepper extract and rose inspired - mellow and subtle flavours and a concoction I would never find elsewhere. The starters were recommended by the Manager and were awesome.The asparagus stems in mustard oil...read more"
167,We liked the exclusive experience it was great thanks Loved the cocktails .. they could play more in the vegetarian appetisers.. mains were great 
168,"There are a few proper clubs in Delhi that attract good footfalls, but its more of a disappointment eventually as most of the places fail to retain their hype and standards over a period of time. I do feel the city badly needed a multi dimensional place like what Shiro used to be as it offered grandeur, great interiors and coupled with good food. The place started off as a restaurant and in the dark before dawn, became a club. THE HONGKONG CLUB at the Andaz hotel too does that, and first impressions are quite good.It just had a glitzy launch but now is the time of reckoning as the real customers will start walking in. I had to be amongst the first few to give this place a try and so I...read more"
