,L'Opéra
130,"L'Opera is one best french patisseries in Delhi serving some delicious macarons, eclairs and french desserts. I love to stop by sometimes for their croissant and coffee or their desserts.FOOD REVIEW:PASSIONFRUIT MACARON- I love all their macarons. This one is my favorite.MILLE FEUILLE- I love this multi-layered pastry.PARIS BREST- Love this pastry.CHOCOLATE DOME PASTRY- Love this three types of chocolate layered pastrySALTED CARAMEL ECLAIR- I love this eclair.OPERA CAKE- Love this chocolate opera cakeCROISSANT- Butter croissant perfect with a cup of coffee.HIGHLY RECOMMENDED to all Foodies,dessert lovers. :)RECOMMENDATIONS- Macarons,Eclairs,Opera pastry,Chocolate dome...read more"
131,"If u are sweet/dessert lover well you must hop at l'opera.Its a typical italian bakery where you get variety of breads ,pastries and macroons.Choclate and almond croissants are must have.Also o'pera signature pastry .I can assure you eat anything here you'll surely love it."
132,"L'Opera is a very english place. It is their in select city walk mall. I have tried its raspberry mousse which is literally the most exciting and amazing mousse i have tried ever. You will feel as if you are in the seventh heaven and angels are serving you. The moment I entered it, i was awestruck after seeing the brilliant display of the pastries and mousse. The staff their were so kind and generous. I asked them for a permission to click the mousse and they didnt say no to me, rather they were like 'why not?'. The male staff even added whether he could click it for me. I love this place from yesterday onwards ????????"
133,Apple cinnamon is the best they have.
134,Loved the Macarons. Salted Caramel and Pistachio.
135,"One of the few patisserie in Delhi where you get Macrons which are small donut shaped sweets available in different flavoura. I went there coz I heard this place is expensive but worth it. Well, it wasn't. They make regular bakery stuff like cakes and bread very well but you're not spending a bomb to go there and have a blackforest. The macrons, choclate eclair and all those exclusive stuff was not prepared as it should be. Sometimes, the crust was soft or the macron just crumbled in my mouth. For first tomers, ots ok but for someone who has an eye for detail, the place is super duper hyped. You could give it a moss and not regret."
136,"Some would find this place too expensive. So did I. But the quality of stuff you get here is matchless for that price. I have only bought birthday cakes for friends and family and I have never ever been disappointed. Although I am disappointed about the fact that the Royal Chocolate Cake has been discontinued due to shortage of raw materials as I was told. So those of you who haven't tried that yet, pray that their supply problem is solved soon so that you can treat your taste buds."
137,"The Danish here is out of this world! It is my personal favourite. L'opera is one of my favourite boulangerie. Yes, it is expensive but i believe its worth it. Should try out the Grenoblois bread made of walnuts n raisins, the Royal Chocolate is heavenly and the macarons keep you wanting more. If you haven't been to this place, you should. The stuff in this place melts in your mouth."
138,"I have been to this place a lot of time. Their menu spread looks fantastic and the whole French bistro theme works quite well. However in a large selection of desserts, all the tastes are same. All have the same custard, same pastry base, similar macaroon toppings, same chocolate mousse. Just different permutations of the same stuff. What they need is a much more variability of taste. If u visit this place next time I advice ordering macaroons, one chocolate base dessert and one custard based. And trust me u would have sampled the entire menu. I love the chicken quiche and raspberry macaroons here . Although the macaroons stick to your teeth they are the ones available in the name of...read more"
139,"When I first came to Delhi, I heard all the rave about L'Opera as far as desserts go.  Sadly, I was disappointed.  The prices were quite high for the portions and quality of food they served.  The tartes are the best tasting desserts in the restaurant.  The breads are decent, but the cakes and cookies are a bit dry.  There are much cheaper and tastier dessert places in Delhi, so feel free to pass up this patisserie."
140,All the cakes and the macarons specially are really tasty and yummy!
141,"In a city of not-many-famous bakeries, L'Opera stands tall! With now 4 outlets in Delhi and one in French Embassy, L'Opera has successfully catered to the expat community, the sophisticated middle & upper class and the big foodies of Delhi!Although, I am not much into sweet things (literally & otherwise), I couldn't resist visiting L'Opera after visiting there base kitchen in Noida. I loved the sugar-hearts I was offered when I visited the place. One thing I can ensure, the food quality & Hygiene is absolutely top-standard!I was able to chose the right things, courtesy a french friend, and I loved whatever we ordered. I never had good macrons, but L'Opera guys really get it right (try...read more"
142,Totally agree with Stuti. one tiny macroon for Rs.135. waste of money. 
143,One tiny macaroon for Rs 135 and 500ml of water for 50 bucks. Did not tickle my taste buds at all. Plus severe heart burn after hearing the price.
